feature,rho,p
forb_rms_trunk_acceleration,0.6727272727272726,0.03304122254543772
forb_max_trunk_angular_velocity,0.6242424242424242,0.053717767217167436
uppr_rms_trunk_acceleration,0.4666666666666666,0.17393859716506654
forb_trunk_hip_correlation,0.4545454545454545,0.18690481034933196
uppr_peak_knee_extension_velocity,0.309090909090909,0.38484123026128353
uppr_trunk_reextension_angle,-0.29696969696969694,0.40470167127015705
forb_rms_wrist_acceleration,-0.28484848484848485,0.4250381548921454
forb_delta_trunk_flexion,-0.21884599572482327,0.5435509174040242
forb_mean_head_trunk_angle,-0.17575757575757575,0.6271883447764846
uppr_total_knee_extension,-0.09090909090909088,0.8027717312071619
uppr_total_hip_extension,-0.0303030303030303,0.9337729580941466
