feature,iraf_score,spearman_rho,p_value
forb_trunk_hip_correlation,iraf_rörelsestart,0.7792461507867422,0.007882742297004109
forb_trunk_hip_correlation,iraf_total,0.7696969696969697,0.009221952722215994
forb_trunk_hip_correlation,iraf_utgångsposition,0.7212121212121211,0.01857315508946023
forb_rms_trunk_acceleration,iraf_rörelseutförande,0.6727272727272726,0.03304122254543772
forb_max_trunk_angular_velocity,iraf_rörelseutförande,0.6242424242424242,0.053717767217167436
mean_left_knee_angle,iraf_rörelseutförande,-0.5878787878787878,0.07387770688865808
mean_left_hip_angle,iraf_rörelseutförande,-0.5878787878787878,0.07387770688865808
rms_angular_acceleration,iraf_rörelseutförande,0.5636363636363636,0.0897240283170912
delta_knee_angle,iraf_rörelseutförande,-0.5393939393939393,0.10759318778241479
mean_left_hip_angle,iraf_total,-0.5272727272727272,0.11730806555020232
delta_hip_angle,iraf_rörelseutförande,-0.5272727272727272,0.11730806555020232
rms_angular_acceleration,iraf_total,0.5151515151515151,0.1275528697032343
initial_trunk_angle,iraf_utgångsposition,0.5151515151515151,0.1275528697032343
rms_angular_acceleration,iraf_rörelsestart,0.4878207610616191,0.15262738999162032
mean_left_hip_angle,iraf_utgångsposition,-0.4787878787878787,0.16152292801745594
delta_trunk_flexion,iraf_rörelsestart,-0.46881475738389367,0.17169823347419857
uppr_rms_trunk_acceleration,iraf_rörelseutförande,0.4666666666666666,0.17393859716506654
forb_trunk_hip_correlation,iraf_rörelseutförande,0.4545454545454545,0.18690481034933196
forb_max_trunk_angular_velocity,iraf_total,0.4424242424242424,0.20042268671194213
mean_trunk_angle,iraf_rörelseutförande,0.43030303030303024,0.21449233253280775
initial_trunk_angle,iraf_total,0.43030303030303024,0.21449233253280775
initial_trunk_angle,iraf_rörelseutförande,0.43030303030303024,0.21449233253280775
forb_delta_trunk_flexion,iraf_utgångsposition,-0.4194548251392446,0.22755151022421513
delta_trunk_flexion,iraf_rörelseutförande,-0.41818181818181815,0.22911284098281892
delta_knee_angle,iraf_total,-0.41818181818181815,0.22911284098281892
forb_rms_trunk_acceleration,iraf_total,0.41818181818181815,0.22911284098281892
uppr_rms_trunk_acceleration,iraf_total,0.41818181818181815,0.22911284098281892
trunk_hip_correlation,iraf_rörelseutförande,-0.406060606060606,0.24428229408662647
uppr_rms_trunk_acceleration,iraf_rörelsestart,0.3991260772322338,0.25320649017999636
initial_trunk_angle,iraf_rörelsestart,0.3991260772322338,0.25320649017999636
uppr_peak_knee_extension_velocity,iraf_rörelsestart,0.3991260772322338,0.25320649017999636
delta_knee_angle,iraf_utgångsposition,-0.3939393939393939,0.25999776683488757
delta_hip_angle,iraf_total,-0.3939393939393939,0.25999776683488757
mean_trunk_angle,iraf_utgångsposition,0.38181818181818183,0.2762553333854362
delta_hip_angle,iraf_utgångsposition,-0.38181818181818183,0.2762553333854362
delta_trunk_flexion,iraf_utgångsposition,-0.3696969696969697,0.29305007529282234
rms_angular_acceleration,iraf_utgångsposition,0.3696969696969697,0.29305007529282234
mean_head_trunk_angle,iraf_rörelseutförande,-0.3696969696969697,0.29305007529282234
forb_delta_trunk_flexion,iraf_rörelsestart,-0.368567974464686,0.2946415181335996
uppr_total_knee_extension,iraf_utgångsposition,-0.35757575757575755,0.31037609170568026
mean_right_knee_angle,iraf_rörelseutförande,-0.34545454545454546,0.3282265114713672
mean_trunk_angle,iraf_total,0.34545454545454546,0.3282265114713672
trunk_hip_time_lag,iraf_rörelseutförande,-0.34545454545454546,0.3282265114713672
max_trunk_angle,iraf_rörelsestart,-0.34210806619905754,0.33324608868624944
