feature,iraf_score,spearman_rho,p_value
mean_R_knee_flexion,iraf_utgångsposition,-0.7454545454545454,0.013330146315440054
delta_pelvis_tilt,iraf_utgångsposition,0.709090909090909,0.02166592336753244
peak_pelvis_gyro,iraf_rörelseutförande,0.6848484848484848,0.028882797506732765
forb_peak_pelvis_gyro,iraf_rörelseutförande,0.6848484848484848,0.028882797506732765
peak_pelvis_gyro,iraf_utgångsposition,0.6727272727272726,0.03304122254543772
forb_peak_pelvis_gyro,iraf_utgångsposition,0.6727272727272726,0.03304122254543772
forb_peak_pelvis_gyro,iraf_total,0.6606060606060605,0.03758837757140934
uppr_total_knee_extension,iraf_total,-0.6606060606060605,0.03758837757140934
peak_pelvis_gyro,iraf_total,0.6606060606060605,0.03758837757140934
delta_pelvis_tilt,iraf_total,0.6484848484848483,0.04254012768448949
uppr_total_knee_extension,iraf_utgångsposition,-0.6484848484848483,0.04254012768448949
uppr_total_knee_extension,iraf_rörelseutförande,-0.6242424242424242,0.053717767217167436
mean_pelvis_lateral,iraf_rörelsestart,-0.620862786805697,0.05541595975675207
mean_L_knee_flexion,iraf_utgångsposition,-0.6121212121212121,0.05997214247725527
forb_peak_pelvis_gyro,iraf_rörelsestart,0.6018567831279716,0.06562879945426144
peak_pelvis_gyro,iraf_rörelsestart,0.6018567831279716,0.06562879945426144
mean_R_knee_flexion,iraf_total,-0.6,0.06668799999999998
uppr_total_hip_extension,iraf_rörelseutförande,-0.5878787878787878,0.07387770688865808
mean_pelvis_gyro,iraf_rörelsestart,0.5638447757725207,0.08957928461801377
mean_pelvis_gyro,iraf_total,0.5515151515151515,0.09840117666963498
delta_pelvis_tilt,iraf_rörelseutförande,0.5151515151515151,0.1275528697032343
mean_L_knee_flexion,iraf_total,-0.5030303030303029,0.13833369839449194
forb_delta_pelvis_tilt,iraf_total,0.5030303030303029,0.13833369839449194
forb_delta_pelvis_tilt,iraf_rörelseutförande,0.5030303030303029,0.13833369839449194
uppr_total_knee_extension,iraf_rörelsestart,-0.4941560956208609,0.14656945017085404
rms_pelvis_acc,iraf_total,0.49090909090909085,0.1496556734208368
rms_pelvis_acc,iraf_rörelseutförande,0.49090909090909085,0.1496556734208368
delta_pelvis_tilt,iraf_rörelsestart,0.4878207610616191,0.15262738999162032
rms_pelvis_acc,iraf_utgångsposition,0.4787878787878787,0.16152292801745594
mean_pelvis_gyro,iraf_rörelseutförande,0.4787878787878787,0.16152292801745594
hip_flexion_range,iraf_rörelseutförande,-0.4666666666666666,0.17393859716506654
mean_L_hip_flexion,iraf_utgångsposition,-0.4666666666666666,0.17393859716506654
mean_pelvis_gyro,iraf_utgångsposition,0.4424242424242424,0.20042268671194213
forb_rms_pelvis_acc,iraf_rörelseutförande,0.4424242424242424,0.20042268671194213
mean_R_knee_flexion,iraf_rörelseutförande,-0.4424242424242424,0.20042268671194213
mean_L_hip_flexion,iraf_total,-0.43030303030303024,0.21449233253280775
forb_rms_pelvis_acc,iraf_total,0.43030303030303024,0.21449233253280775
mean_pelvis_lateral,iraf_total,-0.43030303030303024,0.21449233253280775
forb_rms_pelvis_acc,iraf_rörelsestart,0.424467415469201,0.22146253582212996
uppr_peak_shank_gyro,iraf_rörelsestart,0.4117967463507174,0.23703537058778607
forb_delta_pelvis_tilt,iraf_utgångsposition,0.406060606060606,0.24428229408662647
initial_pelvis_tilt,iraf_total,-0.3939393939393939,0.25999776683488757
mean_pelvis_tilt,iraf_total,-0.3939393939393939,0.25999776683488757
mean_R_hip_flexion,iraf_rörelseutförande,-0.3939393939393939,0.25999776683488757
mean_R_hip_flexion,iraf_total,-0.38181818181818183,0.2762553333854362
mean_pelvis_tilt,iraf_rörelseutförande,-0.38181818181818183,0.2762553333854362
initial_pelvis_tilt,iraf_rörelseutförande,-0.38181818181818183,0.2762553333854362
mean_R_knee_flexion,iraf_rörelsestart,-0.38012007355450833,0.2785759433625851
forb_delta_pelvis_tilt,iraf_rörelsestart,0.3737847389952666,0.2873265136762325
mean_L_knee_flexion,iraf_rörelsestart,-0.36744940443602475,0.29622280648136307
mean_pelvis_lateral,iraf_utgångsposition,-0.34545454545454546,0.3282265114713672
uppr_total_hip_extension,iraf_total,-0.34545454545454546,0.3282265114713672
mean_R_hip_flexion,iraf_utgångsposition,-0.34545454545454546,0.3282265114713672
mean_pelvis_tilt,iraf_utgångsposition,-0.33333333333333326,0.3465935070873343
delta_knee_asymmetry,iraf_utgångsposition,-0.33333333333333326,0.3465935070873343
initial_pelvis_tilt,iraf_utgångsposition,-0.33333333333333326,0.3465935070873343
delta_knee_asymmetry,iraf_rörelsestart,-0.3231020625213321,0.36249231340803667
mean_L_hip_flexion,iraf_rörelseutförande,-0.32121212121212117,0.36546831043867045
uppr_total_hip_extension,iraf_utgångsposition,-0.32121212121212117,0.36546831043867045
mean_L_hip_flexion,iraf_rörelsestart,-0.3167667279620903,0.3725159299609579
forb_rms_pelvis_acc,iraf_utgångsposition,0.29696969696969694,0.40470167127015705
rms_pelvis_acc,iraf_rörelsestart,0.2914253897251231,0.41394533828138713
initial_pelvis_tilt,iraf_rörelsestart,-0.2914253897251231,0.41394533828138713
mean_pelvis_tilt,iraf_rörelsestart,-0.2914253897251231,0.41394533828138713
uppr_peak_shank_gyro,iraf_rörelseutförande,0.28484848484848485,0.4250381548921454
uppr_peak_shank_gyro,iraf_total,0.2727272727272727,0.4458383415427516
hip_flexion_range,iraf_total,-0.2727272727272727,0.4458383415427516
uppr_peak_shank_gyro,iraf_utgångsposition,0.2727272727272727,0.4458383415427516
uppr_total_hip_extension,iraf_rörelsestart,-0.2724193860473977,0.4463726045028742
delta_knee_asymmetry,iraf_total,-0.24848484848484845,0.4887763045192432
hip_flexion_range,iraf_utgångsposition,-0.23636363636363633,0.5108853175152003
mean_R_hip_flexion,iraf_rörelsestart,-0.23440737869194683,0.5144920079322727
mean_L_knee_flexion,iraf_rörelseutförande,-0.19999999999999998,0.5795840000000002
max_pelvis_tilt,iraf_rörelsestart,-0.14571269486256155,0.6879353866492849
max_pelvis_tilt,iraf_rörelseutförande,-0.10303030303030303,0.7769984634438898
