feature,rho,p
hip_forward_displacement,-0.6708203932499368,0.21516994256955005
rms_angular_acceleration,-0.6708203932499368,0.21516994256955005
initial_trunk_angle,-0.44721359549995787,0.45018485575210093
delta_trunk_flexion,0.44721359549995787,0.45018485575210093
max_trunk_angular_velocity,-0.44721359549995787,0.45018485575210093
peak_hip_velocity,-0.44721359549995787,0.45018485575210093
trunk_hip_time_lag,0.34412360080584264,0.5706564647860578
max_trunk_angle,0.22360679774997894,0.7176856442107861
mean_trunk_angular_velocity,-0.22360679774997894,0.7176856442107861
trunk_hip_correlation,-0.22360679774997894,0.7176856442107861
