feature,iraf_score,spearman_rho,p_value,source
initial_trunk_angle,iraf_rörelseutförande,0.8760468136391566,0.0008869559619022,Pose
mean_knee_forward,iraf_rörelseutförande,0.8387682258247243,0.002422040003645,Pose
mean_trunk_angle,iraf_rörelseutförande,0.8263420298865803,0.0032082014304718,Pose
mean_right_hip_angle,iraf_rörelseutförande,-0.8139158339484363,0.0041628556339681,Pose
mean_left_hip_angle,iraf_rörelseutförande,-0.801489638010292,0.0053054716417302,Pose
initial_trunk_angle,iraf_utgångsposition,0.772040040473682,0.0088795368296157,Pose
initial_trunk_angle,iraf_total,0.7696969696969697,0.0092219527222159,Pose
mean_trunk_angle,iraf_utgångsposition,0.7538028741632801,0.0117947862899836,Pose
mean_trunk_angle,iraf_total,0.7333333333333332,0.0158005962505715,Pose
mean_left_hip_angle,iraf_utgångsposition,-0.6990913752320743,0.0244709907571503,Pose
mean_right_hip_angle,iraf_total,-0.6848484848484848,0.0288827975067327,Pose
mean_left_hip_angle,iraf_total,-0.6727272727272726,0.0330412225454377,Pose
fas1_phase_duration,iraf_rörelseutförande,-0.6523752867525634,0.0409057753453946,Pose
mean_right_hip_angle,iraf_rörelsestart,-0.6457765999379483,0.0437033558309941,Pose
fas2_hip_asym,iraf_rörelsestart,-0.6457765999379483,0.0437033558309941,Pose
fas2_rms_pelvis_acc_x,iraf_rörelseutförande,0.6275228948762752,0.0521027455393512,Pose
mean_knee_forward,iraf_total,0.6121212121212121,0.0599721424772552,Pose
mean_knee_forward,iraf_utgångsposition,0.5896683773696627,0.0727859369597627,Pose
mean_right_hip_angle,iraf_utgångsposition,-0.5775102664960614,0.0804125791027731,Pose
fas2_pelvis_backward_displacement,iraf_total,0.5757575757575757,0.0815528147726024,Pose
fas2_knee_asym,iraf_rörelsestart,-0.5698028822981897,0.085504397547833,Pose
fas1_knee_asym,iraf_rörelsestart,-0.5698028822981897,0.085504397547833,Pose
mean_trunk_angle,iraf_rörelsestart,0.5698028822981897,0.085504397547833,Pose
initial_trunk_angle,iraf_rörelsestart,0.5698028822981897,0.085504397547833,Pose
fas2_rms_pelvis_acc_x,iraf_total,0.5636363636363636,0.0897240283170912,Pose
delta_trunk_flexion,iraf_utgångsposition,-0.5410359338752574,0.1063175464250844,Pose
delta_trunk_flexion,iraf_rörelseutförande,-0.5405395233092668,0.1067021895649416,Pose
movement_duration,iraf_rörelseutförande,-0.5281133273711228,0.1166173186945094,Pose
fas1_ROM_trunk,iraf_rörelseutförande,-0.5281133273711228,0.1166173186945094,Pose
peak_trunk_angular_velocity,iraf_utgångsposition,-0.5167197121280549,0.1261973666466198,Pose
fas2_hip_asym,iraf_rörelseutförande,-0.5032609354948346,0.1381235340484448,Pose
delta_trunk_flexion,iraf_total,-0.5030303030303029,0.1383336983944919,Pose
fas1_ROM_knee,iraf_rörelsestart,0.493829164658431,0.1468784228020159,Pose
fas2_rms_pelvis_acc_x,iraf_rörelsestart,0.493829164658431,0.1468784228020159,Pose
fas2_pelvis_backward_displacement,iraf_rörelsestart,0.493829164658431,0.1468784228020159,Pose
mean_left_hip_angle,iraf_rörelsestart,-0.493829164658431,0.1468784228020159,Pose
hip_descent,iraf_rörelsestart,0.493829164658431,0.1468784228020159,Pose
fas1_ROM_trunk,iraf_rörelsestart,-0.493829164658431,0.1468784228020159,Pose
fas1_phase_duration,iraf_total,-0.4787878787878787,0.1615229280174559,Pose
fas2_phase_duration,iraf_rörelseutförande,-0.4736328780328104,0.1667359897874395,Pose
fas1_ROM_trunk,iraf_total,-0.4666666666666666,0.1739385971650665,Pose
fas1_delta_knee_forward,iraf_rörelseutförande,-0.4659823476804024,0.1746559432251693,Pose
mean_left_knee_angle,iraf_rörelseutförande,-0.4535561517422583,0.187987422115236,Pose
fas2_pelvis_backward_displacement,iraf_rörelseutförande,0.4535561517422583,0.187987422115236,Pose
fas2_pelvis_backward_displacement,iraf_utgångsposition,0.4437710468864471,0.1988934422361146,Pose
mean_left_knee_angle,iraf_total,-0.4303030303030302,0.2144923325328077,Pose
mean_left_knee_angle,iraf_rörelsestart,-0.4178554470186724,0.2295141074727143,Pose
max_trunk_angle,iraf_rörelsestart,-0.4178554470186724,0.2295141074727143,Pose
ROM_knee,iraf_rörelsestart,0.4178554470186724,0.2295141074727143,Pose
mean_knee_forward,iraf_rörelsestart,0.4178554470186724,0.2295141074727143,Pose
