feature,iraf_score,spearman_rho,p_value,source
bak_rms_pelvis_acc,iraf_bak,0.7865999889816444,0.0069499565821644,MoLab
ned_rms_pelvis_acc,iraf_bak,0.7073302226501608,0.0221428647660741,MoLab
ned_peak_pelvis_gyro,iraf_bak,0.6768418509842056,0.0315868636010344,MoLab
utg_mean_L_knee_flexion,iraf_bak,0.6463534793182504,0.0434538133118048,MoLab
bak_rms_pelvis_acc_x,iraf_bak,0.8170883606475996,0.0039020358324549,Pose
bak_rms_pelvis_acc_y,iraf_bak,0.7865999889816444,0.0069499565821644,Pose
utg_mean_right_knee_angle,iraf_bak,0.7805023146484533,0.0077174786887822,Pose
utg_mean_right_hip_angle,iraf_bak,0.7683069659820713,0.0094294327366938,Pose
utg_shoulder_asym,iraf_bak,-0.7622092916488802,0.0103786244997926,Pose
utg_delta_knee_asymmetry,iraf_ned,-0.7767911009502655,0.0082129410375381,MoLab
bak_pelvis_lateral,iraf_ned,-0.7278593780557606,0.0170141863821992,MoLab
ned_pelvis_lateral,iraf_ned,-0.64834532835219,0.0425995398495612,MoLab
ned_hip_descent,iraf_ned,-0.7890240316738918,0.0066604718948152,Pose
ned_peak_trunk_angular_velocity,iraf_ned,-0.7706746355884525,0.0090779645288292,Pose
ned_rms_trunk_acceleration,iraf_ned,-0.642228862990377,0.0452591471999268,Pose
ned_pelvis_lateral,iraf_total,-0.6242424242424242,0.0537177672171674,MoLab
ned_peak_pelvis_gyro,iraf_total,0.6121212121212121,0.0599721424772552,MoLab
bak_rms_pelvis_acc,iraf_total,0.5757575757575757,0.0815528147726024,MoLab
bak_rms_pelvis_acc_x,iraf_total,0.7454545454545454,0.01333014631544,Pose
bak_rms_trunk_acceleration,iraf_total,0.7212121212121211,0.0185731550894602,Pose
bak_pelvis_backward_displacement,iraf_total,0.6969696969696969,0.0250966758822518,Pose
ned_peak_thigh_gyro,iraf_utg,-0.6606060606060605,0.0375883775714093,MoLab
ned_pelvis_lateral,iraf_utg,-0.5878787878787878,0.073877706888658,MoLab
bak_delta_pelvis_tilt,iraf_utg,0.5757575757575757,0.0815528147726024,MoLab
utg_stance_to_hip_ratio,iraf_utg,-0.7575757575757575,0.0111434467996942,Pose
utg_stance_width,iraf_utg,-0.6484848484848483,0.0425401276844894,Pose
ned_hip_descent,iraf_utg,-0.5878787878787878,0.073877706888658,Pose
