video,ROM_knee,ROM_hip,delta_pelvis_tilt,peak_pelvis_gyro,mean_pelvis_gyro,rms_pelvis_acc
028,95.426,91.6405,36.676,116.043,65.56648936170212,0.719269472776431
030,101.44,100.82399999999998,36.035,99.878,41.38635897435898,0.3242598277576732
045,73.06400000000001,82.773,69.384,483.498,75.89567424242423,0.8391061351584828
047,89.9545,110.337,49.754000000000005,108.712,59.351050632911395,0.3826350593027185
059,91.94200000000001,83.2935,38.771,79.373,31.699889473684205,0.69674590626335
061,90.15299999999999,72.67600000000002,40.014,101.006,26.624042056074767,0.3145163472862426
074,94.517,98.3555,29.158000000000005,258.384,53.80334883720932,0.8061349791760452
076,107.475,105.38999999999999,34.507,108.315,40.22243209876543,0.23608879633113983
091,85.9205,93.01299999999999,29.663999999999994,122.634,58.662661290322575,1.057371985693319
093,106.489,115.3005,37.419,101.778,44.053814102564104,0.21857627900481275
