feature,rho,p
ned_pelvis_lateral,-0.64834532835219,0.042599539849561247
ned_rms_pelvis_acc,-0.49543369430686224,0.14536582684147437
ned_delta_pelvis_tilt,0.44650197141235737,0.19581349826394684
ned_ROM_hip,0.4036867138796655,0.24731722088749292
ned_peak_thigh_gyro,-0.3669879217087868,0.29687650638576357
ned_knee_angle_diff,-0.3302891295379082,0.35128646594749785
ned_peak_shank_gyro,-0.1651445647689541,0.6484384653827915
ned_peak_pelvis_gyro,-0.0917469804271967,0.8009843299145076
ned_ROM_knee,-0.04893172289450491,0.8932177710786015
ned_mean_pelvis_gyro,-0.006116465361813114,0.9866207325622851
