feature,iraf_score,spearman_rho,p_value
fas2_pelvis_lateral,iraf_total,-0.7696969696969697,0.009221952722215994
fas1_pelvis_lateral,iraf_total,-0.7575757575757575,0.011143446799694208
fas2_rms_pelvis_acc,iraf_rörelseutförande,0.7195255713165428,0.018983898642659126
fas2_pelvis_lateral,iraf_rörelsestart,-0.7136240321480626,0.020470662417596465
fas1_peak_thigh_gyro,iraf_utgångsposition,-0.6606060606060605,0.03758837757140934
mean_pelvis_lateral,iraf_total,-0.6363636363636362,0.04791172612997544
fas1_pelvis_lateral,iraf_rörelseutförande,-0.6280604563186774,0.051841209844568546
mean_L_ankle_flexion,iraf_rörelsestart,0.5968491905238341,0.06851084629788733
fas1_pelvis_lateral,iraf_utgångsposition,-0.5878787878787878,0.07387770688865808
fas2_ROM_hip,iraf_utgångsposition,0.5757575757575757,0.08155281477260244
peak_pelvis_gyro,iraf_rörelseutförande,0.5426930156540026,0.10503989377913596
peak_pelvis_gyro,iraf_rörelsestart,0.53846176971172,0.10832164585454761
mean_R_ankle_flexion,iraf_rörelseutförande,-0.5304976669876206,0.11467188344055665
mean_L_ankle_flexion,iraf_total,0.5272727272727272,0.11730806555020232
fas2_ROM_hip,iraf_total,0.49090909090909085,0.1496556734208368
fas2_pelvis_lateral,iraf_rörelseutförande,-0.4878139466552834,0.15263398627837133
mean_L_ankle_flexion,iraf_utgångsposition,0.4787878787878787,0.16152292801745594
mean_pelvis_gyro,iraf_rörelseutförande,0.47561859798890127,0.16471614517440153
mean_R_ankle_flexion,iraf_rörelsestart,0.4735868576982597,0.16678297580257526
fas1_pelvis_lateral,iraf_rörelsestart,-0.4606118752955677,0.18034657212483546
mean_pelvis_lateral,iraf_rörelsestart,-0.4606118752955677,0.18034657212483546
peak_pelvis_gyro,iraf_total,0.4424242424242424,0.20042268671194213
mean_pelvis_tilt,iraf_utgångsposition,0.43030303030303024,0.21449233253280775
mean_R_knee_flexion,iraf_utgångsposition,-0.41818181818181815,0.22911284098281892
fas1_knee_angle_diff,iraf_rörelseutförande,-0.4085441803237998,0.24112956358950693
delta_pelvis_tilt,iraf_utgångsposition,0.406060606060606,0.24428229408662647
fas2_ROM_knee,iraf_total,0.3939393939393939,0.25999776683488757
fas1_rms_pelvis_acc,iraf_rörelseutförande,0.39025115732422666,0.2648874395842974
rms_pelvis_acc,iraf_rörelseutförande,0.39025115732422666,0.2648874395842974
delta_knee_asymmetry,iraf_utgångsposition,-0.38181818181818183,0.2762553333854362
fas2_ROM_knee,iraf_utgångsposition,0.38181818181818183,0.2762553333854362
ROM_knee,iraf_rörelseutförande,-0.3597627856582714,0.30721097605026365
fas1_rms_pelvis_acc,iraf_utgångsposition,-0.35757575757575755,0.31037609170568026
fas2_pelvis_lateral,iraf_utgångsposition,-0.35757575757575755,0.31037609170568026
rms_pelvis_acc,iraf_utgångsposition,-0.35757575757575755,0.31037609170568026
mean_R_knee_flexion,iraf_total,-0.35757575757575755,0.31037609170568026
fas1_ROM_knee,iraf_rörelseutförande,-0.3536651113250804,0.3160781991074149
ROM_hip,iraf_rörelsestart,0.3503245248726853,0.320992148665883
fas1_ROM_hip,iraf_rörelsestart,0.3503245248726853,0.320992148665883
ROM_hip,iraf_total,0.34545454545454546,0.3282265114713672
fas1_ROM_hip,iraf_total,0.34545454545454546,0.3282265114713672
fas1_peak_shank_gyro,iraf_utgångsposition,-0.33333333333333326,0.3465935070873343
