feature,rho,p
bak_rms_pelvis_acc_y,0.7865999889816444,0.006949956582164409
bak_pelvis_backward_displacement,0.7195255713165428,0.018983898642659126
bak_rms_pelvis_acc_x,0.7012325483169698,0.02385050232964144
bak_rms_trunk_acceleration,0.5304976669876206,0.11467188344055665
bak_mean_trunk_angular_velocity,0.5243999926544296,0.11968793343375173
bak_phase_duration,-0.495415160603386,0.14538324420228416
bak_rms_wrist_acceleration,0.3780558086578446,0.2814111157974274
bak_ROM_knee,0.3475674369918894,0.3250775337656348
bak_ROM_hip,0.3353720883255073,0.3434684548824231
bak_hip_asym,0.3292744139923163,0.35285784928578806
bak_delta_trunk_flexion,-0.21341860166168644,0.5538359932399509
bak_pelvis_descent,-0.10975813799743875,0.762775625860359
bak_peak_trunk_angular_velocity,-0.10366046366424772,0.7756636846367883
bak_knee_asym,-0.024390697332764166,0.9466770792643008
bak_trunk_hip_correlation,0.018293022999573125,0.9599974002377396
bak_initial_trunk_angle,-0.018293022999573125,0.9599974002377396
