feature,rho,p
peak_trunk_angular_velocity,-0.4541243840942217,0.18736514600121054
max_trunk_angle,-0.3632995072753773,0.3021287941420165
delta_trunk_flexion,-0.31139957766460913,0.38111344254489077
initial_trunk_angle,0.29842459526191706,0.4022924655258612
ROM_hip,0.28544961285922504,0.42401857327914244
trunk_hip_correlation,0.24652466565114894,0.49232347631256895
ROM_knee,0.24003717444980285,0.5041411792378575
hip_descent,0.18813724483903468,0.6027100941604744
mean_trunk_angular_velocity,-0.17516226243634264,0.6283739836166083
movement_duration,-0.15569978883230456,0.6675441131143783
rms_trunk_acceleration,0.10379985922153638,0.7753684943458544
hip_backward_displacement,-0.06487491201346025,0.8586819037954131
