feature,rho,p
fas2_pelvis_backward_displacement,0.6646465023178236,0.03602846122522847
fas1_phase_duration,-0.579279061653149,0.07927235234951965
fas1_mean_knee_forward,0.5365953413208117,0.10978950392207787
fas2_rms_pelvis_acc_y,0.4695209236557102,0.17096550855966192
fas1_rms_pelvis_acc_y,-0.45122790065613705,0.1905497739097309
fas2_rms_pelvis_acc_x,0.4451302263229461,0.1973570541531604
fas2_rms_wrist_acceleration,0.439032551989755,0.20430400150223688
fas1_ROM_knee,-0.3475674369918894,0.3250775337656348
fas2_knee_asym,0.31707906532593416,0.37201857984252956
fas1_delta_trunk_angle,0.2561023219940237,0.47509694061174756
fas1_ROM_trunk,-0.21341860166168644,0.5538359932399509
fas1_ROM_hip,-0.18293022999573125,0.6129641414000457
fas2_phase_duration,-0.13761532238982943,0.7046029613290685
fas1_peak_pelvis_velocity_y,-0.10366046366424772,0.7756636846367883
fas2_pelvis_descent,-0.09756278933105667,0.7886012474690365
fas1_knee_asym,0.03658604599914625,0.9200750642705431
fas2_hip_asym,0.024390697332764166,0.9466770792643008
fas1_delta_knee_forward,-0.018293022999573125,0.9599974002377396
