feature,rho,p
mean_trunk_angle,0.7538028741632801,0.011794786289983683
mean_left_hip_angle,-0.6990913752320743,0.02447099075715035
mean_knee_forward,0.5896683773696627,0.07278593695976276
mean_right_hip_angle,-0.5775102664960614,0.08041257910277319
hip_asym,-0.41337576970244394,0.23506197663269432
stance_width,-0.3039527718400323,0.3932011151432979
delta_hip_angle,0.2735574946560291,0.44439914146883697
mean_left_knee_angle,-0.23100410659842457,0.5207915330258044
stance_to_hip_ratio,-0.20668788485122197,0.5666951380068742
knee_asym,-0.18237166310401937,0.6140677514955036
mean_head_trunk_angle,-0.14589733048321551,0.6875567115411833
mean_right_knee_angle,0.14589733048321551,0.6875567115411833
shoulder_asym,-0.10334394242561099,0.7763340602409097
delta_knee_angle,0.012158110873601292,0.9734080635074243
