feature,iraf_score,spearman_rho,p_value
initial_trunk_angle,iraf_rörelseutförande,0.8760468136391566,0.0008869559619022341
mean_knee_forward,iraf_rörelseutförande,0.8387682258247243,0.0024220400036450585
mean_trunk_angle,iraf_rörelseutförande,0.8263420298865803,0.003208201430471871
mean_right_hip_angle,iraf_rörelseutförande,-0.8139158339484363,0.0041628556339681376
mean_left_hip_angle,iraf_rörelseutförande,-0.801489638010292,0.005305471641730264
initial_trunk_angle,iraf_utgångsposition,0.772040040473682,0.008879536829615705
initial_trunk_angle,iraf_total,0.7696969696969697,0.009221952722215994
mean_trunk_angle,iraf_utgångsposition,0.7538028741632801,0.011794786289983683
mean_trunk_angle,iraf_total,0.7333333333333332,0.015800596250571577
mean_left_hip_angle,iraf_utgångsposition,-0.6990913752320743,0.02447099075715035
mean_right_hip_angle,iraf_total,-0.6848484848484848,0.028882797506732765
mean_left_hip_angle,iraf_total,-0.6727272727272726,0.03304122254543772
fas1_phase_duration,iraf_rörelseutförande,-0.6523752867525634,0.040905775345394614
mean_right_hip_angle,iraf_rörelsestart,-0.6457765999379483,0.043703355830994106
fas2_hip_asym,iraf_rörelsestart,-0.6457765999379483,0.043703355830994106
fas2_rms_pelvis_acc_x,iraf_rörelseutförande,0.6275228948762752,0.05210274553935121
mean_knee_forward,iraf_total,0.6121212121212121,0.05997214247725527
mean_knee_forward,iraf_utgångsposition,0.5896683773696627,0.07278593695976276
mean_right_hip_angle,iraf_utgångsposition,-0.5775102664960614,0.08041257910277319
fas2_pelvis_backward_displacement,iraf_total,0.5757575757575757,0.08155281477260244
fas2_knee_asym,iraf_rörelsestart,-0.5698028822981897,0.08550439754783307
fas1_knee_asym,iraf_rörelsestart,-0.5698028822981897,0.08550439754783307
mean_trunk_angle,iraf_rörelsestart,0.5698028822981897,0.08550439754783307
initial_trunk_angle,iraf_rörelsestart,0.5698028822981897,0.08550439754783307
fas2_rms_pelvis_acc_x,iraf_total,0.5636363636363636,0.0897240283170912
delta_trunk_flexion,iraf_utgångsposition,-0.5410359338752574,0.10631754642508441
delta_trunk_flexion,iraf_rörelseutförande,-0.5405395233092668,0.10670218956494161
movement_duration,iraf_rörelseutförande,-0.5281133273711228,0.11661731869450948
fas1_ROM_trunk,iraf_rörelseutförande,-0.5281133273711228,0.11661731869450948
peak_trunk_angular_velocity,iraf_utgångsposition,-0.5167197121280549,0.12619736664661982
fas2_hip_asym,iraf_rörelseutförande,-0.5032609354948346,0.13812353404844485
delta_trunk_flexion,iraf_total,-0.5030303030303029,0.13833369839449194
fas1_ROM_knee,iraf_rörelsestart,0.493829164658431,0.14687842280201596
fas2_rms_pelvis_acc_x,iraf_rörelsestart,0.493829164658431,0.14687842280201596
