video,fas1_ROM_hip,fas1_ROM_knee,fas1_knee_angle_diff,fas1_rms_pelvis_acc,fas1_peak_shank_gyro,fas1_pelvis_lateral,fas1_peak_thigh_gyro,fas2_pelvis_lateral,fas2_rms_pelvis_acc,fas2_peak_pelvis_gyro,fas2_ROM_knee,fas2_ROM_hip
028,91.6405,95.102,2.1902098278335718,0.8077254738934946,62.513,2.747769010043041,208.973,4.145237335834897,0.4050724531583112,78.379,1.6649999999999991,10.211000000000006
030,100.82399999999998,100.41749999999999,6.126163930581614,0.3962174398173112,52.528,3.2426529080675417,143.262,4.594175700090334,0.048420037174706915,76.209,1.365000000000002,11.4895
045,82.773,72.4765,2.0524289634146355,0.91104186237516,48.38,0.8680003048780488,113.033,0.7262958446251129,0.7265454154701829,483.498,2.372000000000007,41.5185
047,110.337,88.4585,2.854953210552513,0.4779627258970502,43.476,1.7762974116475856,142.506,0.2721542092840284,0.11258709889996134,91.558,1.8495000000000061,24.213500000000003
059,83.2935,91.86449999999999,7.910259756097555,0.8051956077045295,24.107,6.127615853658537,121.115,4.48732299651568,0.4541180935143885,53.218,0.6994999999999933,10.330999999999996
061,72.67600000000002,87.7675,7.075231881533094,0.3744431007700445,38.507,2.743122473867596,93.232,2.826283376123235,0.14753309173841214,101.006,2.7934999999999945,15.527500000000003
074,94.385,89.874,8.09001951219511,0.8399575782938882,97.647,2.6948146341463417,177.313,0.34834059233449494,0.722165963315517,67.899,4.677499999999995,4.513000000000005
076,105.38999999999999,104.5025,5.261229076996649,0.2793060904399737,53.56,1.503318986131038,120.934,0.6964426829268293,0.13368682308539862,56.067,2.743000000000002,17.698499999999996
091,93.01299999999999,85.9205,1.7602551594746745,1.1036772277604185,111.899,0.9982345215759847,228.109,2.2205268292682923,0.7730992174358994,38.473,0.4590000000000032,2.7624999999999957
093,115.3005,103.10900000000001,1.1783222222222232,0.1888796795140582,55.179,0.9356170731707318,163.081,0.3805007173601147,0.25027437884426434,79.8,3.538000000000004,11.463500000000003
