feature,rho,p
stance_to_hip_ratio,-0.7575757575757575,0.011143446799694208
stance_width,-0.6484848484848483,0.04254012768448949
mean_left_hip_angle,-0.32121212121212117,0.36546831043867045
mean_trunk_angle,0.2727272727272727,0.4458383415427516
hip_asym,-0.22424242424242422,0.5334005612725947
shoulder_asym,0.2121212121212121,0.5563057751029299
knee_asym,-0.19999999999999998,0.5795840000000002
mean_right_hip_angle,-0.12727272727272726,0.7260570147627894
mean_left_knee_angle,-0.12727272727272726,0.7260570147627894
delta_hip_angle,0.11515151515151514,0.7514196523258485
mean_head_trunk_angle,-0.09090909090909088,0.8027717312071619
delta_knee_angle,0.0303030303030303,0.9337729580941466
mean_right_knee_angle,0.01818181818181818,0.9602404181286242
mean_knee_forward,-0.006060606060606061,0.9867429111949892
