frame,time,left_shoulder_x,left_shoulder_y,left_shoulder_confidence,right_shoulder_x,right_shoulder_y,right_shoulder_confidence,left_elbow_x,left_elbow_y,left_elbow_confidence,right_elbow_x,right_elbow_y,right_elbow_confidence,left_wrist_x,left_wrist_y,left_wrist_confidence,right_wrist_x,right_wrist_y,right_wrist_confidence,left_hip_x,left_hip_y,left_hip_confidence,right_hip_x,right_hip_y,right_hip_confidence,left_knee_x,left_knee_y,left_knee_confidence,right_knee_x,right_knee_y,right_knee_confidence,left_ankle_x,left_ankle_y,left_ankle_confidence,right_ankle_x,right_ankle_y,right_ankle_confidence
0,0,0.56819147,0.5253021,0.4682543,0.539844,0.52082264,0.5338974,0.5567977,0.58730245,0.34919286,0.5213675,0.5840411,0.37565386,0.540799,0.60198784,0.30208373,0.51702243,0.60131574,0.2218525,0.5622589,0.64006776,0.41897228,0.54135054,0.6311131,0.44079396,0.5094149,0.70007855,0.38855603,0.49161997,0.6983861,0.23616308,0.50094616,0.85324955,0.30024752,0.48728043,0.83652335,0.25443023
1,0,0.57351327,0.5345083,0.8113111,0.5363977,0.53637165,0.8956536,0.5319789,0.59874684,0.65528756,0.52692425,0.5994259,0.86061615,0.53153884,0.54183966,0.7076616,0.5292308,0.54147065,0.59858143,0.5555162,0.66562384,0.90045935,0.5313267,0.6627031,0.8766284,0.48842105,0.7183181,0.6612286,0.47118646,0.7059228,0.7495299,0.49655136,0.8581621,0.86063015,0.47652,0.83999795,0.8639394
2,0,0.57373416,0.53474665,0.89025337,0.53675675,0.5413646,0.88022983,0.5320235,0.5988296,0.6455653,0.5264503,0.6006486,0.88178384,0.53225595,0.5419217,0.7159618,0.5305613,0.5412392,0.4922189,0.5566857,0.66809183,0.9406876,0.5304776,0.6622044,0.89853257,0.4884276,0.7191865,0.6987848,0.47107175,0.70883155,0.7533432,0.49664816,0.8628475,0.8093439,0.47584915,0.84308666,0.80251336
3,0,0.57421935,0.5354574,0.89881855,0.5368323,0.5410452,0.8869389,0.5319742,0.5988157,0.6118976,0.52667373,0.6009838,0.89356154,0.532451,0.5410608,0.71854013,0.5309486,0.54020375,0.4875937,0.5567028,0.66800207,0.93568933,0.5311241,0.66308075,0.8981215,0.48863253,0.71917206,0.67749107,0.4710077,0.70862764,0.8169228,0.4971725,0.86335164,0.86477745,0.4760774,0.8426879,0.86792034
4,0,0.5734831,0.5351961,0.90762806,0.53792316,0.54172057,0.8841211,0.53260833,0.59645516,0.57796055,0.52679026,0.6006126,0.90481865,0.53162795,0.54206675,0.6959897,0.5309332,0.5406986,0.5491082,0.5561027,0.66639733,0.94385034,0.53106743,0.661237,0.8965152,0.49055365,0.7182737,0.8893887,0.47078764,0.70876646,0.79640603,0.49691522,0.86432415,0.8334605,0.47611827,0.84278506,0.8589184
5,0,0.57356316,0.53455067,0.8859194,0.5374499,0.5411205,0.89731055,0.53189594,0.5988696,0.5877997,0.5266705,0.60023826,0.8866271,0.5325876,0.54144084,0.7200659,0.5312712,0.54085636,0.55532295,0.55597514,0.66739184,0.8986681,0.5303971,0.66205794,0.8849895,0.4887675,0.71948946,0.69452107,0.47107017,0.7089757,0.6765615,0.49642605,0.86355335,0.9070617,0.47616893,0.8432495,0.74309725
6,0,0.5734547,0.5352959,0.8996502,0.5365906,0.5403518,0.89567417,0.5318259,0.5988307,0.64736325,0.52672464,0.6005429,0.8872753,0.53209823,0.54203635,0.7026961,0.53089726,0.53914285,0.42733553,0.55815226,0.667556,0.8815674,0.531324,0.66262203,0.9001968,0.48857084,0.719376,0.7078883,0.47100618,0.70930296,0.8325287,0.4969219,0.86301863,0.8612561,0.4761585,0.8417048,0.8647629
7,0,0.5732843,0.536436,0.9045656,0.53745514,0.5416005,0.8636359,0.5310796,0.5995866,0.6496377,0.52748,0.6004796,0.85357374,0.53172714,0.5420035,0.6840653,0.5309452,0.5414532,0.5371236,0.55657905,0.66865844,0.93281054,0.53051704,0.66244787,0.8830012,0.49042454,0.7188324,0.8406915,0.47142762,0.7086021,0.75002277,0.49699038,0.86501366,0.7643506,0.47594756,0.8428347,0.80492777
8,0,0.57325923,0.5343871,0.8854985,0.5367437,0.5411716,0.9138647,0.5321898,0.59686416,0.5801217,0.52688193,0.60079336,0.9056008,0.5313132,0.54038435,0.6716018,0.5309879,0.5374488,0.5444705,0.55662,0.6673645,0.92999476,0.53104234,0.66209424,0.8927491,0.48866957,0.71937436,0.68200547,0.4708369,0.70904046,0.7832919,0.49703607,0.86515117,0.92582774,0.47621056,0.84292537,0.8165362
9,0,0.57393116,0.53626966,0.90791434,0.53648126,0.5396316,0.9172438,0.5309784,0.599577,0.72257364,0.5266927,0.6011156,0.89472944,0.5316171,0.5420085,0.7355034,0.53040165,0.54141164,0.49544555,0.5582068,0.6683692,0.9381069,0.5308087,0.66287154,0.8911064,0.48894563,0.7188071,0.6807031,0.47105095,0.7082362,0.81687236,0.49710092,0.8638679,0.8210118,0.47639558,0.8432855,0.8311704
