frame,time,nose_x,nose_y,nose_confidence,left_shoulder_x,left_shoulder_y,left_shoulder_confidence,right_shoulder_x,right_shoulder_y,right_shoulder_confidence,left_elbow_x,left_elbow_y,left_elbow_confidence,right_elbow_x,right_elbow_y,right_elbow_confidence,left_wrist_x,left_wrist_y,left_wrist_confidence,right_wrist_x,right_wrist_y,right_wrist_confidence,left_hip_x,left_hip_y,left_hip_confidence,right_hip_x,right_hip_y,right_hip_confidence,left_knee_x,left_knee_y,left_knee_confidence,right_knee_x,right_knee_y,right_knee_confidence,left_ankle_x,left_ankle_y,left_ankle_confidence,right_ankle_x,right_ankle_y,right_ankle_confidence
0,0,0.47907886,0.49119586,0.524727,0.519666,0.5382683,0.560635,0.47801724,0.541849,0.57425195,0.5213075,0.6263858,0.4720915,0.47494978,0.6212998,0.26987854,0.49305862,0.6935799,0.3404867,0.4661133,0.698731,0.31349304,0.5285889,0.68537384,0.4627937,0.49829987,0.6870677,0.42876104,0.47747257,0.7418311,0.31704894,0.45410055,0.7393365,0.3367212,0.47732484,0.86050934,0.2496727,0.47936296,0.85379267,0.1836803
1,0,0.47758695,0.48649678,0.74586564,0.523537,0.5396632,0.8748671,0.478166,0.53644663,0.8518997,0.52127236,0.64325505,0.74615383,0.47571105,0.61917675,0.7604521,0.4829698,0.6962746,0.6132505,0.47297716,0.6882524,0.70309335,0.5262763,0.67807853,0.9080986,0.4933522,0.67280453,0.70432377,0.4690532,0.75225276,0.82349855,0.43986586,0.7288395,0.82197237,0.48397028,0.8694674,0.8741795,0.46501863,0.8451376,0.87494326
2,0,0.4779019,0.48545504,0.6859134,0.5241435,0.5406379,0.79074544,0.47779265,0.5362273,0.90910196,0.52234083,0.64284676,0.8789915,0.4763243,0.61954266,0.64497507,0.482119,0.6968422,0.58878803,0.4742446,0.6904263,0.65591353,0.5262899,0.67634106,0.8449195,0.49279657,0.6706543,0.7864014,0.46834764,0.7528733,0.7935053,0.43914756,0.72652394,0.850004,0.4838725,0.87036526,0.76947826,0.46620575,0.84635234,0.85666215
3,0,0.47786942,0.4857445,0.67784524,0.52412915,0.5411923,0.82692856,0.47776842,0.5376597,0.73960936,0.52228147,0.6434516,0.90421695,0.4765294,0.6199523,0.701648,0.4822045,0.6991252,0.44916704,0.47512677,0.6906675,0.69198906,0.5259745,0.67700106,0.87937474,0.49267402,0.6714102,0.79917467,0.46780604,0.7522435,0.7183756,0.4394645,0.72801626,0.9148371,0.48415527,0.86748284,0.72632915,0.46712297,0.84650415,0.82301193
4,0,0.4772843,0.48609236,0.54102373,0.5244288,0.5424832,0.91671526,0.47778141,0.53708166,0.70908874,0.5220874,0.644001,0.89431256,0.47645086,0.6200945,0.6635314,0.48122814,0.69928473,0.54376996,0.474733,0.6912711,0.7036152,0.5263926,0.6773822,0.86791277,0.4929611,0.671533,0.8061786,0.46872693,0.75262123,0.6201281,0.43958393,0.7275942,0.9136989,0.48376733,0.8674694,0.699428,0.46687928,0.8455352,0.8237354
5,0,0.4777014,0.4858816,0.63422084,0.5240257,0.54111755,0.79226965,0.47776574,0.5373769,0.7107937,0.52191997,0.64360017,0.87626654,0.4763675,0.6202012,0.62105155,0.48200905,0.69653046,0.47418776,0.47427925,0.6912616,0.68021953,0.52688307,0.6770866,0.85937184,0.49322972,0.6711133,0.8022334,0.4684764,0.7532899,0.63569224,0.4397694,0.7270222,0.91388214,0.48401016,0.86846495,0.72394085,0.46660078,0.8453397,0.8517246
6,0,0.47772732,0.4857379,0.50690895,0.52393043,0.5411953,0.7496884,0.47828856,0.5359056,0.881356,0.52212805,0.64309275,0.8669079,0.47647116,0.6195499,0.81902325,0.4811091,0.69983053,0.5561868,0.4730402,0.6917762,0.7489755,0.5254675,0.6773798,0.8706222,0.49259612,0.6715544,0.7890855,0.46819973,0.7527123,0.68638504,0.43958473,0.72856903,0.9165552,0.48491266,0.86611664,0.883982,0.4667878,0.8434878,0.81139964
7,0,0.47771165,0.485936,0.7235304,0.5244897,0.5418131,0.83350235,0.47784016,0.5375924,0.78499585,0.5219525,0.6438746,0.88361734,0.47646683,0.6184341,0.6782511,0.4820695,0.6961554,0.6249989,0.47386667,0.6905869,0.6875166,0.5258362,0.68145275,0.9154694,0.49207577,0.67484254,0.71441776,0.4682999,0.75187063,0.78555554,0.4391765,0.72860295,0.911673,0.4836265,0.8700191,0.74806666,0.46577597,0.84401435,0.80538374
8,0,0.47776565,0.48665285,0.7559682,0.52398,0.54136443,0.7784209,0.4778309,0.5369818,0.79584044,0.52251947,0.64371437,0.85080284,0.47676483,0.6178002,0.6986846,0.48265278,0.6960782,0.65870655,0.47369608,0.6872199,0.774326,0.5245199,0.6821651,0.88161886,0.49148756,0.6752569,0.78443,0.46878386,0.7524422,0.8038967,0.43989024,0.7287222,0.8758184,0.4838361,0.87105024,0.8524832,0.46553263,0.8417677,0.8450738
9,0,0.4779182,0.48627946,0.75245064,0.5241554,0.5419293,0.9071828,0.4788512,0.5373295,0.8881305,0.52191985,0.6441014,0.8691882,0.47736466,0.6183729,0.8002201,0.48187178,0.6973838,0.69070995,0.47300637,0.69027483,0.6727722,0.5256414,0.6809743,0.8417717,0.49340966,0.6745733,0.7916937,0.46879956,0.75289595,0.8081935,0.43928704,0.7289941,0.89313614,0.4838811,0.8693931,0.8358674,0.46653387,0.8414892,0.77056515
