frame,time,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_visibility,left_shoulder_presence,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_visibility,right_shoulder_presence,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_visibility,left_elbow_presence,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_visibility,right_elbow_presence,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_visibility,left_wrist_presence,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_visibility,right_wrist_presence,left_hip_x,left_hip_y,left_hip_z,left_hip_visibility,left_hip_presence,right_hip_x,right_hip_y,right_hip_z,right_hip_visibility,right_hip_presence,left_knee_x,left_knee_y,left_knee_z,left_knee_visibility,left_knee_presence,right_knee_x,right_knee_y,right_knee_z,right_knee_visibility,right_knee_presence,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_visibility,left_ankle_presence,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_visibility,right_ankle_presence
0,0,0.2038856437782809,-0.3789595663547516,-0.23653757801956782,0.9999959468841552,0.9999983310699464,-0.057119580393403126,-0.4595979154109955,-0.016846615195872848,0.999975085258484,0.9999949932098388,0.16690305913402842,-0.1589901596307754,-0.27280745572196824,0.9977887868881226,0.9999569654464722,-0.11830236817128162,-0.1575165688991546,-0.04306193382216719,0.8407889604568481,0.9999830722808838,-0.023062820329830785,0.0023921085521578,-0.24718771637852316,0.9964367151260376,0.9999953508377076,-0.22149338089222886,-0.0160268023610115,-0.16746181056272874,0.9449062347412108,0.999995231628418,0.07915395777422922,0.0184627659618854,-0.03376829130757471,0.99998939037323,0.9999992847442628,-0.07719730478507851,-0.0220396053045988,0.03577392198525303,0.9999891519546508,0.9999996423721312,-0.11557325955860051,0.2069021761417389,-0.3313692877855521,0.9951306581497192,0.9999961853027344,-0.29247299311669717,0.1008530035614967,-0.1691661150044439,0.9700957536697388,0.9999959468841552,-0.055064913876962066,0.5557039380073547,-0.1419777040502001,0.9902563095092772,0.9999668598175048,-0.22340459163003049,0.5163819193840027,-0.015743037226458707,0.9625439643859864,0.9999922513961792
1,0,0.2035261265718114,-0.3789222240447998,-0.23526170925163528,0.9999959468841552,0.9999984502792358,-0.06311096833912666,-0.4597134590148926,-0.015990544842096156,0.9999759793281556,0.9999970197677612,0.16661547839100227,-0.1591376960277557,-0.27338074134980433,0.9978505969047546,0.9999732971191406,-0.12106955838797741,-0.1576144248247146,-0.038850666808083176,0.8481448292732239,0.9999884366989136,-0.02127316051347003,0.0010553790489211,-0.2516510841902065,0.9965943098068236,0.9999974966049194,-0.22700854593830117,-0.0143051026389002,-0.16252317109228612,0.9478942155838012,0.999997615814209,0.07960668399686036,0.0183989889919757,-0.03362393437636318,0.9999891519546508,0.9999992847442628,-0.07769042363081015,-0.0219787824898958,0.03563043272343967,0.9999890327453612,0.9999996423721312,-0.10855616518117492,0.2072940021753311,-0.3295938721622771,0.9947068095207214,0.9999959468841552,-0.29424005232738604,0.0943282023072242,-0.17725297064470244,0.9691694974899292,0.9999957084655762,-0.05407049066116902,0.5562375783920288,-0.13729211090016433,0.9894471764564514,0.9999598264694214,-0.23412168131189695,0.5105258226394653,-0.016490367246459275,0.959298849105835,0.9999910593032836
2,0,0.20209550552937652,-0.377259612083435,-0.24241457343032966,0.9999959468841552,0.9999983310699464,-0.06871394128716185,-0.457457572221756,-0.021689102734242516,0.9999765157699584,0.9999966621398926,0.16669616811501065,-0.158733457326889,-0.2785196956351083,0.9978864192962646,0.9999725818634032,-0.12099998471325957,-0.1554456502199173,-0.038642844851550444,0.8500640392303467,0.9999874830245972,-0.022642532663581842,0.0011812163284048,-0.25582213067864157,0.9966661930084229,0.999996781349182,-0.23059504893945476,-0.0100304055958986,-0.16036838876225806,0.949119746685028,0.9999969005584716,0.07962579367891834,0.0183744318783283,-0.03362659088066733,0.9999882578849792,0.9999990463256836,-0.07771830430525498,-0.0219692084938287,0.03562966507161207,0.9999882578849792,0.9999994039535522,-0.11068760239788368,0.2072471678256988,-0.3301547681840104,0.9934056401252748,0.9999929666519164,-0.30361847167084643,0.0883530229330062,-0.18081029987863212,0.9642858505249025,0.9999922513961792,-0.05673022695239775,0.5562351942062378,-0.13498798480453578,0.9861372709274292,0.9999337196350098,-0.24718451259654733,0.5062359571456909,-0.017750161946974645,0.949189305305481,0.9999828338623048
3,0,0.19976264123221882,-0.3743143081665039,-0.2472238127237879,0.9999959468841552,0.9999984502792358,-0.07148277926319146,-0.4548957645893097,-0.023646819877804735,0.9999774694442748,0.999997854232788,0.16459476303982212,-0.1570351421833038,-0.28248611277805363,0.9978689551353456,0.999976634979248,-0.12059057734356335,-0.153940200805664,-0.03851149494338956,0.8519507050514221,0.9999916553497314,-0.025117769436485783,0.0021712670568376,-0.25710281418472236,0.996624231338501,0.999996781349182,-0.2315623755220915,-0.0067028035409748,-0.16065033778529852,0.9501789212226868,0.9999977350234984,0.07963752389876345,0.0182958617806434,-0.033671037834721,0.9999876618385316,0.9999990463256836,-0.07773962854932845,-0.0219360198825597,0.03566798726652243,0.9999879002571106,0.9999995231628418,-0.11552242210247679,0.208088994026184,-0.33070643858855575,0.99143248796463,0.9999927282333374,-0.30844610357649094,0.0871654599905014,-0.18224124615080822,0.9567272067070008,0.999993085861206,-0.05855976231573386,0.5561755895614624,-0.13344716778269836,0.9812715649604796,0.9999284744262696,-0.25586079699629205,0.5054079294204712,-0.01936519137385429,0.9345774054527284,0.9999822378158568
4,0,0.2005004935062728,-0.3707382678985595,-0.2541777456787812,0.9999959468841552,0.9999984502792358,-0.07095625546314442,-0.452957272529602,-0.027202980561623874,0.9999783039093018,0.9999977350234984,0.1658736285285523,-0.1558981984853744,-0.28963844131149497,0.9979053735733032,0.9999794960021972,-0.11888649037746128,-0.1522144526243209,-0.040225375330955264,0.8545738458633423,0.999991536140442,-0.025450155952481297,0.0023199412971735,-0.26155908385384086,0.9966897368431092,0.9999974966049194,-0.23240184601586278,-0.0018513372633606,-0.16294788716541542,0.9512548446655272,0.999997615814209,0.07966725569549661,0.0182566829025745,-0.03370981619214179,0.9999870657920836,0.999998927116394,-0.07780600450191194,-0.0219217836856842,0.03569911872835327,0.9999874234199524,0.9999995231628418,-0.11694095790885066,0.209789291024208,-0.3307503923140963,0.989406943321228,0.9999920129776,-0.3109026130331287,0.0871444046497345,-0.182753119263494,0.9476751685142516,0.999991774559021,-0.059530937395726735,0.556056559085846,-0.12973656042254716,0.9754952788352966,0.9999232292175292,-0.2600613086443096,0.5040979981422424,-0.013950171913547249,0.915934145450592,0.999980330467224
5,0,0.19916438358321653,-0.3701783716678619,-0.2557436460947928,0.9999960064888,0.9999985694885254,-0.07197019630361073,-0.4523000121116638,-0.02774066551451483,0.9999788999557496,0.9999974966049194,0.16585343571592986,-0.1554023474454879,-0.29129995589903707,0.9979528784751892,0.9999790191650392,-0.11853139189839987,-0.1516385823488235,-0.04000145484129272,0.8568881750106812,0.9999910593032836,-0.025616305791898636,0.0029002476949244,-0.2628095273406977,0.9967854022979736,0.9999977350234984,-0.23294955626830866,-0.0010527850827202,-0.16270977409487541,0.9524151086807252,0.9999977350234984,0.07972465847883468,0.0181873403489589,-0.033936575266034975,0.9999863505363464,0.999998927116394,-0.07787001590329433,-0.0218807253986597,0.035918443875816,0.99998676776886,0.9999995231628418,-0.11663171068599296,0.2109281122684478,-0.3310256801702989,0.9883567094802856,0.999992847442627,-0.3147376170851809,0.0869667381048202,-0.18205161682368448,0.9412725567817688,0.9999921321868896,-0.05803057432666866,0.5570752024650574,-0.13525394797983686,0.97329443693161,0.9999284744262696,-0.25902454269773306,0.5033998489379883,-0.01326266049106243,0.9048483967781068,0.9999834299087524
6,0,0.19899198257565026,-0.3693562150001526,-0.2558248752591849,0.9999960064888,0.9999984502792358,-0.07203880831823292,-0.4516507685184479,-0.028023216331410004,0.9999794363975524,0.9999974966049194,0.16586093184405276,-0.1548415422439575,-0.29162877733042597,0.9979674816131592,0.9999781847000122,-0.11789383342807908,-0.1515635550022125,-0.039804417870290335,0.8586296439170837,0.9999908208847046,-0.025662920706614384,0.0029136810917407,-0.26328026412290495,0.996843159198761,0.9999977350234984,-0.23286409026019617,-0.0011303424835205,-0.16270372577336753,0.9534045457839966,0.9999977350234984,0.07973142166637108,0.0181458797305822,-0.0339509076632773,0.9999858736991882,0.9999990463256836,-0.07788656573388879,-0.0218621753156185,0.03592796225781312,0.9999864101409912,0.9999995231628418,-0.11785755999751799,0.2123948782682418,-0.33044275644244303,0.9871423244476318,0.999994158744812,-0.3143343797438343,0.0865455120801925,-0.18229734612059456,0.9361650943756104,0.9999939203262328,-0.058539701225440915,0.557668924331665,-0.13310259906211747,0.9707592129707336,0.9999436140060424,-0.2601670239281459,0.5026969909667969,-0.013281794203105705,0.8948619365692139,0.999985933303833
7,0,0.19714310378288932,-0.3686244785785675,-0.25702562427098863,0.9999960064888,0.9999984502792358,-0.07284807086849698,-0.4511329233646393,-0.02814976650613687,0.9999799132347108,0.9999974966049194,0.16493855120084977,-0.1540669202804565,-0.2927687556154706,0.9979742169380188,0.9999792575836182,-0.11779034066772283,-0.1510201692581176,-0.03915479743329011,0.8592755198478699,0.9999912977218628,-0.026783607465013883,0.0034650380257517,-0.2638324298291172,0.9968522787094116,0.9999974966049194,-0.23354604513679378,-0.0009726142161525,-0.16144313374774638,0.9538376927375792,0.9999977350234984,0.07975365487405302,0.018072560429573,-0.033998210254376014,0.99998539686203,0.9999990463256836,-0.0779221799033439,-0.0218149032443761,0.03596987185608294,0.9999859929084778,0.9999995231628418,-0.11781231577954801,0.2129160910844802,-0.33060521137281595,0.9857126474380492,0.9999927282333374,-0.31539043677068673,0.0866654142737388,-0.1822452041180884,0.9291186928749084,0.9999924898147584,-0.05840342386049111,0.5577343106269836,-0.1336806845481351,0.9672567844390868,0.9999276399612428,-0.26127603118819065,0.5027572512626648,-0.013002620579395129,0.8825979828834534,0.9999818801879884
8,0,0.19695050994791044,-0.367977499961853,-0.2566441730605837,0.9999959468841552,0.9999982118606568,-0.07362566488970013,-0.4505443871021271,-0.028436681000546193,0.999980330467224,0.9999972581863404,0.1647531022702366,-0.1538446396589279,-0.2924102215142742,0.9979276657104492,0.999976634979248,-0.11794420347576477,-0.1509110331535339,-0.0392352125904574,0.8605782389640808,0.9999903440475464,-0.027084064077870437,0.0034741866402328,-0.26368315443362367,0.996819257736206,0.9999974966049194,-0.23486823774693483,0.000218796703848,-0.16181582600116273,0.9542722702026368,0.99999737739563,0.07980259602771196,0.0180188119411468,-0.0339567691177476,0.9999850392341614,0.9999990463256836,-0.07800460121740181,-0.0217808187007904,0.03592401154444206,0.999985694885254,0.9999995231628418,-0.11784683614453569,0.2123684287071228,-0.3318401082879137,0.984237790107727,0.9999939203262328,-0.31574527308592926,0.0847861319780349,-0.18264453225305705,0.9224315881729126,0.999993085861206,-0.05907815082234838,0.5573940873146057,-0.1339174561121827,0.9640313386917114,0.9999450445175172,-0.2620572557444423,0.4995926022529602,-0.011539646705511004,0.8703967928886414,0.9999847412109376
9,0,0.19695085409214283,-0.3677593469619751,-0.25625285943762494,0.9999959468841552,0.9999984502792358,-0.07459064932547506,-0.4499337673187256,-0.02948164104946993,0.9999808073043824,0.99999737739563,0.16443050257626865,-0.1532902717590332,-0.29212683718311183,0.9979010224342346,0.999976396560669,-0.11759150507217023,-0.1503231972455978,-0.04060726289680685,0.8624374866485596,0.9999899864196776,-0.026920630731132628,0.0043791821226477,-0.2645129460412788,0.9968119263648988,0.99999737739563,-0.23430468459901402,0.0001139525411417,-0.1639170727614403,0.9550280570983888,0.9999974966049194,0.0798742443745954,0.01795045286417,-0.03390854559558924,0.9999846816062928,0.9999990463256836,-0.07810446906793017,-0.0217402521520853,0.035875834663115565,0.9999854564666748,0.9999995231628418,-0.11968916545145702,0.2137874066829681,-0.32780311238091986,0.9828059077262878,0.9999927282333374,-0.3151388876549893,0.0860054567456245,-0.182427682461192,0.9183142185211182,0.9999921321868896,-0.05978599995081901,0.557715892791748,-0.13171548501210695,0.961159348487854,0.9999241828918456,-0.26358012727583935,0.5018322467803955,-0.011996148726557257,0.8629584312438965,0.9999794960021972
