frame,time,left_shoulder_x,left_shoulder_y,left_shoulder_confidence,right_shoulder_x,right_shoulder_y,right_shoulder_confidence,left_elbow_x,left_elbow_y,left_elbow_confidence,right_elbow_x,right_elbow_y,right_elbow_confidence,left_wrist_x,left_wrist_y,left_wrist_confidence,right_wrist_x,right_wrist_y,right_wrist_confidence,left_hip_x,left_hip_y,left_hip_confidence,right_hip_x,right_hip_y,right_hip_confidence,left_knee_x,left_knee_y,left_knee_confidence,right_knee_x,right_knee_y,right_knee_confidence,left_ankle_x,left_ankle_y,left_ankle_confidence,right_ankle_x,right_ankle_y,right_ankle_confidence
0,0,-0.5821765,0.5510181,0.3496379,-0.5399255,0.546724,0.58102167,-0.5572282,0.6070915,0.30714062,-0.511864,0.593423,0.35920477,-0.53437525,0.6166305,0.27586505,-0.50371766,0.6181005,0.20982583,-0.55685323,0.6776844,0.57725406,-0.52743256,0.6691733,0.36846626,-0.509175,0.72803843,0.31207618,-0.46790856,0.7080985,0.34089157,-0.5146194,0.87229854,0.30980557,-0.47201917,0.84781176,0.23408589
1,0,-0.58459854,0.5510532,0.80271196,-0.5410556,0.54940426,0.91839,-0.53643304,0.5911956,0.4268709,-0.5181893,0.6055422,0.83824223,-0.53287566,0.5510707,0.51821625,-0.5326664,0.5747315,0.20155902,-0.5487645,0.674884,0.9232166,-0.5212571,0.6630525,0.89146835,-0.48194113,0.73579884,0.85583085,-0.45308095,0.7135663,0.94814414,-0.48862022,0.8672169,0.9284227,-0.468768,0.8459059,0.8850238
2,0,-0.5846279,0.55045813,0.8058535,-0.5421552,0.54988223,0.84817547,-0.53771526,0.59165716,0.44834992,-0.5174123,0.60539466,0.6626217,-0.5335077,0.5502745,0.5803954,-0.5312037,0.5531623,0.55100167,-0.54979783,0.6752115,0.82574403,-0.5213316,0.66435957,0.86654043,-0.483029,0.7379585,0.87163377,-0.45308524,0.7155197,0.8759719,-0.4897091,0.86391604,0.7961859,-0.4688626,0.8448889,0.84686506
3,0,-0.5837818,0.55076563,0.8780522,-0.540365,0.5510766,0.8732944,-0.5376445,0.5893185,0.45720193,-0.51768076,0.6065509,0.74214655,-0.53334755,0.5517914,0.6489387,-0.5305933,0.56929624,0.22802272,-0.54815936,0.6756071,0.8942055,-0.5201318,0.6644164,0.867662,-0.48187283,0.7379175,0.81579864,-0.45312375,0.71532875,0.9234772,-0.48926488,0.8635107,0.815042,-0.4682822,0.8440737,0.88395387
4,0,-0.583572,0.5509409,0.78385365,-0.5421931,0.55117154,0.903943,-0.5367813,0.59161514,0.44323385,-0.5176497,0.60672814,0.7405722,-0.53311753,0.55125374,0.671191,-0.53100604,0.5490802,0.5359608,-0.549832,0.6741314,0.85041696,-0.5214061,0.66360235,0.9280347,-0.48310795,0.7376795,0.874107,-0.4533859,0.7148137,0.93389475,-0.489286,0.8634993,0.87468445,-0.4684746,0.8426346,0.91499573
5,0,-0.58389145,0.5503717,0.87202746,-0.5405565,0.5509988,0.85001993,-0.5378224,0.58934045,0.4420011,-0.51709753,0.6063931,0.9178148,-0.5338276,0.553249,0.5864009,-0.53174895,0.5563734,0.51151216,-0.54839313,0.67593396,0.9055586,-0.520025,0.6650286,0.8695799,-0.48182675,0.7374945,0.8260273,-0.45353612,0.7148725,0.9378045,-0.48980263,0.8635326,0.814987,-0.46823865,0.84338063,0.9446593
6,0,-0.58353037,0.55151874,0.78596115,-0.54176533,0.5512806,0.8952508,-0.5365274,0.5905158,0.44474816,-0.5178384,0.6066311,0.77533007,-0.5329688,0.5520646,0.6712724,-0.5310933,0.55356026,0.43024683,-0.54890656,0.6750579,0.8858496,-0.5207402,0.6640188,0.911324,-0.48274234,0.7380671,0.8452114,-0.4535741,0.7144149,0.93367356,-0.49018827,0.86315024,0.86650497,-0.4686046,0.84300596,0.8963248
7,0,-0.58363914,0.5506184,0.83698404,-0.5411925,0.5511896,0.8853741,-0.5370872,0.58997816,0.4786066,-0.5178264,0.6063411,0.7239904,-0.53377455,0.5478096,0.4938885,-0.5312168,0.54939777,0.5194947,-0.54894537,0.67454857,0.8969579,-0.5201438,0.66410464,0.88749975,-0.48187828,0.73717076,0.83658594,-0.45371664,0.71498114,0.9413783,-0.49008834,0.86381894,0.83644533,-0.46871445,0.84330964,0.8499455
8,0,-0.58362985,0.5510456,0.81550765,-0.54202664,0.54963845,0.9183034,-0.5369081,0.59069407,0.4334276,-0.5176502,0.60637736,0.69820285,-0.533169,0.5525671,0.64121383,-0.5312877,0.5535708,0.49082237,-0.5488691,0.67571354,0.908247,-0.520062,0.6640752,0.89335924,-0.48246467,0.7375842,0.86285734,-0.45346126,0.71525586,0.8350587,-0.48938885,0.8637345,0.85404676,-0.468221,0.8427429,0.8822939
9,0,-0.5835288,0.55059165,0.81469315,-0.5422606,0.5506657,0.909624,-0.5368041,0.5900184,0.4305904,-0.5178181,0.60641885,0.72843343,-0.53311425,0.55180705,0.6489708,-0.5312709,0.5499851,0.541021,-0.54912573,0.67450345,0.8902275,-0.52044284,0.66336477,0.9043082,-0.48300323,0.7375763,0.8622451,-0.45337823,0.7151996,0.8175972,-0.4890186,0.8643166,0.8297494,-0.46834144,0.84280044,0.86940515
10,0,-0.58413464,0.5517909,0.72925514,-0.54212976,0.54943293,0.8951874,-0.537578,0.5905749,0.4177362,-0.5174032,0.6064362,0.65657127,-0.53283846,0.5535965,0.5872891,-0.5306315,0.5660534,0.3190005,-0.5490005,0.6758708,0.91248006,-0.5205466,0.6642676,0.9018411,-0.48224953,0.73732275,0.8548997,-0.45322102,0.71514386,0.8315263,-0.48876682,0.8645096,0.84017223,-0.46821687,0.8423239,0.88614863
11,0,-0.5837092,0.55100924,0.8327109,-0.5419528,0.5500847,0.89836353,-0.53762776,0.58988243,0.46711802,-0.51772004,0.60681236,0.7334463,-0.53284395,0.55270016,0.6511242,-0.53066844,0.55296385,0.4727921,-0.5488831,0.6756883,0.940874,-0.52054805,0.66343635,0.902572,-0.48301637,0.7379037,0.8531824,-0.4536867,0.7143011,0.9342222,-0.48903087,0.8650648,0.8382075,-0.46835762,0.84258085,0.8776259
12,0,-0.5843705,0.55223185,0.6992843,-0.54223526,0.5498964,0.89834785,-0.5376064,0.59042937,0.41562906,-0.5173678,0.60652477,0.69381773,-0.5327927,0.5540115,0.6117634,-0.531298,0.56663364,0.28791445,-0.5494457,0.67499435,0.904308,-0.5209886,0.6636908,0.91497177,-0.48316,0.7380806,0.8672292,-0.45327803,0.7149871,0.82641375,-0.48910105,0.864842,0.8584989,-0.4678359,0.8430602,0.88279384
13,0,-0.5840299,0.5505995,0.83492196,-0.5404438,0.5499231,0.841007,-0.53841984,0.589393,0.4692749,-0.5169907,0.6074897,0.9208396,-0.532707,0.5527339,0.6230575,-0.53036535,0.56691897,0.29964998,-0.549658,0.6766215,0.9130728,-0.5206594,0.665117,0.8932292,-0.48232606,0.73776954,0.8239465,-0.45347542,0.71520805,0.8160202,-0.48909637,0.8654679,0.81961966,-0.46840292,0.84278494,0.8477613
14,0,-0.5830597,0.55159336,0.83879185,-0.541431,0.55024874,0.8389165,-0.53794074,0.5897637,0.48112077,-0.51816523,0.60649097,0.7047953,-0.5329205,0.55197257,0.6873213,-0.5306367,0.55292934,0.38722503,-0.5488625,0.67678636,0.91100585,-0.5211137,0.6656027,0.87842554,-0.48295403,0.73853546,0.80745566,-0.45411494,0.71377325,0.8884193,-0.48882204,0.8657441,0.8057927,-0.46802422,0.8441632,0.9007419
15,0,-0.5834614,0.5510488,0.8294095,-0.5416272,0.549684,0.8787685,-0.5377315,0.58956164,0.48993313,-0.5179368,0.6062567,0.75911725,-0.5332685,0.5505321,0.7145784,-0.53092074,0.5469239,0.4575029,-0.5502656,0.67619926,0.9366971,-0.5210932,0.6644986,0.8980786,-0.4832683,0.73884785,0.8280647,-0.4540361,0.7137424,0.91941994,-0.4888851,0.86544484,0.8000189,-0.468089,0.84460473,0.91160446
16,0,-0.582505,0.55223227,0.82590187,-0.54059947,0.54996514,0.7746001,-0.5381944,0.5888319,0.4411965,-0.5179073,0.60491127,0.859602,-0.5326465,0.55206484,0.62865394,-0.53074044,0.5690039,0.22820334,-0.5473834,0.6782685,0.810818,-0.5199379,0.66760695,0.7128837,-0.4820935,0.7389223,0.7290877,-0.4543384,0.7151546,0.854158,-0.48841208,0.8661294,0.76230633,-0.4676577,0.8442735,0.90269876
