frame,time,left_shoulder_x,left_shoulder_y,left_shoulder_confidence,right_shoulder_x,right_shoulder_y,right_shoulder_confidence,left_elbow_x,left_elbow_y,left_elbow_confidence,right_elbow_x,right_elbow_y,right_elbow_confidence,left_wrist_x,left_wrist_y,left_wrist_confidence,right_wrist_x,right_wrist_y,right_wrist_confidence,left_hip_x,left_hip_y,left_hip_confidence,right_hip_x,right_hip_y,right_hip_confidence,left_knee_x,left_knee_y,left_knee_confidence,right_knee_x,right_knee_y,right_knee_confidence,left_ankle_x,left_ankle_y,left_ankle_confidence,right_ankle_x,right_ankle_y,right_ankle_confidence
0,0,0.6843876,0.53109604,0.564159,0.6454283279999999,0.52414227,0.42252985,0.669488808,0.56172687,0.39904633,0.625129368,0.5543361,0.3313427,0.661833072,0.5452987,0.29613647,0.6314902079999999,0.5420362,0.29242337,0.66414336,0.6618829,0.511864,0.6360138359999999,0.654736,0.3982805,0.6278613599999999,0.74781877,0.2893389,0.593161368,0.7224851,0.22272009,0.62877228,0.8526112,0.27380338,0.598498104,0.8311754,0.27057645
1,0,0.69444804,0.52912587,0.7615622,0.6453313199999999,0.5206852,0.81251055,0.6377253599999999,0.57191896,0.63473475,0.608398248,0.54660296,0.53668153,0.6565182,0.5233345,0.39837745,0.651213528,0.52013224,0.7000753,0.6615484799999999,0.6661872,0.9240037,0.62399412,0.6553738,0.88562727,0.572648724,0.72591484,0.87713826,0.547632084,0.7128032,0.8877292,0.594355884,0.8642212,0.7965046,0.569090112,0.84470206,0.8871618
2,0,0.692801712,0.52621186,0.85184544,0.6424648799999999,0.52036214,0.72846234,0.63845652,0.5737394,0.7467936,0.6094686,0.54783934,0.63087976,0.65330316,0.5224964,0.29123092,0.6536384399999999,0.516312,0.6874577,0.660830712,0.6656996,0.8847463,0.620525688,0.6541588,0.79947174,0.5746419359999999,0.7249872,0.81636846,0.5471438399999999,0.7119431,0.9254915,0.59451384,0.8634133,0.9034439,0.5685893999999999,0.843748,0.9065346
3,0,0.69355428,0.526134,0.75311893,0.64284654,0.51856405,0.77130723,0.638218764,0.5730368,0.7732945,0.61018776,0.5466205,0.59069425,0.6544351799999999,0.5199161,0.2527277,0.653326392,0.5166766,0.62730867,0.6604208399999999,0.66725814,0.91454494,0.62021868,0.65418917,0.83540857,0.574551096,0.7249551,0.80170125,0.547336116,0.7108924,0.9384311,0.593352696,0.86166596,0.87212336,0.56862912,0.8426679,0.91193736
4,0,0.6933177,0.5256305,0.8350171,0.6422471519999999,0.5187092,0.8678899,0.63888036,0.573141,0.77030337,0.60987288,0.5489046,0.72476304,0.65522046,0.5205405,0.33738753,0.652096872,0.516947,0.60541034,0.660534888,0.6649949,0.8961307,0.62046792,0.6547993,0.7346492,0.57332268,0.7231337,0.7750922,0.547434036,0.7128911,0.8339025,0.59422068,0.8632916,0.92527163,0.568191216,0.8425596,0.7723516
5,0,0.69358548,0.52526927,0.8064088,0.64275096,0.51956844,0.8613552,0.63848352,0.5732548,0.72423065,0.6100097999999999,0.5491343,0.6920343,0.6546205199999999,0.52097595,0.3306384,0.65180136,0.51794606,0.6265391,0.66070992,0.665916,0.906288,0.62035008,0.65380913,0.8138831,0.57322158,0.7232014,0.7434162,0.54668664,0.7115264,0.8044848,0.5929998599999999,0.86183584,0.87856233,0.56763888,0.8442809,0.8125606
6,0,0.69406578,0.5261824,0.75213456,0.6441028080000001,0.5187917,0.74212545,0.6376383959999999,0.5733165,0.7335814,0.6097849799999999,0.5478685,0.6619304,0.6557868,0.520034,0.33566982,0.6530396399999999,0.51690185,0.6967567,0.66063564,0.6661734,0.9044365,0.6203875200000001,0.65357405,0.81638396,0.57464454,0.7238341,0.8168537,0.54812016,0.712138,0.93471336,0.593073576,0.8619314,0.87596864,0.568135176,0.8439602,0.7679937
7,0,0.69395616,0.5256865,0.79508644,0.64295124,0.51900095,0.8757434,0.638121204,0.5731345,0.7341749,0.61003146,0.5490014,0.7046569,0.655174044,0.52058923,0.33421543,0.6524893199999999,0.517164,0.6373777,0.661112952,0.66581297,0.9031341,0.62098524,0.6535843,0.8057527,0.573155196,0.72310156,0.738989,0.5475912839999999,0.7129302,0.92670065,0.59298702,0.86151516,0.8871195,0.567622128,0.8449212,0.784482
8,0,0.6934909199999999,0.5257461,0.8163641,0.64273812,0.51988906,0.7134288,0.6366314399999999,0.5725634,0.76668596,0.6098992799999999,0.548347,0.57224554,0.65216124,0.52091056,0.31572437,0.65350008,0.5180291,0.7201776,0.6608194799999999,0.66529775,0.8985451,0.61988532,0.6535406,0.91465807,0.574814232,0.7242247,0.80992246,0.54804084,0.71198833,0.9373162,0.5926879199999999,0.8629094,0.87304634,0.56813046,0.84431624,0.7401718
9,0,0.69381738,0.52640116,0.7350715,0.64461972,0.518885,0.7739159,0.6375351239999999,0.5736994,0.7272743,0.61018488,0.5468793,0.57231456,0.65574348,0.52021956,0.3352858,0.6530895,0.5176139,0.70129627,0.6597692039999999,0.66527826,0.8966234,0.61995744,0.6523982,0.91792804,0.574665672,0.72509277,0.8332908,0.547272816,0.71256447,0.9322474,0.592927368,0.86174345,0.8500366,0.568679556,0.84316623,0.89565414
10,0,0.69488004,0.5258747,0.71933764,0.64426656,0.5198879,0.63909495,0.6379103999999999,0.5729462,0.7861401,0.60968244,0.5487261,0.7349856,0.6548194799999999,0.52032447,0.32329783,0.652457208,0.51673937,0.639732,0.659101152,0.66487664,0.8978776,0.61953432,0.6526766,0.91698325,0.572818956,0.7234784,0.71977806,0.547670136,0.71270686,0.9308498,0.593691264,0.8615837,0.85905933,0.5688051599999999,0.84177184,0.9113507
11,0,0.6937434,0.5256688,0.85033417,0.6445846799999999,0.5199879,0.712709,0.6380664,0.5729477,0.80902445,0.6098410799999999,0.54874665,0.7542887,0.6535159199999999,0.5218206,0.36112347,0.65071596,0.5190045,0.6526077,0.65871384,0.6646713,0.89434785,0.619104912,0.6530245,0.8475713,0.572840304,0.7238662,0.7313079,0.5475595919999999,0.7125519,0.9339612,0.59297424,0.86221,0.80232054,0.568904112,0.8418606,0.9062007
12,0,0.694441008,0.52617675,0.8163975,0.64339614,0.5195013,0.73226804,0.63885036,0.5749484,0.6877737,0.609820956,0.5489759,0.75371355,0.655509996,0.5198416,0.32233566,0.653403636,0.5170647,0.64962935,0.65894658,0.6645254,0.90309495,0.6194114399999999,0.6525264,0.8665379,0.5726594399999999,0.724702,0.7155172,0.547217736,0.71323365,0.93298787,0.592899,0.86084175,0.8233137,0.568730232,0.8407837,0.9184653
13,0,0.6934011,0.52501816,0.84343046,0.6446526,0.51981616,0.68011034,0.63793968,0.5730622,0.78414845,0.609892632,0.54964286,0.731052,0.6528076199999999,0.5215054,0.34833422,0.650611992,0.5189851,0.64183784,0.6585444,0.6642054,0.8904977,0.61896708,0.6522277,0.8363967,0.572332512,0.72413063,0.73836786,0.547124544,0.7128359,0.9298619,0.5931981,0.8614021,0.8180541,0.569138328,0.842021,0.69346964
14,0,0.694441008,0.5256601,0.9298129,0.644351076,0.51965964,0.7095695,0.63925848,0.5753219,0.6474417,0.6097731599999999,0.54986775,0.7388349,0.654310368,0.5200206,0.33657667,0.65383068,0.5173348,0.6766129,0.65896848,0.66420764,0.8996272,0.6187902719999999,0.6520658,0.8593511,0.572289744,0.72436035,0.731786,0.546784584,0.7131996,0.9272822,0.591909924,0.86201316,0.7562542,0.5689428,0.8420593,0.88918024
