frame,time,nose_x,nose_y,nose_confidence,left_shoulder_x,left_shoulder_y,left_shoulder_confidence,right_shoulder_x,right_shoulder_y,right_shoulder_confidence,left_elbow_x,left_elbow_y,left_elbow_confidence,right_elbow_x,right_elbow_y,right_elbow_confidence,left_wrist_x,left_wrist_y,left_wrist_confidence,right_wrist_x,right_wrist_y,right_wrist_confidence,left_hip_x,left_hip_y,left_hip_confidence,right_hip_x,right_hip_y,right_hip_confidence,left_knee_x,left_knee_y,left_knee_confidence,right_knee_x,right_knee_y,right_knee_confidence,left_ankle_x,left_ankle_y,left_ankle_confidence,right_ankle_x,right_ankle_y,right_ankle_confidence
333,6.66,0.541297,0.4709307,0.79391956,0.57894343,0.52150655,0.85605276,0.53806585,0.5123046,0.83276117,0.5322217,0.56660765,0.7464084,0.5088501,0.54152113,0.72920793,0.5428655,0.5149149,0.4020233,0.5390514,0.5119082,0.55945337,0.54960567,0.6603272,0.8719171,0.51771176,0.65077287,0.8722745,0.47979122,0.7208646,0.841125,0.4560935,0.70956457,0.8920753,0.49584433,0.8569806,0.8621685,0.47404158,0.8363755,0.8794562
334,6.68,0.54190445,0.46830833,0.7524378,0.5784427,0.52107465,0.8285698,0.5380381,0.5122328,0.6810219,0.53240305,0.56741375,0.8014729,0.50882006,0.53826404,0.62459975,0.5436508,0.5136778,0.33186796,0.5426679,0.5107933,0.5731741,0.55066365,0.6600465,0.8780981,0.51780325,0.64975226,0.86265105,0.4795969,0.7201373,0.82501805,0.45568275,0.70960706,0.87222993,0.49627197,0.8575727,0.78104365,0.4749794,0.8378727,0.86058915
335,6.7,0.5417837,0.46840858,0.667856,0.5784092,0.52226835,0.8554316,0.5375871,0.51249206,0.5978959,0.5312658,0.5663537,0.7876317,0.50914913,0.53808486,0.5845445,0.5411063,0.5153945,0.37789568,0.54267955,0.5121555,0.6077582,0.5504681,0.66125375,0.87988883,0.51718533,0.6517256,0.8450403,0.47937375,0.71896046,0.7616002,0.45698172,0.70852625,0.82612956,0.4962161,0.857274,0.6536563,0.4747385,0.8347096,0.9422103
336,6.72,0.54196346,0.46831688,0.6586625,0.5780834,0.52175725,0.83554757,0.5379227,0.5125368,0.64056474,0.53236884,0.5679398,0.7792547,0.50932807,0.5385456,0.65481246,0.54191756,0.5145677,0.3599076,0.53964704,0.51209754,0.5351323,0.5501804,0.6607163,0.8559807,0.5187266,0.6506904,0.7394926,0.47913247,0.71966815,0.81805617,0.45705122,0.7099873,0.8682863,0.49596694,0.8562214,0.86823475,0.47491735,0.83601695,0.88092375
337,6.74,0.54204065,0.4681692,0.66748035,0.57847786,0.5216897,0.84246486,0.53771013,0.51258546,0.6623615,0.5308191,0.5673337,0.80943084,0.50895125,0.53851706,0.59756476,0.541736,0.5152779,0.3401788,0.5417357,0.5132609,0.46004176,0.5501296,0.66199994,0.8798941,0.5171829,0.6502774,0.9078477,0.47842652,0.71867925,0.7697409,0.45664802,0.70927733,0.8109749,0.496343,0.85638136,0.79538214,0.47492728,0.83666867,0.9396122
338,6.76,0.5421079,0.4684838,0.7333639,0.57815707,0.5221138,0.8279948,0.5376939,0.5120107,0.68267447,0.5323279,0.56774265,0.7972208,0.50914127,0.5383166,0.6398459,0.5430716,0.51478314,0.33917263,0.54088986,0.51312685,0.4758229,0.55085504,0.6611317,0.8683783,0.5192961,0.64991724,0.75123715,0.4802244,0.7208271,0.8366158,0.4572593,0.70951205,0.8797381,0.4960468,0.85656357,0.852283,0.47476843,0.83575165,0.8741635
339,6.78,0.54177654,0.4683834,0.67307687,0.5782487,0.5222297,0.8817809,0.5371941,0.51097053,0.8638523,0.53137565,0.5664682,0.8064719,0.5090651,0.53804684,0.44671792,0.54259056,0.5161463,0.32633436,0.54252523,0.5132643,0.47572872,0.5501569,0.66207105,0.8681903,0.51704943,0.65097904,0.9162115,0.478829,0.7193838,0.75436527,0.45672375,0.7087129,0.8094928,0.4965318,0.85693836,0.7818944,0.4750188,0.8361961,0.9483978
340,6.8,0.5416973,0.47030994,0.7790595,0.5783113,0.523071,0.85842174,0.53698945,0.50997,0.84439003,0.53170687,0.5657717,0.70679814,0.5088408,0.5382432,0.6135586,0.5473403,0.5127697,0.35915256,0.54462373,0.50890183,0.55281043,0.5492574,0.66224104,0.90343493,0.5191079,0.65044564,0.8664064,0.4800745,0.7206276,0.8186245,0.45752284,0.7098868,0.8874313,0.49526522,0.858031,0.8811473,0.47418708,0.8369556,0.8274974
341,6.82,0.54154384,0.4695955,0.81731755,0.5785383,0.52228236,0.89760464,0.53733253,0.5117,0.8408649,0.5314442,0.5656421,0.7721769,0.50882906,0.53991413,0.65453106,0.54585403,0.5132039,0.33535862,0.5434107,0.5098032,0.5982539,0.55043405,0.6620671,0.9272509,0.51847,0.65053946,0.8528049,0.47987378,0.7209804,0.8393688,0.45737526,0.7102974,0.890399,0.49565414,0.8582983,0.8900975,0.47473526,0.8363182,0.8865423
342,6.84,0.5418957,0.4694166,0.79819965,0.5786914,0.52230304,0.8737051,0.53729606,0.5117793,0.6649103,0.53087246,0.56663,0.8122317,0.5087734,0.53773487,0.5430851,0.54177177,0.5148284,0.3324762,0.5438355,0.51110744,0.5800786,0.55085063,0.6592363,0.84840184,0.518137,0.64891756,0.8309415,0.47869587,0.7196158,0.8000172,0.45718688,0.709685,0.8696593,0.4961885,0.85597724,0.8832998,0.47495383,0.83615917,0.6936541
