frame,time,nose_x,nose_y,nose_confidence,left_ear_x,left_ear_y,left_ear_confidence,left_shoulder_x,left_shoulder_y,left_shoulder_confidence,right_shoulder_x,right_shoulder_y,right_shoulder_confidence,left_elbow_x,left_elbow_y,left_elbow_confidence,right_elbow_x,right_elbow_y,right_elbow_confidence,left_wrist_x,left_wrist_y,left_wrist_confidence,right_wrist_x,right_wrist_y,right_wrist_confidence,left_hip_x,left_hip_y,left_hip_confidence,right_hip_x,right_hip_y,right_hip_confidence,left_knee_x,left_knee_y,left_knee_confidence,right_knee_x,right_knee_y,right_knee_confidence,left_ankle_x,left_ankle_y,left_ankle_confidence,right_ankle_x,right_ankle_y,right_ankle_confidence
293,5.86,0.47918668,0.4857861,0.7247295,0.5061508,0.47932366,0.73046905,0.52402526,0.54523504,0.781223,0.48157775,0.539761,0.74933535,0.5224349,0.64390934,0.83873475,0.4787453,0.6189232,0.6457142,0.48347747,0.6959536,0.5083046,0.47394544,0.68726593,0.69133216,0.5228281,0.68369704,0.762987,0.49249157,0.6762198,0.6699979,0.47048092,0.74992436,0.61594135,0.44130123,0.72796744,0.7692722,0.48638517,0.8690295,0.9100555,0.4680757,0.8445048,0.72584206
294,5.88,0.48014122,0.4853913,0.5279749,0.50602126,0.47969073,0.5777546,0.5242303,0.5457878,0.7540036,0.48180476,0.53979653,0.8039314,0.52224964,0.64413494,0.8000112,0.47946152,0.6192198,0.67668045,0.4835486,0.69514644,0.49785322,0.47368112,0.68865544,0.6877399,0.5226805,0.68315756,0.666723,0.49290842,0.67656827,0.5993149,0.47009036,0.75095856,0.5393062,0.44175613,0.7269459,0.71412945,0.4863599,0.8701921,0.85340977,0.468217,0.84214556,0.73521256
295,5.9,0.4796297,0.4861075,0.5265928,0.5059667,0.47981104,0.60415757,0.5240024,0.545595,0.7491201,0.48180798,0.5397073,0.79121155,0.52237964,0.6439337,0.80788803,0.47917086,0.6196773,0.68032867,0.48307583,0.6948708,0.49023342,0.4736237,0.68856287,0.6562462,0.52345383,0.68274385,0.6735458,0.49352488,0.67619723,0.6149372,0.46990088,0.7507894,0.5261069,0.44177943,0.7272498,0.7374555,0.48639253,0.86965513,0.8584118,0.4683793,0.8421501,0.7510734
296,5.92,0.47942838,0.48569646,0.72439986,0.506089,0.47990498,0.6635884,0.524136,0.5448752,0.7641149,0.4815146,0.5394958,0.77088016,0.52245116,0.6442968,0.79682845,0.47902048,0.61927354,0.69184476,0.48323953,0.6962492,0.48135746,0.47402045,0.6877385,0.67687964,0.5237859,0.68196726,0.7077469,0.4936517,0.675377,0.6056332,0.47021452,0.75206316,0.5908738,0.44132832,0.72800076,0.7610666,0.48566544,0.8704828,0.8770146,0.4674683,0.8457688,0.69135517
297,5.94,0.4794718,0.4857181,0.7676843,0.5058682,0.47991073,0.70047706,0.52452236,0.5439784,0.86101305,0.4809684,0.5391282,0.79681396,0.5227217,0.64434695,0.89060265,0.47871158,0.61938655,0.77093935,0.4831909,0.6967269,0.6516979,0.47447807,0.6883502,0.79192173,0.5253057,0.6820259,0.8489695,0.49393958,0.675582,0.7540219,0.47016418,0.74987805,0.75782365,0.44115084,0.7277816,0.88565487,0.48600706,0.86993355,0.91065,0.46788767,0.84166926,0.75573677
298,5.96,0.4802315,0.48523694,0.7343562,0.5064964,0.47968924,0.4397844,0.524143,0.5457067,0.592793,0.48123413,0.5395633,0.7710875,0.5229432,0.64383537,0.7109809,0.47824687,0.6178348,0.4409279,0.48368293,0.69656974,0.46141365,0.47463128,0.68801147,0.6216881,0.5218312,0.6865888,0.8239234,0.49161246,0.6773496,0.6401698,0.47042447,0.75051767,0.5295714,0.4420491,0.72759545,0.7395258,0.48537996,0.87119365,0.8227401,0.46776676,0.84698564,0.6504941
299,5.98,0.4807106,0.48565498,0.7114834,0.50461155,0.48030785,0.44710645,0.52393246,0.5448853,0.7851749,0.48201504,0.5396728,0.7210329,0.5223649,0.6435649,0.82318324,0.47901723,0.6204027,0.49628186,0.48460913,0.69529635,0.55193114,0.4740661,0.68948454,0.66844445,0.5227179,0.6805274,0.7657552,0.49255446,0.67407715,0.505801,0.47073156,0.750662,0.5144794,0.44109356,0.7272135,0.778118,0.4848646,0.87039673,0.8594354,0.46673024,0.8432253,0.75355124
300,6.0,0.47881475,0.4868799,0.78239435,0.5061669,0.48008722,0.7656572,0.52515334,0.5406078,0.7919379,0.48031703,0.53830135,0.82429975,0.5234436,0.6443261,0.9263836,0.47842014,0.6186935,0.79285705,0.48460248,0.6959347,0.62117517,0.4747311,0.6877295,0.8111821,0.5262957,0.6799174,0.8338883,0.49327767,0.6738761,0.7736328,0.4696997,0.7505551,0.78814465,0.44031623,0.72853464,0.9069716,0.48692262,0.8697317,0.9245046,0.4676291,0.8435198,0.86397296
301,6.02,0.47952473,0.48626676,0.7517479,0.50673693,0.4796224,0.58404016,0.5251378,0.54288626,0.8832532,0.4793352,0.53845525,0.7848505,0.5232652,0.64428097,0.8708108,0.4779667,0.61879075,0.6337336,0.48284334,0.69644654,0.67678225,0.47455168,0.6900858,0.6097316,0.5256702,0.6820699,0.8907446,0.49284032,0.6752409,0.6471044,0.47016582,0.7510926,0.831246,0.4401066,0.7272442,0.8109264,0.48589244,0.8705494,0.8560995,0.46721983,0.8444673,0.8190811
302,6.04,0.480233,0.4859575,0.70528215,0.5062449,0.47864482,0.528908,0.5249105,0.543231,0.8609322,0.48038104,0.5388027,0.835008,0.52302206,0.6433839,0.8853544,0.47816917,0.61907166,0.6694452,0.48345196,0.69651955,0.6962702,0.47438133,0.6883607,0.7876713,0.525556,0.68315035,0.8792983,0.49300972,0.67553556,0.7682893,0.47015312,0.7508983,0.8011853,0.4412018,0.72787434,0.9016896,0.4858864,0.86956066,0.82663816,0.4684457,0.8414423,0.8069885
