frame,time,nose_x,nose_y,nose_confidence,left_shoulder_x,left_shoulder_y,left_shoulder_confidence,right_shoulder_x,right_shoulder_y,right_shoulder_confidence,left_elbow_x,left_elbow_y,left_elbow_confidence,right_elbow_x,right_elbow_y,right_elbow_confidence,left_wrist_x,left_wrist_y,left_wrist_confidence,right_wrist_x,right_wrist_y,right_wrist_confidence,left_hip_x,left_hip_y,left_hip_confidence,right_hip_x,right_hip_y,right_hip_confidence,left_knee_x,left_knee_y,left_knee_confidence,right_knee_x,right_knee_y,right_knee_confidence,left_ankle_x,left_ankle_y,left_ankle_confidence,right_ankle_x,right_ankle_y,right_ankle_confidence
460,9.2,0.45708242,0.33884,0.7474704,0.4979442,0.40230227,0.9087211,0.4582304,0.40813866,0.6343774,0.50706524,0.5095172,0.85609454,0.46098587,0.50179476,0.51138914,0.48818263,0.5908927,0.55505407,0.45008218,0.57537526,0.73920876,0.49496236,0.5742926,0.81335664,0.4635662,0.5765714,0.81870383,0.49411324,0.71686864,0.7733115,0.47233838,0.715998,0.826312,0.50425655,0.8540275,0.6695542,0.4818635,0.8371176,0.86267525
461,9.22,0.45627674,0.3386178,0.6717412,0.49709892,0.4016413,0.89450884,0.45906913,0.40751716,0.6250651,0.5070145,0.5107321,0.84942096,0.46321684,0.5029839,0.50617135,0.4877365,0.59178317,0.5185467,0.45026368,0.5736901,0.6473484,0.49518916,0.5739222,0.8032297,0.46346676,0.5753362,0.7891069,0.49433562,0.71782285,0.6298061,0.4734993,0.71468323,0.6258299,0.50340134,0.854551,0.60923636,0.48151156,0.83743995,0.84974414
462,9.24,0.45666102,0.33848882,0.72637326,0.49828008,0.40236014,0.9159067,0.45870748,0.4079748,0.61398774,0.507074,0.5110336,0.8465836,0.462872,0.5040594,0.5123735,0.48827595,0.59222573,0.56164086,0.45059934,0.5751621,0.68520176,0.4947099,0.5738639,0.79166704,0.46330765,0.5755097,0.8047994,0.49427307,0.718017,0.8989648,0.47239494,0.7149658,0.78132397,0.5044412,0.85519063,0.7978364,0.48141536,0.8389302,0.8269166
463,9.26,0.45648423,0.33866265,0.7318699,0.49812979,0.4024299,0.9175255,0.4582952,0.4090619,0.62621266,0.5068217,0.5103178,0.8423835,0.46140206,0.5031606,0.51377064,0.48776755,0.5918541,0.57361543,0.44998068,0.5758865,0.7033722,0.49513447,0.5730437,0.79582185,0.46368805,0.5749905,0.80244386,0.4939473,0.7166791,0.7506664,0.47292438,0.71557945,0.8170361,0.50358254,0.8538668,0.62390167,0.48132083,0.83811986,0.8498688
464,9.28,0.4568538,0.33904368,0.71694094,0.49822515,0.40209225,0.9080449,0.45893186,0.40693745,0.62360346,0.50701183,0.5107337,0.8369978,0.4631523,0.5031193,0.5164934,0.4880638,0.5917711,0.6071792,0.45058307,0.5742012,0.6776775,0.49497917,0.57329893,0.79065245,0.46341944,0.57532424,0.80621,0.49439895,0.718061,0.8861714,0.47252256,0.7145369,0.774474,0.50422233,0.85532045,0.780446,0.48117384,0.8380867,0.8114249
465,9.3,0.45685297,0.3386296,0.73017114,0.49781865,0.40194565,0.80898446,0.45917866,0.40861052,0.6604375,0.5069486,0.5106611,0.8341199,0.46223965,0.50359803,0.4806545,0.4885866,0.59132814,0.5954958,0.45000803,0.5750122,0.7114446,0.49495065,0.57388926,0.80167586,0.46344915,0.5759517,0.81458986,0.49354133,0.7172797,0.72559804,0.47259465,0.7157789,0.8138618,0.5048147,0.8557872,0.8127888,0.48105672,0.8384461,0.8356222
466,9.32,0.4569043,0.33954468,0.73972094,0.49810198,0.40184742,0.91471404,0.45875895,0.4087866,0.8243937,0.5070584,0.51014984,0.8511169,0.46088865,0.5022001,0.53726745,0.48783627,0.59154856,0.5566506,0.4500342,0.575087,0.7179403,0.49555737,0.57357883,0.80646557,0.4637509,0.575714,0.8071945,0.4938699,0.71780133,0.747017,0.4728857,0.7166627,0.8202332,0.5036749,0.85530037,0.62042576,0.4808792,0.8376361,0.8513022
467,9.34,0.45705256,0.33905923,0.71928036,0.49769273,0.4008921,0.8955836,0.4589463,0.40761632,0.62317777,0.50679123,0.50903815,0.8102702,0.4621153,0.50193936,0.54380405,0.48781568,0.5913337,0.6003125,0.45046887,0.57434684,0.69916666,0.49500737,0.5737456,0.8018233,0.46354815,0.5758577,0.8145304,0.49486443,0.71932113,0.648805,0.47408122,0.7160927,0.6561631,0.5040367,0.85420805,0.63993233,0.48149922,0.83895415,0.8248646
468,9.36,0.4565932,0.3387111,0.7274844,0.4978236,0.40178183,0.90130234,0.45979232,0.40691686,0.64162815,0.5069112,0.5094004,0.85724473,0.4635147,0.50327724,0.52324533,0.4882331,0.59119445,0.5979663,0.45024988,0.57545143,0.6958274,0.4952338,0.5738273,0.8034928,0.46360573,0.57587695,0.8049767,0.49364957,0.71698254,0.7227042,0.4720761,0.71446663,0.79323727,0.50396645,0.8562647,0.7773576,0.48094687,0.8381605,0.8098604
469,9.38,0.45690218,0.33844754,0.7319849,0.49824607,0.40184936,0.910122,0.45937684,0.4086399,0.6664378,0.5069172,0.51009285,0.8121528,0.46287215,0.5043155,0.52804905,0.48779488,0.59101653,0.62445784,0.45025977,0.57553154,0.72375655,0.49564362,0.57515544,0.8246357,0.4635166,0.5777957,0.82165176,0.49498713,0.7193937,0.6615076,0.47386685,0.7146932,0.59707963,0.5053011,0.85757095,0.8259463,0.4812008,0.8380895,0.85013086
470,9.4,0.4567305,0.33896488,0.7227734,0.49770463,0.4015807,0.8926295,0.46004662,0.4064993,0.6438119,0.50664616,0.51014143,0.79194975,0.46253496,0.50258946,0.53546673,0.48773888,0.59189993,0.6033989,0.45036837,0.5751098,0.71680015,0.49540997,0.57671463,0.82509124,0.46466103,0.5785627,0.8108948,0.49371302,0.71758074,0.6860828,0.47249502,0.7125553,0.74669576,0.50401855,0.85564977,0.62743115,0.4812652,0.83601016,0.83722085
471,9.42,0.4574012,0.33767003,0.6314685,0.49771175,0.4021902,0.87291175,0.46009266,0.40845755,0.76041853,0.50683814,0.5106775,0.77059156,0.46410784,0.5025912,0.5554362,0.48784858,0.59112173,0.55624217,0.45150524,0.57201415,0.7347009,0.49565512,0.5762347,0.80511695,0.46400344,0.5776567,0.7916802,0.49415195,0.7172181,0.6841972,0.47203025,0.7144243,0.72054845,0.50360954,0.85312456,0.64644253,0.4813205,0.8361414,0.8251867
472,9.44,0.45784596,0.33683702,0.5703114,0.49799362,0.4021477,0.8825218,0.46002138,0.40951827,0.7498386,0.5070489,0.5104346,0.8229554,0.4637602,0.5058035,0.51782304,0.48826548,0.5920584,0.62148404,0.45099652,0.5763422,0.6505162,0.49511826,0.5763179,0.7909641,0.46355006,0.5777472,0.78772354,0.49567205,0.71897995,0.68505716,0.47338313,0.71366656,0.54923415,0.50387824,0.8558815,0.7305063,0.4816248,0.8386424,0.77726346
473,9.46,0.4571008,0.33852077,0.7165646,0.49838826,0.40277806,0.9070514,0.45945737,0.40865338,0.76011765,0.5070283,0.51034087,0.8447249,0.462566,0.50355846,0.49357378,0.48883718,0.5916144,0.5274068,0.45147103,0.57153285,0.7671409,0.49569324,0.5767222,0.7988739,0.46433884,0.57840544,0.7932229,0.49387327,0.71742046,0.7177061,0.4725464,0.71352416,0.7581254,0.5034792,0.85508376,0.60818803,0.48078558,0.8384695,0.8482921
474,9.48,0.45792568,0.3368399,0.59201425,0.49823773,0.40242255,0.8843666,0.4596424,0.40968785,0.72494453,0.5071577,0.51018155,0.82613456,0.4633978,0.5053693,0.5232489,0.48816046,0.59228855,0.6162356,0.45139128,0.5763807,0.67709494,0.49582952,0.575676,0.7890008,0.46414846,0.5773912,0.7822384,0.49456868,0.71792704,0.72565037,0.47222772,0.7146751,0.7175404,0.50387174,0.8514399,0.666225,0.48169786,0.83828235,0.792216
475,9.5,0.45787925,0.33710125,0.5480839,0.49851525,0.40232262,0.8914366,0.4598097,0.4098284,0.73195165,0.50758904,0.51056886,0.8557063,0.4630664,0.50352174,0.5392656,0.48920855,0.5920694,0.5217132,0.45158923,0.57542306,0.686544,0.4954691,0.5741451,0.7792885,0.4637776,0.5754658,0.7723213,0.49434176,0.7196391,0.649777,0.47396037,0.71506345,0.6481988,0.5043929,0.8558912,0.76385176,0.48121986,0.8378659,0.7876827
476,9.52,0.45869705,0.33929172,0.7526263,0.49997383,0.40365776,0.56632733,0.45968074,0.40944028,0.67113376,0.5075477,0.5098763,0.8465928,0.4632576,0.5033167,0.49967617,0.4892518,0.59126467,0.55680025,0.45164967,0.5763264,0.797328,0.4963873,0.57547396,0.8075347,0.4645328,0.5777113,0.81589305,0.4956567,0.71897274,0.6877541,0.47405908,0.7145109,0.62571716,0.50403243,0.85424274,0.63562393,0.48147723,0.8385599,0.83836657
