frame,time,left_shoulder_x,left_shoulder_y,left_shoulder_confidence,right_shoulder_x,right_shoulder_y,right_shoulder_confidence,left_elbow_x,left_elbow_y,left_elbow_confidence,right_elbow_x,right_elbow_y,right_elbow_confidence,left_wrist_x,left_wrist_y,left_wrist_confidence,right_wrist_x,right_wrist_y,right_wrist_confidence,left_hip_x,left_hip_y,left_hip_confidence,right_hip_x,right_hip_y,right_hip_confidence,left_knee_x,left_knee_y,left_knee_confidence,right_knee_x,right_knee_y,right_knee_confidence,left_ankle_x,left_ankle_y,left_ankle_confidence,right_ankle_x,right_ankle_y,right_ankle_confidence,left_shoulder_interpolated,right_shoulder_interpolated,left_elbow_interpolated,right_elbow_interpolated,left_wrist_interpolated,right_wrist_interpolated,left_hip_interpolated,right_hip_interpolated,left_knee_interpolated,right_knee_interpolated,left_ankle_interpolated,right_ankle_interpolated
250,5.0,0.56452435,0.538778,0.7904064,0.5204303,0.5385671,0.8471014,0.5588666,0.6417619,0.86692995,0.5136592,0.6190015,0.8537937,0.5117618,0.6893428,0.7109407,0.49364042,0.6690562,0.666133,0.566551,0.6759328,0.74265,0.5310655,0.67140055,0.6981451,0.5025599833333333,0.7259811833333334,0.4838438,0.4783572,0.7090835,0.87767005,0.5223313,0.8571325,0.8662825,0.49824244,0.84115285,0.8391482,False,False,False,False,False,False,False,False,True,False,False,False
251,5.02,0.5637618,0.5380839,0.90770555,0.5202678,0.5371027,0.750834,0.5593736,0.64095145,0.8072214,0.51364326,0.618142,0.8182534,0.50971806,0.6891306,0.70061094,0.49410427,0.66737163,0.7450743,0.567688,0.6760004,0.7778774,0.5319494,0.6731495,0.7387035,0.50276405,0.7261935,0.7676097,0.47883824,0.70941484,0.85511976,0.52243304,0.8572002,0.93927574,0.49870962,0.84028244,0.9214509,False,False,False,False,False,False,False,False,False,False,False,False
252,5.04,0.5637458,0.53880566,0.86779344,0.5203725,0.5377353,0.7330427,0.55998003,0.6407169,0.75163597,0.5131415,0.61792284,0.8619786,0.5096664,0.6895349,0.6723164,0.49472478,0.66700804,0.69357514,0.566703,0.6738372,0.9050234,0.5318392,0.6710649,0.64874536,0.5025599000000001,0.72624043,0.51087946,0.47870064,0.71103036,0.8610111,0.522625,0.8584278,0.888232,0.4992545,0.84137166,0.8669345,False,False,False,False,False,False,False,False,True,False,False,False
253,5.06,0.5633156,0.540864,0.8382424,0.52108806,0.53923887,0.70148706,0.55946994,0.6407118,0.73887724,0.5136927,0.61991364,0.68424684,0.50961525,0.68958365,0.55729765,0.49455696,0.6668454,0.68271846,0.56606394,0.67708135,0.83668286,0.5307879,0.6732894,0.7490769,0.50235575,0.72628736,0.6930845,0.47866186,0.71015227,0.83630025,0.5212849,0.857592,0.74028945,0.49833524,0.84143484,0.8658569,False,False,False,False,True,False,False,False,False,False,False,False
254,5.08,0.5628484,0.5401452,0.85080683,0.5211067,0.5383191,0.7076676,0.5595627,0.6412917,0.8606889,0.514434,0.6164416,0.7624325,0.5095641,0.6896324,0.72097224,0.4942094649999999,0.6676542249999999,0.56810606,0.564866,0.67585176,0.890618,0.53084314,0.67106706,0.6095149,0.50273269,0.72720068,0.5262038,0.47879976,0.71160144,0.840559,0.5221082,0.8567668,0.9526652,0.4988271,0.84015715,0.8753736,False,False,False,False,False,True,False,False,True,False,False,False
255,5.1,0.5633703,0.54129225,0.88726705,0.5209211,0.53912956,0.80663246,0.5593566,0.6414879,0.74351543,0.51344323,0.62076706,0.8003705,0.5104012,0.69032997,0.7352095,0.49386197,0.66846305,0.6847682,0.5658004,0.676356,0.7531911,0.5306176,0.670921,0.6261805,0.50310963,0.728114,0.73429155,0.47924027,0.71110773,0.86238694,0.5225123,0.85760355,0.907815,0.49823037,0.8416412,0.83477956,False,False,False,False,False,False,False,False,False,False,False,False
256,5.12,0.5625674,0.54160076,0.8501887,0.5212439,0.53885156,0.6990717,0.5593162,0.64194804,0.66406286,0.5140052,0.61969846,0.70038927,0.51018924,0.69019336,0.6686296,0.4940528,0.66858494,0.643888,0.5653935,0.6785465,0.78296256,0.5304562,0.673855,0.66612804,0.50367635,0.72845924,0.72221446,0.47894093,0.7105124,0.801165,0.52160925,0.8567567,0.91684484,0.49825656,0.8407191,0.8324418,False,False,False,False,False,False,False,False,False,False,False,False
257,5.14,0.562811,0.54131216,0.8574193,0.52114695,0.5396175,0.7953052,0.559441,0.6416192,0.8261033,0.51419145,0.61763114,0.73151904,0.5109692,0.6894849,0.6790307,0.49396482,0.67075175,0.6535923,0.5643024,0.6770472,0.83410585,0.530735,0.66980034,0.6919593,0.50341016,0.727963835,0.4358305,0.47999114,0.71474403,0.8004039,0.5222707,0.8588128,0.9243603,0.49899605,0.84072006,0.8558815,False,False,False,False,False,False,False,False,True,False,False,False
258,5.16,0.56426316,0.53994614,0.71093947,0.52098405,0.5388995,0.7762938,0.55903894,0.6418264,0.7717061,0.5137259,0.6200594,0.8346854,0.51028645,0.691651,0.6983082,0.49367866,0.6686405,0.7257129,0.56653696,0.67589414,0.73251027,0.53190696,0.6714873,0.6880998,0.50314397,0.72746843,0.7404285,0.47904307,0.7101495,0.88529104,0.5221995,0.857052,0.8735043,0.49866024,0.840416,0.8907444,False,False,False,False,False,False,False,False,False,False,False,False
259,5.18,0.56321603,0.540527,0.84830695,0.5212209,0.5383141,0.6793047,0.55962044,0.6406831,0.7393933,0.5140703,0.61895883,0.7365082,0.50969607,0.6893763,0.66320163,0.49475524,0.66680443,0.7000419,0.5659884,0.6755098,0.79197276,0.5305412,0.6716667,0.69741625,0.5014178,0.7276803,0.7239435,0.4780784,0.71114963,0.8364011,0.52111346,0.8581984,0.95307267,0.49804306,0.8423177,0.86658084,False,False,False,False,False,False,False,False,False,False,False,False
