frame,time,nose_x,nose_y,nose_confidence,left_ear_x,left_ear_y,left_ear_confidence,left_shoulder_x,left_shoulder_y,left_shoulder_confidence,right_shoulder_x,right_shoulder_y,right_shoulder_confidence,left_elbow_x,left_elbow_y,left_elbow_confidence,right_elbow_x,right_elbow_y,right_elbow_confidence,left_wrist_x,left_wrist_y,left_wrist_confidence,right_wrist_x,right_wrist_y,right_wrist_confidence,left_hip_x,left_hip_y,left_hip_confidence,right_hip_x,right_hip_y,right_hip_confidence,left_knee_x,left_knee_y,left_knee_confidence,right_knee_x,right_knee_y,right_knee_confidence,left_ankle_x,left_ankle_y,left_ankle_confidence,right_ankle_x,right_ankle_y,right_ankle_confidence,nose_interpolated,left_ear_interpolated,left_shoulder_interpolated,right_shoulder_interpolated,left_elbow_interpolated,right_elbow_interpolated,left_wrist_interpolated,right_wrist_interpolated,left_hip_interpolated,right_hip_interpolated,left_knee_interpolated,right_knee_interpolated,left_ankle_interpolated,right_ankle_interpolated
320,6.4,0.5510967,0.49523038,0.75199836,0.5748532,0.5012438,0.8382645,0.58148974,0.55438834,0.8906959,0.5406046,0.55084187,0.6874009,,,0.49912494,0.51729107,0.6068487,0.6696899,0.53229207,0.54828242,0.51220363,,,0.20085587,0.547096,0.67976654,0.6647869,0.518856,0.6688687,0.8467693,0.482647,0.73700416,0.8047739,0.45277596,0.7145696,0.9027709,0.4876339,0.86543596,0.8682139,0.4664259,0.843783,0.82578063,False,False,False,False,False,False,True,False,False,False,False,False,False,False
321,6.42,0.55037093,0.4944509,0.84343415,0.57495934,0.50202876,0.9040213,0.5825992,0.55130124,0.7032083,0.5409548,0.5495341,0.8542922,,,0.568024,0.51657546,0.6062525,0.8511514,0.53224474,0.54848564,0.61954,,,0.4985749,0.5492221,0.6756021,0.78055346,0.5192603,0.6646684,0.8787737,0.48235226,0.73661286,0.81402034,0.45261607,0.7140205,0.92258155,0.48781413,0.8652064,0.85515994,0.46680644,0.84224683,0.93713117,False,False,False,False,False,False,False,False,False,False,False,False,False,False
322,6.44,0.5509970500000001,0.49517541,0.5830405,0.5736378,0.5018896,0.60265225,0.58188754,0.5524265,0.7211589,0.54064673,0.5493665,0.7639975,,,0.5017489,0.51726145,0.60344875,0.8535529,0.5318545,0.55135804,0.6260013,,,0.32637075,0.5455134,0.6804186,0.7749791,0.5183705,0.6675052,0.80881727,0.48207906,0.7396872,0.8076064,0.45367607,0.7135933,0.80894864,0.4864806,0.86586285,0.6940429,0.4664989,0.8440779,0.8675363,True,False,False,False,False,False,False,False,False,False,False,False,False,False
323,6.46,0.55162317,0.49589992,0.6503776,0.5744568,0.50090504,0.7689894,0.580747,0.5542553,0.85900927,0.54127103,0.5498424,0.6547322,,,0.4828891,0.51724446,0.604854,0.860563,0.5317242125,0.5513982725,0.5190656,,,0.21908545,0.545245,0.6817052,0.79535836,0.5187318,0.66932327,0.8489857,0.48293087,0.7378376,0.81132084,0.4530338,0.714358,0.8930074,0.48743007,0.86440766,0.88992506,0.46583903,0.8435496,0.9370587,False,False,False,False,False,False,True,False,False,False,False,False,False,False
324,6.48,0.55137897,0.49559924,0.74275887,0.57465,0.50150543,0.78606963,0.5816912,0.55403626,0.8994532,0.5403722,0.5508806,0.7393808,,,0.4229092,0.5168944,0.6068448,0.667299,0.531593925,0.551438505,0.55126953,,,0.18889134,0.5481197,0.67855495,0.8524843,0.5197504,0.66663367,0.8835663,0.4828462,0.73636514,0.63055545,0.45330414,0.7137165,0.9181475,0.48765814,0.866065,0.9345908,0.46637738,0.8425743,0.898637,False,False,False,False,False,False,True,False,False,False,False,False,False,False
325,6.5,0.55014914,0.49567974,0.80600893,0.5733326,0.50296307,0.85155785,0.58238995,0.55191374,0.78665763,0.5413777,0.5501537,0.7778012,0.53763086,0.5908028,0.60075915,0.51688224,0.6069352,0.808424,0.5314636375,0.5514787375,0.5608828,,,0.43580788,0.5466292,0.67791694,0.84668565,0.51855135,0.66528535,0.832159,0.48270348,0.73740304,0.85747236,0.45342514,0.7137771,0.7794483,0.486257,0.86446124,0.65779155,0.46628904,0.8426056,0.95146894,False,False,False,False,False,False,True,False,False,False,False,False,False,False
326,6.52,0.5489504,0.4965599,0.6289824,0.57412636,0.5016208,0.91186166,0.5825413,0.5523031,0.9179756,0.5413457,0.5491779,0.81910896,0.5366104700000001,0.5923455099999999,0.5385492,0.5170082,0.6068671,0.77481216,0.5313333499999999,0.55151897,0.51426715,,,0.287461,0.5476547,0.6781525,0.80915403,0.5195114,0.6657628,0.9008188,0.48267242,0.7385052,0.84962296,0.45316777,0.7144608,0.76556057,0.48698157,0.8642002,0.7869792,0.4661649,0.8435275,0.9108409,False,False,False,False,True,False,True,False,False,False,False,False,False,False
327,6.54,0.5487453,0.49729037,0.8266217,0.5722576,0.50304663,0.7031298,0.58236766,0.55117315,0.78635436,0.5397856,0.54793125,0.8517612,0.5355900800000001,0.59388822,0.5392977,0.5167462,0.6063381,0.7775645,0.5312030624999999,0.5515592025,0.5368784,,,0.5103938,0.5477356,0.6772636,0.93366134,0.51875794,0.6646455,0.8606132,0.48184058,0.73661405,0.7091781,0.4529665,0.71396875,0.7837106,0.4869361,0.8654509,0.8073468,0.46662444,0.84358996,0.8944749,False,False,False,False,True,False,True,False,False,False,False,False,False,False
328,6.56,0.5477916,0.49873018,0.8828251,0.5715698,0.50314075,0.78404313,0.58182293,0.5519654,0.7656582,0.53887105,0.547027,0.8105808,0.53456969,0.59543093,0.53701997,0.51691395,0.6055056,0.7415771,0.5310727749999999,0.551599435,0.4670899,,,0.48635444,0.547391,0.6791027,0.87156916,0.5197365,0.6667955,0.8697245,0.48299828,0.7381801,0.8507255,0.4531403,0.71425706,0.86723113,0.48712507,0.8649046,0.80681807,0.46637204,0.8438681,0.8864706,False,False,False,False,True,False,True,False,False,False,False,False,False,False
329,6.58,0.5466353,0.5008549,0.7460672,0.570113,0.50314295,0.8182204,0.5821622,0.55042976,0.8948375,0.5384554,0.5463437,0.8926431,0.5335493,0.59697364,0.5147538,0.5152768,0.60553914,0.84566456,0.5309424875,0.5516396675,0.5778705,,,0.48080432,0.5473381,0.6772273,0.9370175,0.51959515,0.6649212,0.88691086,0.48282972,0.73656875,0.87957746,0.45242938,0.7142754,0.94344366,0.4874868,0.86403596,0.90851927,0.4665338,0.84270483,0.9478542,False,False,False,False,True,False,True,False,False,False,False,False,False,False
