frame,time,nose_x,nose_y,nose_confidence,left_shoulder_x,left_shoulder_y,left_shoulder_confidence,right_shoulder_x,right_shoulder_y,right_shoulder_confidence,left_elbow_x,left_elbow_y,left_elbow_confidence,right_elbow_x,right_elbow_y,right_elbow_confidence,left_wrist_x,left_wrist_y,left_wrist_confidence,right_wrist_x,right_wrist_y,right_wrist_confidence,left_hip_x,left_hip_y,left_hip_confidence,right_hip_x,right_hip_y,right_hip_confidence,left_knee_x,left_knee_y,left_knee_confidence,right_knee_x,right_knee_y,right_knee_confidence,left_ankle_x,left_ankle_y,left_ankle_confidence,right_ankle_x,right_ankle_y,right_ankle_confidence,nose_interpolated,left_shoulder_interpolated,right_shoulder_interpolated,left_elbow_interpolated,right_elbow_interpolated,left_wrist_interpolated,right_wrist_interpolated,left_hip_interpolated,right_hip_interpolated,left_knee_interpolated,right_knee_interpolated,left_ankle_interpolated,right_ankle_interpolated
594,11.88,0.4116475,0.32856035,0.7689846,0.44901466,0.3769436,0.730654,0.41216692,0.3834265,0.74140847,,,0.44376835,0.39279068,0.4521774,0.78149706,,,0.42305225,,,0.50170237,0.4466198,0.5626232,0.8264627,0.41532147,0.56378514,0.7557923,0.44166154,0.7037217,0.87718827,0.41987732,0.69994473,0.7937576,0.45087832,0.84635544,0.8342619,0.42977047,0.8312527,0.6849096,False,False,False,False,False,False,False,False,False,False,False,False,False
595,11.9,0.4106516,0.32808742,0.79329795,0.4490382,0.3778934,0.80183554,0.41156483,0.3839962,0.760873,,,0.42591158,0.39250338,0.454119,0.7414726,,,0.4660231,,,0.4812115,0.44668707,0.56189346,0.852804,0.41556162,0.56339824,0.78545094,0.4404616,0.70173526,0.7931184,0.4194635,0.6985348,0.6560763,0.44938728,0.84430677,0.64301234,0.4293302,0.83100086,0.6172578,False,False,False,False,False,False,False,False,False,False,False,False,False
596,11.92,0.4105365,0.32836592,0.8273363,0.4513256,0.38067773,0.80320585,0.41194618,0.3861689,0.777128,,,0.43500906,0.3928194,0.4556872,0.74487084,,,0.46790278,,,0.5662241,0.44767183,0.5600045,0.84318167,0.41781834,0.5618181,0.70942867,0.44143784,0.70452815,0.75395113,0.42087695,0.7016267,0.75839007,0.45001182,0.8464958,0.7439659,0.42923585,0.8286563,0.8179122,False,False,False,False,False,False,False,False,False,False,False,False,False
597,11.94,0.41009507,0.32806915,0.7343161,0.44874802,0.37784967,0.82836735,0.4117408,0.38594845,0.76824814,,,0.31203425,0.39339694,0.45813778,0.70034873,,,0.4141072,,,0.4471739,0.44881633,0.55787295,0.81549156,0.4174659,0.5606485,0.7535438,0.441344,0.7037769,0.74858224,0.4219879,0.7018729,0.7555576,0.44973436,0.8468297,0.7763998,0.42918473,0.8283133,0.85097414,False,False,False,False,False,False,False,False,False,False,False,False,False
598,11.96,0.408244,0.3285522,0.7256322,0.4480576,0.37830737,0.65669405,0.40984395,0.38836303,0.82407266,,,0.39410058,0.39271227,0.46139163,0.7357064,,,0.33664933,,,0.5102264,0.44987944,0.56303245,0.875605,0.42034397,0.56513447,0.8079922,0.44119617,0.70526373,0.85338944,0.42136356,0.7018584,0.814285,0.45106333,0.8460695,0.81561124,0.4297456,0.8280444,0.86113775,False,False,False,False,False,False,False,False,False,False,False,False,False
599,11.98,0.40707508,0.33007354,0.7683129,0.44823137,0.38095272,0.8302278,0.41014117,0.39183363,0.8029247,,,0.30167425,0.39310774,0.46555957,0.7081239,,,0.34101886,,,0.43047416,0.45155677,0.56533486,0.88513273,0.4225405,0.5676944,0.8304412,0.44258887,0.7061635,0.8567725,0.42082882,0.69949466,0.89516807,0.45364943,0.84855866,0.82397264,0.43047562,0.8286516,0.821322,False,False,False,False,False,False,False,False,False,False,False,False,False
600,12.0,0.40506095,0.33449277,0.64746624,0.44661796,0.38240165,0.6354614,0.40927956,0.39057732,0.7938919,,,0.38530514,0.3948616,0.47010022,0.8090785,,,0.40757686,,,0.48916015,0.45410666,0.5653626,0.86549556,0.4257784,0.567487,0.7992592,0.44194937,0.70179385,0.83510846,0.42052364,0.6985494,0.88834095,0.45273718,0.8479976,0.84364134,0.43166864,0.8281355,0.80663735,False,False,False,False,False,False,False,False,False,False,False,False,False
601,12.02,0.40324388499999997,0.33715136,0.47888497,0.44548893,0.38651204,0.6095776,0.40727627,0.39308646,0.78617096,,,0.3583943,0.39501685,0.47619718,0.90587676,,,0.3405861,,,0.53458,0.4566777,0.5651225,0.8139979,0.42835394,0.56742114,0.8350249,0.44212425,0.7055527,0.89989245,0.42001027,0.7030634,0.8799556,0.45410872,0.85527,0.85156554,0.43093687,0.8304217,0.8417183,True,False,False,False,False,False,False,False,False,False,False,False,False
602,12.04,0.40142682,0.33980995,0.7445741,0.44482937,0.39075333,0.78572667,0.40600464,0.39703497,0.6212709,,,0.4540063,0.39672387,0.48244426,0.8109909,,,0.39562523,,,0.50356424,0.45976722,0.5635772,0.83308685,0.43088254,0.56604254,0.84032136,0.4391914,0.7060048,0.764745,0.41894823,0.70432866,0.7745897,0.45273808,0.8520488,0.84773785,0.43049487,0.83090734,0.6498137,False,False,False,False,False,False,False,False,False,False,False,False,False
603,12.06,0.40076643,0.34604585,0.81306934,0.44499633,0.3992725,0.863518,0.404769,0.40296504,0.8756217,,,0.48570392,0.3978321,0.4899896,0.85585475,,,0.3596138,,,0.5235385,0.46228218,0.5631022,0.851253,0.43335927,0.5656432,0.846492,0.4385444,0.7063133,0.78804934,0.41660196,0.70438486,0.8684027,0.45210636,0.84954995,0.81066996,0.4311618,0.83097184,0.7349926,False,False,False,False,False,False,False,False,False,False,False,False,False
