Video,Joint,Mean Displacement,Std Displacement
DJI_20250425092743_0028_D,left_shoulder,0.0037,0.0036
DJI_20250425092743_0028_D,right_shoulder,0.0037,0.0036
DJI_20250425092743_0028_D,left_elbow,0.0116,0.011
DJI_20250425092743_0028_D,right_elbow,0.0144,0.0088
DJI_20250425092743_0028_D,left_wrist,0.0101,0.0085
DJI_20250425092743_0028_D,right_wrist,0.0095,0.0082
DJI_20250425092743_0028_D,left_hip,0.0107,0.0093
DJI_20250425092743_0028_D,right_hip,0.009,0.0079
DJI_20250425092743_0028_D,left_knee,0.0127,0.0145
DJI_20250425092743_0028_D,right_knee,0.0145,0.0158
DJI_20250425092743_0028_D,left_ankle,0.0154,0.018
DJI_20250425092743_0028_D,right_ankle,0.0149,0.0172
DJI_20250425093100_0030_D,left_shoulder,0.003,0.0031
DJI_20250425093100_0030_D,right_shoulder,0.003,0.0031
DJI_20250425093100_0030_D,left_elbow,0.0105,0.0087
DJI_20250425093100_0030_D,right_elbow,0.0124,0.0117
DJI_20250425093100_0030_D,left_wrist,0.0108,0.0082
DJI_20250425093100_0030_D,right_wrist,0.0131,0.0117
DJI_20250425093100_0030_D,left_hip,0.0118,0.0093
DJI_20250425093100_0030_D,right_hip,0.0099,0.0073
DJI_20250425093100_0030_D,left_knee,0.0117,0.0121
DJI_20250425093100_0030_D,right_knee,0.0123,0.0118
DJI_20250425093100_0030_D,left_ankle,0.0173,0.0176
DJI_20250425093100_0030_D,right_ankle,0.0151,0.0154
DJI_20250425104507_0045_D,left_shoulder,0.0046,0.0041
DJI_20250425104507_0045_D,right_shoulder,0.0046,0.0041
DJI_20250425104507_0045_D,left_elbow,0.013,0.0099
DJI_20250425104507_0045_D,right_elbow,0.0112,0.0073
DJI_20250425104507_0045_D,left_wrist,0.0098,0.0076
DJI_20250425104507_0045_D,right_wrist,0.0147,0.0273
DJI_20250425104507_0045_D,left_hip,0.0117,0.0098
DJI_20250425104507_0045_D,right_hip,0.0103,0.0079
DJI_20250425104507_0045_D,left_knee,0.0151,0.0149
DJI_20250425104507_0045_D,right_knee,0.0163,0.0147
DJI_20250425104507_0045_D,left_ankle,0.0194,0.0216
DJI_20250425104507_0045_D,right_ankle,0.0184,0.02
DJI_20250425104804_0047_D,left_shoulder,0.0032,0.0033
DJI_20250425104804_0047_D,right_shoulder,0.0032,0.0033
DJI_20250425104804_0047_D,left_elbow,0.0085,0.008
DJI_20250425104804_0047_D,right_elbow,0.0085,0.0062
DJI_20250425104804_0047_D,left_wrist,0.0147,0.0127
DJI_20250425104804_0047_D,right_wrist,0.0141,0.0115
DJI_20250425104804_0047_D,left_hip,0.0106,0.0079
DJI_20250425104804_0047_D,right_hip,0.0086,0.0068
DJI_20250425104804_0047_D,left_knee,0.0122,0.0114
DJI_20250425104804_0047_D,right_knee,0.0114,0.01
DJI_20250425104804_0047_D,left_ankle,0.0152,0.0124
DJI_20250425104804_0047_D,right_ankle,0.0147,0.013
DJI_20250425112502_0059_D,left_shoulder,0.0043,0.0042
DJI_20250425112502_0059_D,right_shoulder,0.0043,0.0042
DJI_20250425112502_0059_D,left_elbow,0.0111,0.0091
DJI_20250425112502_0059_D,right_elbow,0.0121,0.0073
DJI_20250425112502_0059_D,left_wrist,0.0094,0.0069
DJI_20250425112502_0059_D,right_wrist,0.0104,0.007
DJI_20250425112502_0059_D,left_hip,0.011,0.0079
DJI_20250425112502_0059_D,right_hip,0.0093,0.0067
DJI_20250425112502_0059_D,left_knee,0.0137,0.0096
DJI_20250425112502_0059_D,right_knee,0.0155,0.0107
DJI_20250425112502_0059_D,left_ankle,0.0157,0.0156
DJI_20250425112502_0059_D,right_ankle,0.0169,0.0137
DJI_20250425112749_0061_D,left_shoulder,0.0018,0.0021
DJI_20250425112749_0061_D,right_shoulder,0.0018,0.0021
DJI_20250425112749_0061_D,left_elbow,0.0065,0.0065
DJI_20250425112749_0061_D,right_elbow,0.0075,0.0073
DJI_20250425112749_0061_D,left_wrist,0.0103,0.0111
DJI_20250425112749_0061_D,right_wrist,0.0105,0.0133
DJI_20250425112749_0061_D,left_hip,0.0057,0.0055
DJI_20250425112749_0061_D,right_hip,0.0048,0.0046
