Video,Joint,Mean Displacement,Std Displacement
DJI_20250425092743_0028_D,nose,0.0061,0.0052
DJI_20250425092743_0028_D,left_shoulder,0.0035,0.0034
DJI_20250425092743_0028_D,right_shoulder,0.0035,0.0034
DJI_20250425092743_0028_D,left_elbow,0.011,0.0104
DJI_20250425092743_0028_D,right_elbow,0.0134,0.0085
DJI_20250425092743_0028_D,left_wrist,0.0098,0.0083
DJI_20250425092743_0028_D,right_wrist,0.0092,0.0081
DJI_20250425092743_0028_D,left_hip,0.011,0.0097
DJI_20250425092743_0028_D,right_hip,0.0091,0.0081
DJI_20250425092743_0028_D,left_knee,0.0128,0.0144
DJI_20250425092743_0028_D,right_knee,0.0147,0.0157
DJI_20250425092743_0028_D,left_ankle,0.015,0.0174
DJI_20250425092743_0028_D,right_ankle,0.0144,0.0165
DJI_20250425093100_0030_D,nose,0.0072,0.0057
DJI_20250425093100_0030_D,left_shoulder,0.0028,0.0028
DJI_20250425093100_0030_D,right_shoulder,0.0028,0.0028
DJI_20250425093100_0030_D,left_elbow,0.0095,0.0076
DJI_20250425093100_0030_D,right_elbow,0.0112,0.0108
DJI_20250425093100_0030_D,left_wrist,0.0104,0.0077
DJI_20250425093100_0030_D,right_wrist,0.0129,0.0112
DJI_20250425093100_0030_D,left_hip,0.0124,0.01
DJI_20250425093100_0030_D,right_hip,0.0108,0.0084
DJI_20250425093100_0030_D,left_knee,0.0122,0.0122
DJI_20250425093100_0030_D,right_knee,0.0131,0.0124
DJI_20250425093100_0030_D,left_ankle,0.0159,0.016
DJI_20250425093100_0030_D,right_ankle,0.0146,0.0147
DJI_20250425104507_0045_D,nose,0.0087,0.0072
DJI_20250425104507_0045_D,left_shoulder,0.0046,0.0041
DJI_20250425104507_0045_D,right_shoulder,0.0046,0.0041
DJI_20250425104507_0045_D,left_elbow,0.013,0.0099
DJI_20250425104507_0045_D,right_elbow,0.0111,0.0084
DJI_20250425104507_0045_D,left_wrist,0.0098,0.0076
DJI_20250425104507_0045_D,right_wrist,0.009,0.0059
DJI_20250425104507_0045_D,left_hip,0.0117,0.0098
DJI_20250425104507_0045_D,right_hip,0.0103,0.0079
DJI_20250425104507_0045_D,left_knee,0.0151,0.0149
DJI_20250425104507_0045_D,right_knee,0.0163,0.0147
DJI_20250425104507_0045_D,left_ankle,0.0194,0.0214
DJI_20250425104507_0045_D,right_ankle,0.0183,0.0199
DJI_20250425104804_0047_D,nose,0.0052,0.0044
DJI_20250425104804_0047_D,left_shoulder,0.0029,0.0031
DJI_20250425104804_0047_D,right_shoulder,0.0029,0.0031
DJI_20250425104804_0047_D,left_elbow,0.0071,0.0064
DJI_20250425104804_0047_D,right_elbow,0.007,0.0047
DJI_20250425104804_0047_D,left_wrist,0.012,0.0093
DJI_20250425104804_0047_D,right_wrist,0.0115,0.0086
DJI_20250425104804_0047_D,left_hip,0.0112,0.0086
DJI_20250425104804_0047_D,right_hip,0.0094,0.0075
DJI_20250425104804_0047_D,left_knee,0.0126,0.0121
DJI_20250425104804_0047_D,right_knee,0.0122,0.0117
DJI_20250425104804_0047_D,left_ankle,0.0141,0.0124
DJI_20250425104804_0047_D,right_ankle,0.0142,0.0125
DJI_20250425112502_0059_D,nose,0.0081,0.0071
DJI_20250425112502_0059_D,left_shoulder,0.0042,0.0041
DJI_20250425112502_0059_D,right_shoulder,0.0042,0.0041
DJI_20250425112502_0059_D,left_elbow,0.0109,0.009
DJI_20250425112502_0059_D,right_elbow,0.0117,0.0073
DJI_20250425112502_0059_D,left_wrist,0.0093,0.0068
DJI_20250425112502_0059_D,right_wrist,0.0096,0.0073
DJI_20250425112502_0059_D,left_hip,0.0112,0.0081
DJI_20250425112502_0059_D,right_hip,0.0093,0.0067
DJI_20250425112502_0059_D,left_knee,0.0137,0.0095
DJI_20250425112502_0059_D,right_knee,0.0155,0.0106
DJI_20250425112502_0059_D,left_ankle,0.0152,0.015
DJI_20250425112502_0059_D,right_ankle,0.0146,0.0135
DJI_20250425112749_0061_D,nose,0.0043,0.0046
DJI_20250425112749_0061_D,left_shoulder,0.0017,0.002
DJI_20250425112749_0061_D,right_shoulder,0.0017,0.002
DJI_20250425112749_0061_D,left_elbow,0.0063,0.0058
DJI_20250425112749_0061_D,right_elbow,0.0071,0.0068
DJI_20250425112749_0061_D,left_wrist,0.0099,0.0097
DJI_20250425112749_0061_D,right_wrist,0.0095,0.0126
DJI_20250425112749_0061_D,left_hip,0.0056,0.0061
DJI_20250425112749_0061_D,right_hip,0.0049,0.0055
DJI_20250425112749_0061_D,left_knee,0.0075,0.0075
DJI_20250425112749_0061_D,right_knee,0.0074,0.0075
DJI_20250425112749_0061_D,left_ankle,0.0106,0.0096
DJI_20250425112749_0061_D,right_ankle,0.0099,0.0088
DJI_20250425120835_0074_D,nose,0.0054,0.0047
DJI_20250425120835_0074_D,left_shoulder,0.0033,0.0027
DJI_20250425120835_0074_D,right_shoulder,0.0033,0.0027
DJI_20250425120835_0074_D,left_elbow,0.0099,0.0077
DJI_20250425120835_0074_D,right_elbow,0.0102,0.0057
DJI_20250425120835_0074_D,left_wrist,0.0131,0.0098
DJI_20250425120835_0074_D,right_wrist,0.0097,0.0086
DJI_20250425120835_0074_D,left_hip,0.0114,0.0082
DJI_20250425120835_0074_D,right_hip,0.0108,0.0071
DJI_20250425120835_0074_D,left_knee,0.0231,0.0161
DJI_20250425120835_0074_D,right_knee,0.025,0.016
DJI_20250425120835_0074_D,left_ankle,0.0228,0.0178
DJI_20250425120835_0074_D,right_ankle,0.0222,0.018
DJI_20250425121226_0076_D,nose,0.0038,0.0062
DJI_20250425121226_0076_D,left_shoulder,0.002,0.0031
DJI_20250425121226_0076_D,right_shoulder,0.002,0.0031
DJI_20250425121226_0076_D,left_elbow,0.0048,0.0064
DJI_20250425121226_0076_D,right_elbow,0.0058,0.0064
DJI_20250425121226_0076_D,left_wrist,0.006,0.0084
DJI_20250425121226_0076_D,right_wrist,0.0073,0.0097
DJI_20250425121226_0076_D,left_hip,0.0063,0.0092
DJI_20250425121226_0076_D,right_hip,0.0059,0.008
DJI_20250425121226_0076_D,left_knee,0.0073,0.0097
DJI_20250425121226_0076_D,right_knee,0.0076,0.0109
DJI_20250425121226_0076_D,left_ankle,0.0087,0.013
DJI_20250425121226_0076_D,right_ankle,0.0082,0.0127
DJI_20250425125202_0091_D,nose,0.0083,0.0063
DJI_20250425125202_0091_D,left_shoulder,0.0049,0.0037
DJI_20250425125202_0091_D,right_shoulder,0.0049,0.0037
DJI_20250425125202_0091_D,left_elbow,0.0117,0.0105
DJI_20250425125202_0091_D,right_elbow,0.0152,0.0095
DJI_20250425125202_0091_D,left_wrist,0.0092,0.0059
DJI_20250425125202_0091_D,right_wrist,0.0138,0.0073
DJI_20250425125202_0091_D,left_hip,0.0129,0.0085
DJI_20250425125202_0091_D,right_hip,0.0109,0.0077
DJI_20250425125202_0091_D,left_knee,0.0198,0.0142
DJI_20250425125202_0091_D,right_knee,0.0216,0.0158
DJI_20250425125202_0091_D,left_ankle,0.0216,0.0155
DJI_20250425125202_0091_D,right_ankle,0.0212,0.0156
DJI_20250425125448_0093_D,nose,0.0047,0.0047
DJI_20250425125448_0093_D,left_shoulder,0.0027,0.0028
DJI_20250425125448_0093_D,right_shoulder,0.0027,0.0028
DJI_20250425125448_0093_D,left_elbow,0.0064,0.0063
DJI_20250425125448_0093_D,right_elbow,0.0098,0.0069
DJI_20250425125448_0093_D,left_wrist,0.01,0.0106
DJI_20250425125448_0093_D,right_wrist,0.0117,0.0107
DJI_20250425125448_0093_D,left_hip,0.0077,0.0081
DJI_20250425125448_0093_D,right_hip,0.0057,0.0052
DJI_20250425125448_0093_D,left_knee,0.0109,0.0123
DJI_20250425125448_0093_D,right_knee,0.0116,0.0136
DJI_20250425125448_0093_D,left_ankle,0.0142,0.017
DJI_20250425125448_0093_D,right_ankle,0.0135,0.0164
