Video,Movement,Mean Displacement,Std Displacement
DJI_20250425092743_0028_D,sit-to-stand,0.0101,0.0381
DJI_20250425093100_0030_D,sit-to-stand,0.0106,0.0492
DJI_20250425104507_0045_D,sit-to-stand,0.0089,0.0217
DJI_20250425104804_0047_D,sit-to-stand,0.0073,0.0324
DJI_20250425112502_0059_D,sit-to-stand,0.009,0.0465
DJI_20250425112749_0061_D,sit-to-stand,0.01,0.0519
DJI_20250425120835_0074_D,sit-to-stand,0.0166,0.0581
DJI_20250425121226_0076_D,sit-to-stand,0.0045,0.0207
DJI_20250425125202_0091_D,sit-to-stand,0.0105,0.0291
DJI_20250425125448_0093_D,sit-to-stand,0.0059,0.0347
DJI_20250425092743_0028_D,stand-to-sit,0.0133,0.0429
DJI_20250425093100_0030_D,stand-to-sit,0.0043,0.0282
DJI_20250425104507_0045_D,stand-to-sit,0.0097,0.0151
DJI_20250425104804_0047_D,stand-to-sit,0.006,0.0355
DJI_20250425112502_0059_D,stand-to-sit,0.0109,0.0626
DJI_20250425112749_0061_D,stand-to-sit,0.0044,0.0285
DJI_20250425120835_0074_D,stand-to-sit,0.0087,0.0429
DJI_20250425121226_0076_D,stand-to-sit,0.0039,0.0175
DJI_20250425125202_0091_D,stand-to-sit,0.016,0.0846
DJI_20250425125448_0093_D,stand-to-sit,0.0043,0.0265
