frame,time,nose_x,nose_y,nose_z,nose_visibility,nose_presence,left_ear_x,left_ear_y,left_ear_z,left_ear_visibility,left_ear_presence,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_visibility,left_shoulder_presence,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_visibility,right_shoulder_presence,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_visibility,left_elbow_presence,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_visibility,right_elbow_presence,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_visibility,left_wrist_presence,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_visibility,right_wrist_presence,left_hip_x,left_hip_y,left_hip_z,left_hip_visibility,left_hip_presence,right_hip_x,right_hip_y,right_hip_z,right_hip_visibility,right_hip_presence,left_knee_x,left_knee_y,left_knee_z,left_knee_visibility,left_knee_presence,right_knee_x,right_knee_y,right_knee_z,right_knee_visibility,right_knee_presence,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_visibility,left_ankle_presence,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_visibility,right_ankle_presence,left_heel_x,left_heel_y,left_heel_z,left_heel_visibility,left_heel_presence,right_heel_x,right_heel_y,right_heel_z,right_heel_visibility,right_heel_presence,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_visibility,left_foot_index_presence,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_visibility,right_foot_index_presence,nose_interpolated,left_ear_interpolated,left_shoulder_interpolated,right_shoulder_interpolated,left_elbow_interpolated,right_elbow_interpolated,left_wrist_interpolated,right_wrist_interpolated,left_hip_interpolated,right_hip_interpolated,left_knee_interpolated,right_knee_interpolated,left_ankle_interpolated,right_ankle_interpolated,left_heel_interpolated,right_heel_interpolated,left_foot_index_interpolated,right_foot_index_interpolated,nose_source,left_ear_source,left_shoulder_source,right_shoulder_source,left_elbow_source,right_elbow_source,left_wrist_source,right_wrist_source,left_hip_source,right_hip_source,left_knee_source,right_knee_source,left_ankle_source,right_ankle_source,left_heel_source,right_heel_source,left_foot_index_source,right_foot_index_source
293,5.86,0.06906101868728357,-0.22995763525871876,-0.6544904199332615,0.9999834299087524,0.9999961853027344,0.4995855689048767,0.4791027009487152,-0.2172150164842605,0.99998277425766,0.9999946355819702,1.1268469790595264,0.30133826128913316,-0.5751185240632676,0.9999961853027344,0.9999990463256836,-1.1268469790595217,-0.30133826128913127,1.7719387954739256,0.9999773502349854,0.999996542930603,0.39626820077707237,0.8405329396067073,-5.612357079047773,0.9973544478416444,0.9999829530715942,0.15042777969541032,0.13669127264414094,,0.5567807555198669,0.9999722242355348,-0.6250654273788501,0.7390034087026998,-5.658335089100207,0.9899607300758362,0.9999949932098388,-0.24266060057176567,0.7914751723293009,,0.507890522480011,0.9999772310256958,0.12423334670857498,1.2149726858664491,-4.399728171993662,0.9999916553497314,0.9999997615814208,-0.258771587761211,-0.44057051418140164,-3.6754432091102687,0.999990940093994,0.9999998807907104,-0.4046717394269294,-0.22546232433499216,-5.334219138950712,0.9865402579307556,0.9999980926513672,-0.656518965701483,-0.590971175109388,-4.60681375744048,0.9588140845298768,0.9999977350234984,-0.3954976812159073,-0.7960308466884296,-4.377674561130798,0.953863263130188,0.9999816417694092,-0.35841449274641085,-0.7261432682926116,-3.831201041207079,0.9121266603469848,0.9999947547912598,0.4909494444206878,0.8729534532640365,-0.0382487438619136,0.7722240686416626,0.9999440908432008,0.4756345846853058,0.8543213964342241,0.0407384857535362,0.8072932958602905,0.9999929666519164,0.4578275163690528,0.9067092800473844,-0.0974918529391288,0.960224151611328,0.9998310804367064,0.444595179566137,0.8852447942420324,-0.0113970646634697,0.9220669269561768,0.9999221563339232,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,movenet,mediapipe,movenet,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe
294,5.88,0.06303349116152462,-0.23748706316598497,-0.6575379142570515,0.999983847141266,0.999997615814209,0.4996357560157776,0.4791037738323211,-0.2170677632093429,0.9999831914901732,0.9999961853027344,1.1336185982338616,0.2913320445706524,-0.5750525982553041,0.9999962449073792,0.9999990463256836,-1.133618598233857,-0.29133204457065054,1.7735964360447087,0.9999772906303406,0.9999970197677612,0.3955024394203383,0.8445300273664359,-5.623306407692845,0.9974097013473512,0.9999825954437256,0.20397857970254793,0.15859637991693648,,0.558906078338623,0.999974489212036,-0.6283756263671548,0.7414048902272811,-5.674605555292693,0.9902154803276062,0.9999951124191284,-0.26263370865399777,0.8141937809748727,,0.5096045136451721,0.9999796152114868,0.11941223136386901,1.2259580671391201,-4.409870220853161,0.999991774559021,0.9999998807907104,-0.26691997805077594,-0.44553175690515845,-3.6852922548047338,0.9999910593032836,0.9999998807907104,-0.4009028558484211,-0.21845661717560358,-5.339970987714225,0.9867628216743468,0.9999980926513672,-0.6595755900191927,-0.5854197338673028,-4.611605357709788,0.9591933488845824,0.9999977350234984,-0.3953645155972908,-0.7878636530967132,-4.390131282843286,0.9548382759094238,0.999980926513672,-0.35937775565380786,-0.722190958976587,-3.8392641737186777,0.9133240580558776,0.9999946355819702,0.4909926830054997,0.8727306590213645,-0.0386619754135608,0.7755677103996277,0.9999406337738036,0.4757262599634959,0.8541556700959908,0.0410486571490764,0.809292733669281,0.999992847442627,0.4580005434426396,0.9067361321482632,-0.0973584726452827,0.9610414505004884,0.9997950196266174,0.4445925865556812,0.8849693732661805,-0.0112249804660677,0.9231069087982178,0.9999089241027832,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,movenet,mediapipe,movenet,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe
295,5.9,0.06119428951492535,-0.23431233475684163,-0.6366979840701167,0.9999840259552002,0.999996781349182,0.4996542036533355,0.4791102707386017,-0.2118013203144073,0.9999837279319764,0.9999960660934448,1.1296882484903132,0.2718884764800018,-0.5919844444307915,0.9999963641166688,0.9999992847442628,-1.1296882484903272,-0.27188847647999986,1.8545108040639136,0.9999772906303406,0.9999971389770508,0.3940446127274761,0.8373175802039542,-5.8279927994398575,0.9975018501281738,0.999988317489624,0.1811999134320822,0.1781799677930181,,0.5536394715309143,0.999974012374878,-0.6274417899708788,0.7384434718622241,-5.880982324868158,0.9906559586524964,0.9999966621398926,-0.2654128292695122,0.8099310928183572,,0.5027926564216614,0.9999765157699584,0.11645203843751632,1.1947811668896866,-4.620414285456543,0.9999918937683104,0.9999997615814208,-0.2629628838457688,-0.4154684597443152,-3.895058252094549,0.9999911189079284,0.9999998807907104,-0.40234165582902004,-0.23000832010560796,-5.547029187510288,0.9867584109306335,0.9999977350234984,-0.6573337989844623,-0.5928689436075962,-4.82866060578457,0.9590442180633544,0.9999971389770508,-0.39433093513685935,-0.8025120709800406,-4.590594203611821,0.9539889693260192,0.9999771118164062,-0.35821441121439074,-0.737516662161983,-4.056915119278736,0.9116922616958618,0.999992609024048,0.4910270502239397,0.872550171572012,-0.036591250449419,0.7742066383361816,0.9999328851699828,0.4757693293211345,0.8540378230990787,0.0400037914514541,0.8078780770301819,0.9999903440475464,0.4581208557654652,0.906734205348231,-0.0933649167418479,0.9606705904006958,0.9998003840446472,0.4445887041258646,0.8847998569617465,-0.0116407638415694,0.9221619963645936,0.9998931884765624,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,movenet,mediapipe,movenet,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe
296,5.92,0.06026279041082961,-0.22564356756614257,-0.6515529222687444,0.9999842047691344,0.9999969005584716,0.4997299611568451,0.4791081249713897,-0.2127592861652374,0.9999836683273317,0.9999940395355223,1.1317794720945524,0.26336244190682584,-0.5854252605785972,0.999996304512024,0.9999986886978148,-1.1317794720945478,-0.2633624419068239,1.825585630814132,0.999977707862854,0.99999737739563,0.3941243119579418,0.8399926487255659,-5.755447430399347,0.9974375367164612,0.9999765157699584,0.16878447564774035,0.16040911655187573,,0.5637702345848083,0.9999802112579346,-0.6169631211636912,0.7398274691477662,-5.820612103995724,0.990467369556427,0.999992847442627,-0.24069587305958767,0.79919985644949,,0.5172461867332458,0.999985933303833,0.11661703947261272,1.2038957308289713,-4.5454834959287655,0.999991774559021,0.9999997615814208,-0.26386978393381094,-0.42403306720302403,-3.819675067818189,0.9999911189079284,0.9999998807907104,-0.4018798523601537,-0.2254372385635429,-5.462833432012123,0.986053228378296,0.9999969005584716,-0.6572228988289258,-0.589929794596813,-4.744008753167742,0.9579227566719056,0.9999971389770508,-0.39377864206520147,-0.8010774409305867,-4.511014683446206,0.9518443942070008,0.9999666213989258,-0.35830203373105335,-0.7366362460108982,-3.970269228493032,0.908873438835144,0.9999921321868896,0.4910534306978569,0.8724094702230472,-0.0361267663538455,0.7662457823753357,0.99989914894104,0.4757761869119321,0.8539631326437553,0.0416564717888832,0.8033434152603149,0.9999892711639404,0.4581965452932814,0.9067107796113256,-0.0933298096060752,0.9588959217071532,0.9997087121009828,0.4445842427737785,0.8847182255524859,-0.0099624218419194,0.9198020696640016,0.999881625175476,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,movenet,mediapipe,movenet,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe
297,5.94,0.06285679122190921,-0.22480444324582705,-0.6526988501738966,0.9999842047691344,0.9999966621398926,0.4998480379581451,0.4791044592857361,-0.2128496021032333,0.999983549118042,0.999994158744812,1.13153905671808,0.2593068003689294,-0.5834800196421883,0.9999962449073792,0.9999988079071044,-1.1315390567180754,-0.25930680036892745,1.8171913489216551,0.9999777674674988,0.9999971389770508,0.393719777781753,0.8376975004827755,-5.730866724540761,0.997414529323578,0.9999799728393556,0.14430602657462316,0.16542291260653083,,0.5637468695640564,0.9999767541885376,-0.616108168360866,0.7386632380464198,-5.7942718902578125,0.9903303980827332,0.9999934434890748,-0.21153227224341192,0.8073708071835747,,0.5167904496192932,0.9999799728393556,0.11332167551291293,1.1923634971218693,-4.521895208264034,0.9999917149543762,0.9999997615814208,-0.2646890260320175,-0.4109189109544184,-3.7963917853908495,0.9999911189079284,0.9999998807907104,-0.401652063920581,-0.22715938085342102,-5.436947764650886,0.9857890605926514,0.9999974966049194,-0.6560630815374101,-0.5942494585142168,-4.718650211782658,0.9574002623558044,0.9999974966049194,-0.39332809085233245,-0.8059001029606321,-4.484521401155805,0.9507299661636353,0.9999748468399048,-0.3581944649923143,-0.7404399024203404,-3.956377870693057,0.9078775644302368,0.9999935626983644,0.4910727090491004,0.8723060342815377,-0.0356183908879756,0.7629451751708984,0.9999245405197144,0.4757592268895993,0.8539268759302883,0.0400202497839927,0.8015708923339844,0.9999910593032836,0.45823570398184,0.9066731349015852,-0.0927149727940559,0.9580906629562378,0.9997766613960266,0.4445799129965144,0.8847064592621547,-0.0119720557704567,0.9189704060554504,0.999898076057434,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,movenet,mediapipe,movenet,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe
298,5.96,0.06049595125516178,-0.23485037488445942,-0.6552307147460117,0.999984860420227,0.999997854232788,0.4999153912067413,0.4790887236595154,-0.2127717286348343,0.9999842047691344,0.9999961853027344,1.1437578811098155,0.261439151993254,-0.5791369209998812,0.999996304512024,0.9999991655349731,-1.1437578811098108,-0.2614391519932521,1.8036030439522128,0.999978482723236,0.9999980926513672,0.3957279494080726,0.8447189269657284,-5.68372880294641,0.9974400401115416,0.9999830722808838,0.1330864783601843,0.16073249096942474,,0.5773850679397583,0.9999836683273317,-0.6116180761494319,0.7422026724706573,-5.73551187563499,0.9905588030815125,0.9999953508377076,-0.20502033285798343,0.8062471585290857,,0.5357962250709534,0.9999886751174928,0.11640278857587819,1.2095362486729662,-4.498196992544837,0.9999918341636658,0.9999997615814208,-0.26354036413978515,-0.42955949454622955,-3.7715737313989104,0.9999912977218628,0.9999998807907104,-0.4028052788110536,-0.2159068684085944,-5.352442230265688,0.9859563112258912,0.999997615814209,-0.6592831219819689,-0.5855377389835743,-4.625324008285537,0.9580995440483092,0.9999977350234984,-0.39419319950751636,-0.7909162895539775,-4.42125296210721,0.9515886306762696,0.9999752044677734,-0.3603989165626389,-0.7252053548133334,-3.886963888034946,0.9094560146331788,0.9999938011169434,0.4910857698995206,0.8722373430545537,-0.0303165782243013,0.7645506858825684,0.9999233484268188,0.4757308434078477,0.8539243301589472,0.0463503077626228,0.8037976622581482,0.9999916553497314,0.4582464237868937,0.9066285511830494,-0.085870511829853,0.9587454795837402,0.9997500777244568,0.4445764252911648,0.8847465383145103,-0.0034744136501103,0.9203570485115052,0.9998960494995116,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,movenet,mediapipe,movenet,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe
299,5.98,0.06560654408885795,-0.2284993458123049,-0.652382925329051,0.9999849200248718,0.9999960660934448,0.4999354779720306,0.4790858626365661,-0.2147333770990371,0.9999845027923584,0.9999943971633912,1.137544352110584,0.2619277014212614,-0.5752884341506677,0.9999963641166688,0.9999990463256836,-1.1375443521105792,-0.2619277014212595,1.7815650414574984,0.9999785423278807,0.9999974966049194,0.3988640583478556,0.8454986055319518,-5.620976887450091,0.9974570870399476,0.9999815225601196,0.12640159616476004,0.145649916783898,,0.5754995346069336,0.9999749660491944,-0.5981220151152403,0.7411078955657023,-5.669517569134725,0.990641713142395,0.9999935626983644,-0.23970311835700098,0.8263677478211687,,0.5361449718475342,0.9999778270721436,0.12530626047969348,1.1963073556013775,-4.433681653620655,0.9999918937683104,0.9999997615814208,-0.24237134704409463,-0.42993851379380243,-3.707278927795896,0.9999913573265076,0.9999998807907104,-0.40231388313878497,-0.2201889748754825,-5.263616162187476,0.9862533211708068,0.99999737739563,-0.6568602074844592,-0.5880676578533641,-4.540774831136431,0.9590857028961182,0.9999971389770508,-0.39373745540144484,-0.7988293333631827,-4.287003562007316,0.9521992206573486,0.9999754428863524,-0.3597259752202465,-0.7298684625809858,-3.791089854979505,0.9113869667053224,0.9999927282333374,0.4910945857599355,0.8721988133061482,-0.0190896335989236,0.7663590908050537,0.999926209449768,0.475723258334719,0.8539672542563154,0.0513844303786754,0.8064858317375183,0.9999902248382568,0.4582445232462505,0.9065799017052572,-0.0708144828677177,0.959231972694397,0.9997467398643494,0.4445742820248471,0.8848078106388924,0.0035254398826509,0.9218270182609558,0.9998719692230223,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,movenet,mediapipe,movenet,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe
300,6.0,0.0725817504271232,-0.21782922609326436,-0.673177681008567,0.9999852180480956,0.999997615814209,0.4999395608901977,0.4790810048580169,-0.2197405993938446,0.999984622001648,0.9999955892562866,1.1392318157629908,0.26574770737974374,-0.5709558316576134,0.9999963641166688,0.999998927116394,-1.1392318157629864,-0.2657477073797418,1.7499429779855271,0.9999787211418152,0.9999974966049194,0.3986411543227092,0.8516481053225664,-5.558418909828506,0.9974459409713744,0.9999791383743286,0.11852926145252732,0.13409467049468476,,0.5780513882637024,0.9999767541885376,-0.6046625803328582,0.741304985105541,-5.604202600797407,0.990512490272522,0.9999927282333374,-0.19774581238194863,0.8010583793252193,,0.5398927927017212,0.9999823570251464,0.1252542444272805,1.2051085212815085,-4.341290960117763,0.9999918341636658,0.9999997615814208,-0.24080659969102083,-0.43915151407629394,-3.6149183077257216,0.9999913573265076,0.9999998807907104,-0.4023477484627963,-0.2177331128364917,-5.176300868085019,0.9862813353538512,0.9999982118606568,-0.6566542225103975,-0.5729057944657328,-4.450588897251387,0.9589681625366212,0.9999982118606568,-0.39376823554022344,-0.7993654830844381,-4.212485432743956,0.952652633190155,0.9999799728393556,-0.3596966119597764,-0.727805953302685,-3.698558541667071,0.9115533232688904,0.9999945163726808,0.49109267382633,0.8722287059386039,-0.0220097806304693,0.768214225769043,0.9999377727508544,0.4757198571186256,0.8540506614393865,0.0517678894102573,0.8065130710601807,0.9999923706054688,0.4581906516235203,0.9065794714125188,-0.0751748904585838,0.9595471024513244,0.9997950196266174,0.444571218985223,0.8849216296678403,0.0025603217072784,0.9219405651092528,0.9999098777770996,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,movenet,mediapipe,movenet,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe
301,6.02,0.07371653909807473,-0.22016228377768593,-0.6691464028224051,0.9999854564666748,0.9999977350234984,0.4999351799488067,0.4790802001953125,-0.2180516570806503,0.9999847412109376,0.9999958276748656,1.1429207188306045,0.26991596090654546,-0.5677788405490801,0.9999963641166688,0.9999990463256836,-1.1429207188306185,-0.2699159609065435,1.742017325230031,0.9999790787696838,0.9999979734420776,0.39865063427776326,0.8548130264322521,-5.535439402456769,0.9974292516708374,0.9999822378158568,0.08109098187445912,0.14227002281171727,,0.5814849138259888,0.9999821186065674,-0.6039969813486998,0.7422847207459556,-5.585388536889857,0.9904692769050598,0.9999946355819702,-0.21015560691830149,0.8366506538292663,,0.5452778935432434,0.999987006187439,0.1255830977110843,1.2190885990723204,-4.327497163757614,0.9999918937683104,0.9999997615814208,-0.24109173285964786,-0.45279036199815115,-3.600799927083994,0.9999914765357972,0.9999998807907104,-0.4029245575107857,-0.21449427348495978,-5.173035628115431,0.9862166047096252,0.9999980926513672,-0.657691858094563,-0.570092426756744,-4.455351043640241,0.9588326811790466,0.9999982118606568,-0.3939767088885695,-0.7960812961500704,-4.224700828340062,0.9525185227394104,0.999979853630066,-0.36011860783223826,-0.7219990157461454,-3.715809940014176,0.9114686846733092,0.9999948740005492,0.4910927113397428,0.8722254233760458,-0.0262700896710157,0.7679147720336914,0.9999381303787231,0.4757369875491093,0.8540898856027443,0.0467112734913826,0.8064005970954895,0.9999929666519164,0.4581817119688433,0.906575452892377,-0.0807856693863868,0.9595167636871338,0.9998067021369934,0.44456712015859,0.8849794921619376,-0.0035023919772356,0.9220199584960938,0.9999154806137084,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,movenet,mediapipe,movenet,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe
302,6.04,0.08380328720600937,-0.21798179908925563,-0.6602887221695267,0.9999856352806092,0.9999971389770508,0.4999332427978515,0.4790763556957245,-0.2178401798009872,0.9999850392341614,0.9999957084655762,1.1387489040728136,0.27288304867736474,-0.5695842993209227,0.9999964237213136,0.9999991655349731,-1.1387489040728265,-0.2728830486773628,1.7495620578615707,0.9999791979789734,0.999997854232788,0.3982246934663555,0.8527646389871456,-5.552359500089267,0.9974455237388612,0.9999845027923584,0.0976482316648045,0.1560876306642311,,0.5761262774467468,0.9999793767929076,-0.6040567445277021,0.741463060906099,-5.597979981506471,0.9904553294181824,0.9999946355819702,-0.22053812844251286,0.8106588663641239,,0.539137065410614,0.9999821186065674,0.12499596980280396,1.2081982530579858,-4.345713958345116,0.9999920129776,0.9999998807907104,-0.24190656830423496,-0.44155981242992076,-3.618227009756164,0.9999915957450868,0.9999998807907104,-0.4038087217647254,-0.21134101234842628,-5.196266107950875,0.9864952564239502,0.9999982118606568,-0.6570767482042783,-0.57202513062049,-4.475699293198518,0.9594048261642456,0.9999980926513672,-0.3934980572151372,-0.8014112619298116,-4.245407129152623,0.9531964659690856,0.9999804496765136,-0.35951716534290407,-0.7242818762588741,-3.733104997783391,0.9125500917434692,0.9999947547912598,0.4911135649764466,0.8722154528666788,-0.0266829021275043,0.7701241374015808,0.9999397993087769,0.4757645893624903,0.8541258993126597,0.0467814765870571,0.8083814382553101,0.9999927282333374,0.4581994521312237,0.9065527321297548,-0.0814516693353653,0.9600813984870912,0.9998119473457336,0.4445847950893137,0.8850432503751408,-0.0033045629970729,0.9230070114135742,0.9999121427536012,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,movenet,mediapipe,movenet,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe
