molab_frame,molab_time,video_frame,video_time,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z
0,0.0,69,1.38,83.875,1.651,-3.586,101.678,10.354,5.788,68.745,9.253,1.328,89.611,-3.838,5.7,98.303,4.145,-0.026,72.235,20.818,-5.797,11.952,-2.878,0.301,-0.001,0.004,0.882,0.002,0.004,1.008,0.001,0.003,0.954,0.006,0.003,0.949,0.0,0.001,1.042,-0.004,-0.001,0.965,0.003,0.0,1.004,0.041,-0.402,-0.111,0.023,-0.009,0.092,0.045,-0.18,0.023,0.022,0.265,0.103,-0.086,-0.009,0.039,-0.046,0.085,-0.036,-0.148,-0.006,0.022,0.81,0.587,-0.011,0.0,0.976,-0.203,0.074,0.0,0.913,0.387,0.13,0.0,0.78,0.625,-0.039,0.0,0.973,-0.229,-0.042,0.0,0.9,0.376,-0.219,0.0,0.994,-0.104,0.025,0.0
1,0.01,69,1.38,83.877,1.674,-3.695,101.732,10.439,5.784,68.487,9.23,1.412,89.616,-3.821,5.788,98.303,4.131,-0.029,72.39,20.82,-5.833,11.952,-2.989,0.313,0.002,0.004,0.887,0.0,0.003,1.009,0.001,-0.002,0.949,0.006,0.002,0.953,0.0,0.006,1.042,-0.004,0.002,0.963,0.001,0.007,1.003,-0.51,-0.527,-0.141,-0.068,0.032,-0.113,-0.271,-0.08,0.057,-0.026,0.36,-0.046,0.03,0.02,0.103,-0.156,0.106,-0.085,-0.324,0.081,0.138,0.81,0.587,-0.011,0.0,0.976,-0.203,0.075,0.0,0.914,0.385,0.131,0.0,0.78,0.625,-0.039,0.0,0.973,-0.229,-0.042,0.0,0.9,0.377,-0.219,0.0,0.994,-0.104,0.026,0.0
2,0.02,70,1.4,83.904,1.485,-3.559,101.725,10.33,5.551,68.506,9.253,1.412,89.605,-3.616,5.622,98.464,4.236,0.179,72.283,20.894,-5.827,11.952,-2.989,0.313,-0.003,0.004,0.879,0.0,0.003,1.009,0.001,0.0,0.956,0.002,0.0,0.956,0.002,-0.001,1.044,-0.001,-0.003,0.96,0.004,0.003,1.006,0.103,-0.248,-0.032,-0.093,-0.097,-0.254,-0.139,-0.111,0.069,0.031,0.297,-0.029,-0.083,0.1,-0.016,-0.101,0.096,-0.061,-0.205,0.126,0.059,0.81,0.587,-0.009,0.0,0.976,-0.204,0.075,0.0,0.914,0.385,0.131,0.0,0.78,0.625,-0.037,0.0,0.972,-0.23,-0.042,0.0,0.9,0.375,-0.22,0.0,0.994,-0.104,0.026,0.0
3,0.03,70,1.4,83.731,1.678,-3.693,101.663,10.35,5.614,68.761,9.204,1.418,89.403,-3.684,5.666,98.351,4.144,-0.025,72.395,20.855,-5.832,11.806,-2.988,0.309,0.004,-0.002,0.886,0.003,0.001,1.011,0.006,0.006,0.952,0.003,-0.003,0.953,0.003,-0.001,1.041,-0.004,0.001,0.966,0.001,0.003,1.005,0.098,-0.229,0.218,-0.108,-0.258,-0.316,-0.219,-0.117,0.0,0.032,0.37,0.017,0.046,-0.008,-0.087,-0.056,0.129,0.005,-0.202,0.199,0.106,0.81,0.587,-0.011,0.0,0.976,-0.204,0.075,0.0,0.913,0.387,0.131,0.0,0.78,0.624,-0.037,0.0,0.972,-0.229,-0.042,0.0,0.9,0.377,-0.22,0.0,0.994,-0.103,0.026,0.0
4,0.04,71,1.42,83.736,1.678,-3.694,101.67,10.368,5.621,68.672,9.244,1.414,89.402,-3.686,5.669,98.428,4.146,-0.022,72.283,20.865,-5.8,11.811,-2.989,0.309,0.001,0.0,0.883,-0.003,0.003,1.003,-0.001,0.001,0.951,0.006,0.001,0.952,0.001,-0.006,1.045,-0.005,-0.002,0.959,0.003,0.007,1.003,0.108,0.079,-0.013,-0.148,-0.243,-0.585,-0.174,-0.068,-0.055,-0.089,0.376,0.01,0.04,0.156,-0.033,-0.225,0.032,-0.113,-0.09,0.04,-0.054,0.81,0.587,-0.011,0.0,0.976,-0.204,0.075,0.0,0.913,0.386,0.131,0.0,0.78,0.624,-0.037,0.0,0.972,-0.23,-0.042,0.0,0.901,0.375,-0.22,0.0,0.994,-0.103,0.026,0.0
5,0.05,71,1.42,83.623,1.665,-3.607,101.636,10.37,5.616,68.744,9.192,1.434,89.383,-3.675,5.582,98.321,4.199,-0.008,72.291,20.872,-5.77,11.806,-2.905,0.3,-0.006,0.0,0.884,-0.001,0.005,1.003,0.001,0.004,0.956,0.0,-0.004,0.956,0.005,-0.005,1.042,-0.001,-0.003,0.963,0.005,0.007,1.003,0.109,0.137,-0.032,0.077,-0.072,-0.361,-0.22,0.012,0.045,0.013,0.073,0.083,-0.072,0.1,-0.152,-0.125,0.055,-0.023,-0.08,0.197,0.1,0.81,0.586,-0.011,0.0,0.976,-0.203,0.075,0.0,0.913,0.387,0.131,0.0,0.78,0.624,-0.037,0.0,0.972,-0.23,-0.043,0.0,0.9,0.375,-0.22,0.0,0.994,-0.103,0.025,0.0
6,0.06,72,1.44,83.624,1.57,-3.54,101.736,10.349,5.552,68.735,9.224,1.448,89.379,-3.604,5.525,98.33,4.253,0.096,72.259,20.89,-5.773,11.811,-2.906,0.301,-0.002,-0.002,0.887,0.0,-0.002,1.007,0.0,-0.002,0.95,0.001,-0.003,0.946,0.002,0.0,1.045,0.003,-0.005,0.961,0.005,0.002,1.004,-0.011,0.274,-0.015,0.042,0.059,-0.211,-0.182,0.018,-0.053,0.07,0.011,0.1,0.1,0.157,-0.028,-0.125,0.055,-0.023,-0.269,0.174,-0.01,0.81,0.586,-0.01,0.0,0.976,-0.204,0.075,0.0,0.913,0.386,0.131,0.0,0.78,0.624,-0.037,0.0,0.972,-0.23,-0.043,0.0,0.9,0.375,-0.22,0.0,0.994,-0.103,0.025,0.0
7,0.07,72,1.44,83.462,1.57,-3.507,101.656,10.349,5.546,68.821,9.172,1.47,89.292,-3.602,5.49,98.145,4.252,0.099,72.272,20.889,-5.781,11.806,-2.877,0.297,-0.008,-0.003,0.884,-0.001,-0.005,1.007,0.004,0.001,0.956,0.002,0.0,0.953,-0.001,0.001,1.041,0.002,0.001,0.966,0.007,0.004,1.004,-0.07,0.333,-0.035,0.045,-0.053,-0.162,-0.037,0.072,0.044,0.262,0.034,-0.022,-0.083,0.1,-0.016,-0.034,-0.18,-0.022,-0.516,0.224,-0.069,0.811,0.585,-0.01,0.0,0.976,-0.204,0.075,0.0,0.913,0.387,0.13,0.0,0.781,0.624,-0.036,0.0,0.972,-0.23,-0.043,0.0,0.9,0.375,-0.22,0.0,0.994,-0.103,0.025,0.0
8,0.08,73,1.46,83.464,1.481,-3.467,101.742,10.348,5.551,68.801,9.189,1.463,89.386,-3.602,5.525,98.178,4.306,0.203,72.297,20.877,-5.775,11.811,-2.906,0.301,-0.005,-0.002,0.888,0.0,0.004,1.008,0.002,0.003,0.951,0.004,0.003,0.953,0.001,-0.006,1.049,-0.006,0.002,0.965,-0.004,-0.002,1.005,-0.071,0.352,0.022,0.011,0.078,-0.012,0.095,0.041,0.056,-0.046,-0.01,-0.025,0.03,0.02,0.103,-0.046,0.085,-0.036,-0.33,0.234,-0.019,0.811,0.585,-0.009,0.0,0.976,-0.204,0.075,0.0,0.913,0.387,0.131,0.0,0.78,0.624,-0.037,0.0,0.972,-0.23,-0.043,0.0,0.9,0.375,-0.22,0.0,0.994,-0.103,0.025,0.0
9,0.09,73,1.46,83.473,1.48,-3.465,101.661,10.345,5.555,68.754,9.19,1.445,89.381,-3.617,5.535,98.18,4.304,0.203,72.338,20.874,-5.785,11.806,-2.905,0.3,-0.005,-0.003,0.888,-0.002,0.004,1.007,0.0,0.003,0.953,0.003,0.003,0.948,0.0,-0.001,1.044,0.0,-0.001,0.963,-0.002,0.002,1.007,0.049,0.215,0.005,0.109,0.117,0.224,0.008,0.121,-0.011,-0.04,0.036,-0.098,0.109,0.048,-0.109,-0.06,0.001,-0.04,0.093,0.157,-0.089,0.811,0.585,-0.009,0.0,0.976,-0.204,0.075,0.0,0.913,0.387,0.131,0.0,0.78,0.624,-0.037,0.0,0.972,-0.23,-0.043,0.0,0.9,0.376,-0.22,0.0,0.994,-0.103,0.025,0.0
