molab_frame,molab_time,video_frame,video_time,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z
0,0.0,106,2.12,89.984,-9.925,-12.528,28.238,0.227,-0.057,89.545,-4.892,-11.443,94.797,12.102,-7.757,69.228,3.329,0.951,76.492,16.98,-9.915,100.647,12.131,-9.116,-0.001,0.003,1.037,0.003,0.002,1.016,0.002,-0.003,1.01,0.005,-0.004,0.888,0.002,0.0,0.946,-0.002,0.003,0.963,0.0,-0.002,0.948,0.046,0.156,0.103,-0.83,0.126,-0.142,-0.045,0.144,-0.068,-0.079,0.07,-0.07,0.176,0.001,-0.15,0.151,-0.042,0.054,-0.111,0.225,0.058,0.98,-0.199,0.017,0.0,0.97,-0.244,-0.002,0.0,0.987,-0.156,0.035,0.0,0.833,0.539,-0.126,0.0,0.9,0.433,0.052,0.0,0.888,0.432,-0.157,0.0,0.805,0.579,0.13,0.0
1,0.01,106,2.12,90.379,-9.696,-12.348,28.466,-0.048,0.012,89.586,-4.946,-11.584,95.159,11.908,-7.896,68.964,3.475,0.908,76.431,17.17,-9.937,100.814,12.258,-8.932,0.0,-0.003,1.036,-0.002,-0.001,1.02,0.002,0.001,1.005,0.001,-0.002,0.888,0.0,-0.007,0.94,0.001,-0.004,0.953,-0.001,-0.002,0.953,-0.378,0.07,0.22,-0.647,0.073,-0.113,0.19,0.104,-0.202,0.545,0.073,-0.047,0.127,0.027,-0.012,0.226,-0.004,0.036,-0.176,0.119,-0.025,0.979,-0.202,0.017,0.0,0.969,-0.246,0.0,0.0,0.987,-0.157,0.036,0.0,0.833,0.539,-0.124,0.0,0.901,0.43,0.053,0.0,0.89,0.429,-0.158,0.0,0.805,0.578,0.132,0.0
2,0.02,107,2.14,90.487,-9.738,-12.379,28.466,-0.048,0.012,89.692,-4.989,-11.665,95.203,11.912,-7.905,69.022,3.483,0.904,76.497,17.123,-9.955,100.928,12.322,-8.998,-0.002,-0.004,1.036,0.002,0.002,1.017,0.002,0.002,1.008,0.004,-0.001,0.891,0.002,0.004,0.949,-0.003,0.004,0.962,-0.004,-0.001,0.944,-0.008,0.172,0.297,-0.769,0.073,-0.113,0.069,0.047,-0.174,-0.012,0.037,-0.112,0.306,-0.002,-0.077,0.301,0.035,0.018,-0.144,0.102,0.107,0.979,-0.202,0.017,0.0,0.969,-0.246,0.0,0.0,0.987,-0.157,0.036,0.0,0.833,0.54,-0.124,0.0,0.901,0.431,0.053,0.0,0.89,0.429,-0.157,0.0,0.804,0.579,0.133,0.0
3,0.03,107,2.14,90.416,-9.76,-12.383,28.235,-0.048,0.012,89.302,-5.001,-11.549,94.953,11.927,-7.912,69.047,3.454,0.914,76.554,17.123,-9.976,100.583,12.258,-8.932,-0.003,0.002,1.036,-0.004,0.01,1.017,0.0,0.004,1.002,0.0,-0.005,0.892,0.0,0.001,0.945,-0.002,-0.004,0.956,0.001,-0.006,0.952,0.112,0.091,0.261,-0.769,-0.035,-0.055,0.18,0.125,-0.336,0.088,0.088,-0.257,0.063,-0.014,-0.054,0.2,-0.012,0.118,0.091,0.139,0.056,0.979,-0.202,0.017,0.0,0.97,-0.244,0.0,0.0,0.987,-0.154,0.036,0.0,0.833,0.54,-0.124,0.0,0.9,0.433,0.053,0.0,0.889,0.429,-0.158,0.0,0.805,0.578,0.132,0.0
4,0.04,108,2.16,90.444,-9.739,-12.359,28.283,-0.048,0.012,89.642,-4.88,-11.608,95.031,11.899,-7.898,69.272,3.418,0.998,76.554,17.123,-9.976,100.803,12.284,-8.979,0.002,-0.001,1.037,0.0,0.002,1.02,-0.001,-0.002,1.008,-0.004,0.0,0.89,0.001,0.006,0.949,0.002,0.001,0.963,-0.004,0.0,0.949,0.109,-0.013,0.173,-0.769,-0.035,-0.055,0.224,-0.008,-0.553,0.088,0.088,-0.257,0.066,0.025,-0.006,0.192,-0.097,0.107,0.019,0.187,0.051,0.979,-0.202,0.017,0.0,0.97,-0.244,0.0,0.0,0.987,-0.156,0.036,0.0,0.833,0.54,-0.124,0.0,0.9,0.433,0.053,0.0,0.889,0.429,-0.158,0.0,0.804,0.58,0.132,0.0
5,0.05,108,2.16,90.366,-9.767,-12.356,28.216,-0.048,0.012,89.498,-4.88,-11.56,95.007,11.909,-7.911,69.215,3.371,1.014,76.627,17.035,-9.969,100.619,12.257,-8.94,-0.003,0.006,1.038,-0.005,0.006,1.02,-0.001,-0.005,1.009,0.002,-0.001,0.889,0.005,-0.001,0.946,0.001,0.003,0.965,-0.005,-0.002,0.952,0.105,-0.06,0.061,-0.769,-0.336,-0.1,-0.223,0.165,0.003,0.025,0.201,-0.183,0.066,0.148,0.051,0.233,-0.029,0.217,0.113,0.103,0.131,0.979,-0.201,0.017,0.0,0.97,-0.244,0.0,0.0,0.987,-0.156,0.036,0.0,0.832,0.54,-0.124,0.0,0.9,0.433,0.053,0.0,0.889,0.431,-0.157,0.0,0.805,0.579,0.132,0.0
6,0.06,109,2.18,90.379,-9.747,-12.328,28.235,-0.09,0.023,89.66,-4.825,-11.587,95.05,11.887,-7.937,69.234,3.392,1.036,76.627,17.035,-9.969,100.773,12.264,-8.927,0.001,0.001,1.036,-0.003,0.002,1.016,-0.005,-0.002,1.005,-0.002,0.002,0.893,-0.001,-0.003,0.947,-0.003,0.004,0.967,0.001,0.005,0.95,0.101,-0.164,-0.028,-0.586,-0.249,0.061,-0.191,0.179,0.445,0.022,0.307,-0.096,0.072,0.101,0.089,0.168,0.004,0.019,-0.109,0.008,0.2,0.979,-0.201,0.017,0.0,0.97,-0.244,0.001,0.0,0.987,-0.156,0.037,0.0,0.832,0.54,-0.124,0.0,0.9,0.433,0.053,0.0,0.889,0.431,-0.157,0.0,0.804,0.58,0.132,0.0
7,0.07,109,2.18,90.314,-9.724,-12.329,28.216,-0.048,0.012,89.612,-4.846,-11.565,95.04,11.902,-7.911,69.104,3.347,1.041,76.629,17.007,-9.932,100.794,12.245,-8.96,-0.001,0.0,1.037,-0.002,0.0,1.023,-0.001,0.003,1.006,0.003,0.0,0.89,0.004,-0.001,0.947,0.0,0.004,0.963,-0.004,0.002,0.95,0.222,-0.053,-0.079,-0.281,-0.142,0.004,-0.241,0.043,0.621,0.013,0.146,-0.159,-0.145,0.061,0.368,0.018,0.051,0.113,-0.067,0.151,0.208,0.98,-0.2,0.017,0.0,0.97,-0.244,0.0,0.0,0.987,-0.155,0.037,0.0,0.832,0.54,-0.124,0.0,0.9,0.433,0.053,0.0,0.888,0.432,-0.157,0.0,0.804,0.58,0.132,0.0
8,0.08,110,2.2,90.363,-9.713,-12.336,28.264,-0.048,0.012,89.616,-4.885,-11.622,95.088,11.902,-7.911,69.111,3.361,1.036,76.589,17.04,-9.931,100.842,12.303,-9.003,0.001,-0.001,1.037,-0.002,0.002,1.02,0.0,-0.001,1.007,0.001,-0.004,0.892,0.001,0.001,0.95,-0.001,-0.001,0.959,-0.007,0.002,0.954,-0.025,-0.155,-0.16,-0.037,-0.005,0.0,-0.193,-0.014,0.443,0.246,0.219,-0.023,-0.223,0.077,0.203,0.044,0.059,0.031,-0.073,0.054,0.112,0.98,-0.201,0.017,0.0,0.97,-0.244,0.0,0.0,0.987,-0.155,0.037,0.0,0.832,0.54,-0.124,0.0,0.9,0.433,0.053,0.0,0.889,0.431,-0.157,0.0,0.804,0.58,0.133,0.0
9,0.09,110,2.2,90.322,-9.729,-12.337,28.177,-0.048,0.012,89.616,-4.885,-11.622,95.02,11.908,-7.918,69.12,3.361,1.037,76.529,17.041,-9.93,100.755,12.303,-9.003,-0.002,0.003,1.04,0.001,0.008,1.017,-0.004,0.001,1.002,0.005,0.002,0.894,-0.001,0.0,0.947,-0.002,-0.005,0.961,-0.008,-0.001,0.95,-0.018,-0.196,0.056,-0.342,-0.088,-0.025,-0.142,0.064,0.286,-0.079,0.07,-0.07,0.014,0.012,0.085,-0.164,0.114,0.109,-0.074,-0.119,-0.023,0.98,-0.2,0.017,0.0,0.97,-0.243,0.0,0.0,0.987,-0.155,0.037,0.0,0.832,0.541,-0.124,0.0,0.9,0.433,0.053,0.0,0.889,0.431,-0.157,0.0,0.804,0.58,0.133,0.0
