molab_frame,molab_time,video_frame,video_time,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z
0,0.0,77,1.54,80.46,10.437,-0.43,99.718,-1.223,-13.802,104.547,-12.834,-22.692,26.153,1.309,-0.304,85.05,20.499,-13.621,99.836,18.681,-12.804,100.176,13.828,-11.712,-0.003,0.002,0.946,0.003,-0.006,1.008,0.002,0.002,1.05,0.001,-0.002,1.009,-0.002,0.001,0.96,-0.001,-0.002,0.895,-0.004,0.003,0.945,-0.475,0.126,-0.061,0.002,-0.02,0.006,-0.232,-0.142,-0.071,-0.243,-0.379,-0.295,-0.156,-0.161,-0.014,-0.26,-0.372,0.3,-0.165,0.138,0.074,0.887,0.443,0.127,0.0,0.969,-0.241,0.057,0.0,0.966,-0.255,0.033,0.0,0.974,-0.226,-0.012,0.0,0.881,0.435,-0.187,0.0,0.793,0.574,-0.203,0.0,0.798,0.584,0.149,0.0
1,0.01,77,1.54,80.427,10.368,-0.272,99.656,-1.129,-13.885,104.63,-13.029,-22.874,26.239,1.308,-0.305,85.242,20.617,-13.853,99.842,18.782,-12.862,100.265,13.942,-11.799,-0.001,-0.001,0.952,0.0,0.004,1.004,-0.001,0.002,1.054,0.001,-0.001,1.014,0.005,0.0,0.959,0.003,-0.005,0.892,-0.005,0.003,0.951,-0.274,-0.147,0.123,-0.053,0.064,0.038,-0.235,-0.225,-0.094,0.178,-0.267,-0.066,-0.033,0.028,0.099,-0.175,-0.427,0.209,0.012,0.57,-0.172,0.887,0.443,0.127,0.0,0.969,-0.24,0.059,0.0,0.966,-0.256,0.034,0.0,0.974,-0.227,-0.012,0.0,0.881,0.435,-0.187,0.0,0.794,0.573,-0.204,0.0,0.798,0.584,0.15,0.0
2,0.02,78,1.56,80.366,10.243,0.019,99.575,-0.837,-13.808,105.095,-12.997,-23.008,26.473,1.264,-0.297,85.58,20.653,-13.967,100.218,18.801,-12.95,100.487,13.937,-11.753,0.001,-0.001,0.947,-0.005,0.004,1.009,-0.003,-0.005,1.049,0.0,-0.002,1.023,-0.001,-0.004,0.96,0.001,-0.001,0.893,-0.001,0.002,0.95,-0.333,-0.154,0.137,-0.332,0.047,0.29,0.005,-0.259,-0.163,0.3,-0.101,-0.144,-0.08,-0.001,0.032,-0.141,-0.392,0.137,-0.07,0.358,-0.149,0.887,0.443,0.127,0.0,0.969,-0.24,0.062,0.0,0.965,-0.259,0.035,0.0,0.973,-0.229,-0.011,0.0,0.881,0.435,-0.187,0.0,0.793,0.574,-0.204,0.0,0.798,0.584,0.15,0.0
3,0.03,78,1.56,80.274,10.315,-0.242,99.683,-1.054,-13.736,104.681,-12.994,-22.819,26.368,1.3,-0.305,85.131,20.654,-13.842,100.028,18.728,-12.84,100.406,13.801,-11.689,0.001,0.001,0.948,0.0,-0.005,1.009,-0.001,0.004,1.051,0.002,-0.002,1.023,-0.002,0.0,0.961,-0.003,-0.003,0.892,-0.004,0.003,0.948,-0.201,-0.187,0.145,-0.199,0.155,0.355,0.004,-0.206,-0.193,-0.066,-0.105,-0.152,-0.147,0.047,0.059,-0.044,-0.399,0.232,-0.091,0.319,-0.263,0.888,0.442,0.126,0.0,0.969,-0.24,0.059,0.0,0.966,-0.256,0.034,0.0,0.974,-0.228,-0.012,0.0,0.881,0.434,-0.187,0.0,0.793,0.574,-0.203,0.0,0.798,0.585,0.149,0.0
4,0.04,79,1.58,80.227,10.218,-0.018,99.604,-0.886,-13.786,104.711,-13.017,-22.861,26.393,1.286,-0.302,85.17,20.61,-13.839,100.083,18.757,-12.883,100.43,13.9,-11.75,0.003,0.0,0.948,-0.003,0.001,1.01,-0.001,0.004,1.051,0.0,-0.007,1.018,-0.004,0.004,0.961,0.0,-0.003,0.892,-0.004,0.001,0.957,-0.197,0.011,-0.01,-0.127,0.264,0.428,0.071,-0.093,-0.121,-0.13,-0.162,0.01,-0.207,0.152,0.279,-0.098,-0.453,-0.029,0.12,0.096,-0.094,0.888,0.442,0.126,0.0,0.969,-0.24,0.061,0.0,0.966,-0.256,0.034,0.0,0.974,-0.228,-0.012,0.0,0.881,0.434,-0.187,0.0,0.793,0.574,-0.203,0.0,0.798,0.584,0.15,0.0
5,0.05,79,1.58,79.921,10.01,0.082,99.346,-0.898,-13.678,104.579,-13.058,-22.831,26.356,1.285,-0.301,85.157,20.574,-13.841,99.999,18.752,-12.869,100.38,13.824,-11.689,0.003,-0.004,0.946,-0.006,-0.001,1.005,-0.002,0.003,1.05,0.0,-0.011,1.022,-0.002,0.004,0.96,-0.003,-0.005,0.89,-0.004,0.0,0.949,-0.249,-0.081,-0.009,-0.027,-0.014,0.283,-0.052,-0.039,-0.144,-0.012,-0.19,0.23,-0.193,0.018,-0.008,0.089,-0.439,0.014,0.155,-0.331,-0.018,0.888,0.442,0.124,0.0,0.969,-0.238,0.061,0.0,0.966,-0.255,0.034,0.0,0.974,-0.228,-0.012,0.0,0.881,0.435,-0.187,0.0,0.794,0.574,-0.203,0.0,0.798,0.584,0.149,0.0
6,0.06,80,1.6,80.031,10.017,0.084,99.436,-0.915,-13.768,104.6,-13.0,-22.707,26.356,1.285,-0.301,85.164,20.574,-13.842,100.018,18.641,-12.79,100.378,13.899,-11.745,0.006,-0.004,0.95,0.0,-0.003,1.005,-0.002,0.001,1.045,0.0,-0.001,1.016,0.0,-0.002,0.963,-0.002,-0.002,0.884,-0.008,-0.003,0.944,-0.186,0.124,-0.177,0.075,0.089,0.078,0.016,0.021,-0.042,0.042,0.082,0.37,-0.193,0.018,-0.008,-0.079,-0.398,-0.045,0.254,-0.652,0.14,0.888,0.442,0.124,0.0,0.969,-0.239,0.061,0.0,0.966,-0.255,0.034,0.0,0.974,-0.228,-0.012,0.0,0.881,0.435,-0.187,0.0,0.794,0.574,-0.202,0.0,0.798,0.584,0.15,0.0
7,0.07,80,1.6,80.029,10.097,-0.133,99.341,-1.156,-13.795,104.6,-13.0,-22.707,26.338,1.284,-0.3,85.165,20.588,-13.849,100.0,18.641,-12.79,100.243,13.894,-11.716,0.005,0.0,0.945,0.001,-0.003,1.003,-0.003,-0.002,1.05,0.001,-0.006,1.019,0.0,-0.002,0.954,-0.005,-0.001,0.887,-0.005,-0.004,0.949,0.336,0.517,-0.165,0.119,-0.105,-0.034,-0.04,0.188,0.007,-0.016,0.028,0.259,-0.317,0.076,-0.002,0.033,-0.425,-0.006,0.349,-1.134,0.419,0.888,0.442,0.124,0.0,0.969,-0.239,0.059,0.0,0.966,-0.255,0.034,0.0,0.974,-0.228,-0.012,0.0,0.881,0.435,-0.187,0.0,0.794,0.574,-0.202,0.0,0.798,0.583,0.15,0.0
8,0.08,81,1.62,80.142,10.127,-0.144,99.399,-1.162,-13.847,104.834,-12.951,-22.767,26.338,1.284,-0.3,85.295,20.607,-13.871,100.08,18.65,-12.816,100.244,13.937,-11.749,-0.005,0.001,0.948,0.0,-0.005,1.007,-0.002,-0.003,1.051,0.002,-0.001,1.019,-0.002,-0.004,0.962,-0.003,0.0,0.89,-0.006,-0.002,0.952,0.18,0.485,-0.041,0.226,-0.164,-0.155,0.333,0.244,0.089,-0.009,-0.079,0.04,-0.173,0.065,-0.042,-0.13,-0.307,-0.025,0.363,-1.363,0.3,0.888,0.442,0.125,0.0,0.969,-0.239,0.059,0.0,0.966,-0.256,0.035,0.0,0.974,-0.228,-0.012,0.0,0.881,0.435,-0.187,0.0,0.793,0.575,-0.202,0.0,0.798,0.583,0.15,0.0
9,0.09,81,1.62,80.077,10.115,-0.141,99.389,-1.146,-13.8,104.749,-12.939,-22.699,26.314,1.298,-0.303,85.268,20.623,-13.872,100.003,18.607,-12.758,100.222,13.895,-11.731,0.001,-0.008,0.947,-0.001,-0.004,1.009,0.0,-0.001,1.048,0.001,0.0,1.014,0.0,0.001,0.962,-0.001,-0.005,0.893,-0.004,0.003,0.947,0.302,-0.028,-0.047,0.058,-0.103,-0.027,0.095,0.224,0.188,-0.189,-0.189,-0.046,-0.163,0.027,-0.088,-0.103,-0.28,0.106,0.618,-1.755,0.52,0.888,0.442,0.124,0.0,0.969,-0.239,0.059,0.0,0.966,-0.256,0.035,0.0,0.974,-0.228,-0.012,0.0,0.881,0.435,-0.187,0.0,0.793,0.574,-0.202,0.0,0.798,0.583,0.15,0.0
