molab_frame,molab_time,video_frame,video_time,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z
0,0.0,50,1.0,72.29,2.836,7.798,103.187,1.476,-0.075,91.984,12.651,1.169,78.533,13.521,0.939,91.246,6.376,-3.837,33.844,-0.95,0.289,97.548,6.402,-4.856,0.008,0.005,0.956,0.013,0.003,0.961,0.003,0.003,1.008,0.0,-0.005,0.959,0.011,0.014,1.034,0.002,-0.004,1.023,0.011,0.006,0.884,0.513,-0.069,-0.041,-0.296,-1.934,0.064,-0.606,-0.097,-0.643,-1.082,-0.792,-0.519,-0.157,0.493,0.282,-0.602,0.02,0.031,-0.376,-0.101,-0.287,0.9,0.425,0.092,0.0,0.822,0.569,0.016,0.0,0.973,-0.195,0.121,0.0,0.888,0.426,-0.172,0.0,0.965,-0.246,-0.09,0.0,0.957,-0.291,0.009,0.0,0.849,0.524,-0.064,0.0
1,0.01,50,1.0,73.339,3.114,7.754,103.093,1.829,-0.1,92.777,12.372,0.869,79.677,13.688,0.856,92.509,6.539,-3.507,33.852,-1.169,0.356,97.582,6.113,-4.881,0.005,0.007,0.95,0.007,-0.003,0.959,0.007,-0.014,1.012,0.002,-0.009,0.962,0.009,-0.007,1.043,-0.002,0.002,1.019,0.006,0.006,0.88,0.24,0.211,-0.406,0.161,-0.778,-0.196,-0.481,0.473,0.241,-0.898,-0.612,-0.394,-0.158,-0.185,-0.683,-0.479,0.154,0.012,-0.211,-0.085,-0.079,0.9,0.426,0.093,0.0,0.823,0.568,0.02,0.0,0.972,-0.203,0.121,0.0,0.888,0.426,-0.172,0.0,0.963,-0.256,-0.089,0.0,0.957,-0.291,0.011,0.0,0.849,0.525,-0.061,0.0
2,0.02,51,1.02,73.16,3.832,7.447,103.027,1.834,-0.103,92.811,12.425,0.886,79.806,13.841,0.553,92.541,6.237,-3.585,33.852,-1.169,0.356,97.582,6.113,-4.881,-0.006,-0.001,0.954,0.011,-0.006,0.957,0.003,-0.008,1.006,0.003,-0.005,0.959,0.003,-0.004,1.04,0.001,-0.003,1.022,0.01,-0.005,0.886,-0.015,0.575,-0.284,0.457,1.201,-1.026,-0.188,0.609,0.377,-0.419,-0.518,-0.223,-0.188,-0.465,-0.814,-0.421,-0.016,-0.023,0.163,-0.467,0.208,0.9,0.425,0.1,0.0,0.823,0.568,0.02,0.0,0.971,-0.204,0.121,0.0,0.888,0.426,-0.173,0.0,0.963,-0.256,-0.086,0.0,0.957,-0.291,0.011,0.0,0.849,0.525,-0.061,0.0
3,0.03,51,1.02,72.536,3.651,7.428,102.982,1.634,-0.141,92.284,12.505,1.047,79.638,13.797,0.599,92.267,6.274,-3.566,33.852,-0.991,0.302,97.477,6.08,-4.688,-0.006,-0.001,0.949,0.016,0.001,0.96,0.004,0.0,1.009,-0.005,-0.001,0.96,0.004,0.002,1.041,0.004,-0.006,1.028,0.005,-0.005,0.883,-0.098,0.215,-0.212,0.375,1.434,-1.438,-0.12,0.645,0.138,-0.138,-0.428,0.156,-0.382,-0.865,-1.049,-0.603,0.037,-0.053,0.243,-0.801,0.384,0.9,0.424,0.099,0.0,0.823,0.567,0.018,0.0,0.972,-0.2,0.121,0.0,0.888,0.426,-0.172,0.0,0.963,-0.254,-0.087,0.0,0.957,-0.291,0.009,0.0,0.85,0.524,-0.061,0.0
4,0.04,52,1.04,72.588,3.695,7.424,103.195,1.643,-0.149,92.365,12.517,1.045,79.818,13.772,0.585,92.457,6.237,-3.575,34.009,-0.989,0.303,97.634,6.078,-4.686,-0.002,0.003,0.948,0.014,0.001,0.953,0.004,0.0,1.006,-0.001,-0.006,0.958,0.001,-0.01,1.051,0.002,-0.005,1.028,0.01,-0.002,0.89,-0.14,0.401,-0.364,-0.205,0.647,-1.053,-0.006,0.655,-0.17,0.11,-0.419,0.195,-0.876,-0.598,-0.369,-0.48,0.069,-0.005,0.472,-0.927,0.463,0.9,0.424,0.099,0.0,0.823,0.568,0.018,0.0,0.972,-0.2,0.121,0.0,0.888,0.426,-0.172,0.0,0.963,-0.256,-0.086,0.0,0.956,-0.292,0.009,0.0,0.85,0.524,-0.061,0.0
5,0.05,52,1.04,72.25,3.58,7.428,102.916,1.64,-0.172,91.935,12.498,1.015,79.775,13.821,0.575,91.758,6.052,-3.855,33.852,-0.964,0.293,96.883,6.4,-4.808,-0.005,-0.002,0.945,0.004,-0.008,0.955,0.003,0.005,1.002,0.001,-0.002,0.959,0.002,-0.006,1.051,0.007,-0.002,1.021,0.012,-0.004,0.894,-0.525,0.427,-0.423,-0.473,0.11,-0.382,-0.161,0.591,-0.784,0.492,-0.384,0.237,-0.598,-0.581,-0.185,-0.421,0.086,-0.09,-0.217,-0.411,0.362,0.901,0.423,0.099,0.0,0.824,0.567,0.018,0.0,0.973,-0.197,0.121,0.0,0.888,0.426,-0.172,0.0,0.963,-0.255,-0.087,0.0,0.957,-0.291,0.009,0.0,0.852,0.519,-0.064,0.0
6,0.06,53,1.06,72.524,3.598,7.474,102.902,1.845,-0.313,92.216,12.403,0.841,79.874,13.844,0.567,91.873,6.053,-3.855,33.852,-0.964,0.293,96.883,6.4,-4.808,-0.001,-0.002,0.946,-0.003,-0.004,0.953,-0.001,-0.008,1.007,0.002,-0.005,0.956,0.004,-0.005,1.061,0.005,-0.002,1.023,0.012,-0.003,0.892,-0.369,0.461,-0.229,-0.119,0.615,-0.456,-0.035,0.223,-1.208,0.587,-0.153,0.062,-0.212,-0.332,-0.326,-0.66,0.19,0.066,-0.194,-0.496,0.064,0.901,0.423,0.099,0.0,0.824,0.567,0.02,0.0,0.972,-0.2,0.121,0.0,0.888,0.426,-0.173,0.0,0.963,-0.256,-0.087,0.0,0.957,-0.291,0.009,0.0,0.852,0.519,-0.064,0.0
7,0.07,53,1.06,72.166,3.533,7.48,102.834,1.844,-0.325,91.838,12.423,0.818,79.773,13.83,0.558,91.822,6.048,-3.847,33.852,-0.95,0.289,96.959,6.38,-4.79,-0.009,-0.008,0.948,-0.003,-0.005,0.954,-0.003,-0.001,1.002,-0.006,0.011,0.96,0.003,0.002,1.061,0.004,-0.007,1.02,0.012,-0.002,0.9,-0.273,0.365,-0.079,0.351,0.901,-0.777,-0.296,-0.019,-1.444,0.181,0.051,0.217,0.018,0.015,0.444,-0.415,0.119,0.18,0.27,-0.203,-0.059,0.901,0.423,0.099,0.0,0.824,0.566,0.02,0.0,0.973,-0.198,0.121,0.0,0.888,0.426,-0.173,0.0,0.963,-0.255,-0.087,0.0,0.957,-0.291,0.009,0.0,0.852,0.52,-0.063,0.0
8,0.08,54,1.08,72.164,3.52,7.504,102.795,2.022,-0.447,91.757,12.333,0.638,79.83,13.78,0.579,91.822,6.048,-3.847,33.852,-0.95,0.289,96.959,6.38,-4.79,-0.003,0.003,0.958,0.002,-0.005,0.951,-0.008,0.006,1.009,-0.001,0.005,0.962,0.0,0.008,1.056,0.005,-0.005,1.021,0.018,-0.002,0.899,-0.167,0.098,0.054,0.134,0.413,-0.323,-0.04,0.071,-0.937,-0.42,0.434,-0.135,0.344,0.569,0.971,-0.232,0.117,0.177,0.303,0.067,-0.196,0.901,0.423,0.099,0.0,0.824,0.566,0.022,0.0,0.973,-0.198,0.122,0.0,0.888,0.427,-0.172,0.0,0.963,-0.255,-0.087,0.0,0.957,-0.291,0.009,0.0,0.852,0.52,-0.063,0.0
9,0.09,54,1.08,72.046,3.505,7.493,102.785,2.026,-0.531,91.678,12.326,0.628,79.707,13.786,0.55,91.729,6.013,-3.858,33.818,-0.869,0.264,96.93,6.367,-4.707,-0.001,-0.005,0.948,-0.004,0.001,0.953,-0.004,0.002,1.006,-0.003,0.008,0.972,-0.001,0.002,1.052,0.01,-0.006,1.019,0.01,-0.008,0.894,-0.156,-0.073,0.037,0.035,0.042,0.083,0.098,0.264,-0.168,-0.812,0.314,-0.188,0.17,0.669,0.882,-0.231,0.252,0.16,0.338,0.285,0.243,0.901,0.422,0.099,0.0,0.824,0.566,0.022,0.0,0.973,-0.197,0.122,0.0,0.888,0.426,-0.172,0.0,0.963,-0.254,-0.086,0.0,0.957,-0.291,0.008,0.0,0.852,0.52,-0.063,0.0
