molab_frame,molab_time,video_frame,video_time,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z
424,4.24,495,9.9,-0.031,0.049,-0.036,0.075,0.037,-0.025,0.198,-0.024,-0.006,0.117,-0.109,0.06,-0.01,0.113,0.015,-0.146,0.102,-0.008,-0.09,-0.098,-0.015,0.0,0.0,0.884,-0.001,0.004,1.001,0.001,0.004,0.944,0.003,0.007,0.954,0.001,0.003,1.034,0.001,-0.006,0.956,-0.001,-0.002,0.977,-0.236,-0.456,0.153,-0.052,-0.134,-0.044,0.272,-0.286,0.003,-0.228,-0.164,0.175,0.104,-0.162,-0.002,0.051,-0.13,0.06,-0.326,-0.037,-0.206,1.0,0.001,0.0,0.0,1.0,0.001,0.0,0.0,1.0,0.003,0.0,0.0,1.0,0.002,0.0,0.0,1.0,0.001,-0.001,0.0,1.0,-0.001,-0.001,0.0,1.0,0.001,0.001,0.0
425,4.25,495,9.9,-0.017,0.053,-0.038,0.127,0.026,-0.025,0.19,0.0,-0.006,0.155,-0.093,0.061,-0.034,0.058,0.017,-0.2,0.144,-0.009,-0.081,-0.065,-0.015,0.003,0.002,0.884,0.002,0.001,1.004,0.001,-0.003,0.942,0.002,0.006,0.944,0.0,0.003,1.036,0.006,-0.004,0.956,0.002,0.001,0.98,-0.224,-0.322,0.173,-0.169,-0.245,0.017,0.259,-0.115,0.021,-0.171,-0.015,0.012,0.05,-0.129,-0.086,0.073,-0.086,0.025,-0.143,0.046,-0.098,1.0,0.001,0.0,0.0,1.0,0.001,0.0,0.0,1.0,0.003,0.0,0.0,1.0,0.002,0.0,0.0,1.0,0.001,0.0,0.0,1.0,-0.001,-0.002,0.0,1.0,0.001,0.001,0.0
426,4.26,496,9.92,-0.018,0.075,-0.04,0.102,0.013,-0.026,0.194,0.001,-0.005,0.164,-0.125,0.061,-0.102,0.051,0.018,-0.203,0.122,-0.009,-0.047,-0.074,-0.016,0.001,-0.003,0.887,0.005,0.002,1.003,0.001,0.005,0.947,0.002,0.002,0.945,0.001,0.003,1.038,0.002,0.001,0.958,-0.001,0.0,0.976,-0.157,-0.348,0.125,-0.191,-0.228,-0.116,0.301,-0.102,-0.076,0.011,-0.027,-0.05,-0.084,-0.143,0.037,-0.005,-0.12,0.037,-0.082,-0.035,-0.07,1.0,0.0,0.0,0.0,1.0,0.001,0.0,0.0,1.0,0.003,0.0,0.0,1.0,0.002,0.0,0.0,1.0,0.001,0.0,0.0,1.0,-0.001,-0.002,0.0,1.0,0.0,0.001,0.0
427,4.27,496,9.92,0.02,0.127,-0.041,0.064,-0.029,-0.026,0.158,0.043,-0.004,0.161,-0.135,0.059,-0.065,0.034,0.019,-0.211,0.099,-0.008,-0.016,-0.09,-0.016,0.006,0.001,0.883,0.005,0.003,1.003,-0.001,-0.003,0.939,0.0,0.002,0.948,0.005,-0.004,1.039,0.002,-0.005,0.957,-0.002,0.0,0.977,0.102,-0.262,0.126,-0.144,-0.193,-0.203,0.123,-0.12,-0.039,-0.053,-0.07,-0.227,-0.025,-0.198,0.066,-0.329,-0.157,-0.004,-0.081,-0.088,0.04,1.0,0.0,0.0,0.0,1.0,0.001,-0.001,0.0,1.0,0.002,0.0,0.0,1.0,0.002,0.0,0.0,1.0,0.001,-0.001,0.0,1.0,-0.001,-0.001,0.0,1.0,0.0,0.001,0.0
428,4.28,497,9.94,0.003,0.135,-0.042,0.027,0.017,-0.025,0.156,0.012,-0.002,0.134,-0.144,0.057,-0.051,0.034,0.019,-0.209,0.033,-0.008,-0.038,-0.063,-0.016,0.004,0.001,0.885,0.0,0.005,1.006,0.003,0.008,0.944,0.009,0.002,0.95,0.002,0.002,1.036,-0.004,-0.003,0.96,0.001,0.003,0.969,0.131,-0.09,0.07,-0.068,0.018,-0.161,0.135,-0.166,-0.002,-0.112,-0.19,-0.197,-0.151,-0.121,0.087,-0.262,-0.267,0.111,0.04,-0.061,-0.015,1.0,0.0,-0.001,0.0,1.0,0.001,-0.001,0.0,1.0,0.003,0.0,0.0,1.0,0.002,-0.001,0.0,1.0,0.001,-0.001,0.0,1.0,-0.001,-0.001,0.0,1.0,0.0,0.001,0.0
429,4.29,497,9.94,0.054,0.176,-0.041,0.014,0.0,-0.022,0.142,0.045,-0.003,0.131,-0.169,0.053,0.001,-0.008,0.017,-0.145,0.055,-0.005,-0.008,-0.076,-0.014,0.002,0.001,0.89,0.003,0.001,1.004,0.0,0.001,0.949,0.004,-0.005,0.951,0.0,-0.003,1.034,0.004,0.006,0.965,-0.002,-0.001,0.971,0.153,0.101,0.071,-0.091,-0.092,0.08,-0.103,-0.189,0.047,-0.05,-0.263,-0.243,0.015,0.007,0.251,-0.118,-0.224,-0.061,0.102,-0.085,0.176,1.0,0.001,-0.001,0.0,1.0,0.001,-0.001,0.0,1.0,0.002,0.0,0.0,1.0,0.001,-0.001,0.0,1.0,0.001,-0.001,0.0,1.0,-0.001,-0.001,0.0,1.0,0.0,0.001,0.0
430,4.3,498,9.96,0.062,0.182,-0.043,0.03,0.026,-0.019,0.149,0.029,-0.005,0.136,-0.177,0.054,0.02,-0.034,0.015,-0.086,0.077,-0.002,0.016,-0.051,-0.015,0.007,-0.002,0.886,0.002,-0.001,1.005,0.004,0.0,0.944,0.003,0.001,0.956,0.002,-0.001,1.036,0.004,0.0,0.965,0.004,-0.005,0.97,0.074,-0.006,0.099,-0.048,-0.068,0.326,-0.038,-0.144,0.081,-0.105,-0.384,0.038,-0.052,0.029,0.302,-0.107,-0.324,0.031,0.101,-0.116,-0.042,1.0,0.0,-0.001,0.0,1.0,0.001,-0.001,0.0,1.0,0.002,-0.001,0.0,1.0,0.001,-0.001,0.0,1.0,0.0,-0.001,0.0,1.0,-0.001,-0.002,0.0,1.0,0.0,0.0,0.0
431,4.31,498,9.96,0.011,0.196,-0.044,0.015,0.086,-0.016,0.188,-0.022,-0.009,0.077,-0.188,0.053,-0.003,-0.03,0.016,-0.103,0.013,-0.002,-0.019,-0.035,-0.013,0.006,-0.001,0.881,-0.002,0.001,1.003,0.002,0.006,0.951,0.004,-0.001,0.956,0.004,0.001,1.039,0.003,-0.001,0.961,0.0,0.001,0.972,-0.007,0.06,0.261,-0.031,0.087,0.399,-0.069,0.034,0.014,0.139,-0.44,0.048,0.022,0.041,0.172,-0.105,-0.199,0.085,0.346,-0.058,0.12,1.0,0.0,-0.001,0.0,1.0,0.001,-0.001,0.0,1.0,0.002,-0.001,0.0,1.0,0.001,-0.001,0.0,1.0,0.0,-0.001,0.0,1.0,-0.001,-0.001,0.0,1.0,0.0,0.0,0.0
432,4.32,499,9.98,-0.035,0.215,-0.045,0.021,0.111,-0.016,0.255,-0.028,-0.01,0.034,-0.241,0.054,-0.036,0.016,0.015,-0.074,-0.032,0.0,-0.033,-0.066,-0.012,0.002,0.0,0.888,0.0,-0.006,1.005,0.002,0.007,0.948,0.004,-0.001,0.958,0.006,0.001,1.033,0.001,0.004,0.962,-0.002,0.001,0.977,0.057,-0.044,0.174,-0.009,-0.111,0.203,-0.057,-0.012,0.052,0.142,-0.397,0.226,0.021,-0.016,0.195,-0.116,-0.099,-0.007,0.102,-0.059,0.121,1.0,0.0,-0.001,0.0,1.0,0.0,-0.001,0.0,1.0,0.003,-0.001,0.0,1.0,0.001,-0.002,0.0,1.0,0.0,-0.001,0.0,1.0,0.0,-0.001,0.0,1.0,0.0,0.001,0.0
433,4.33,499,9.98,0.026,0.236,-0.046,0.025,0.181,-0.014,0.232,-0.056,-0.014,0.057,-0.296,0.055,0.031,0.002,0.015,-0.063,-0.044,0.003,-0.006,-0.085,-0.012,0.003,0.006,0.886,-0.003,0.0,1.002,0.001,0.002,0.944,0.006,0.001,0.95,0.002,-0.003,1.037,-0.002,-0.004,0.96,-0.003,-0.002,0.97,-0.022,-0.151,0.202,-0.031,0.087,0.399,0.122,0.005,0.016,0.078,-0.22,0.184,0.012,0.2,0.239,0.061,-0.171,0.015,-0.02,-0.224,0.042,1.0,0.0,-0.001,0.0,1.0,0.0,0.0,0.0,1.0,0.002,-0.001,0.0,1.0,0.001,-0.002,0.0,1.0,0.0,-0.001,0.0,1.0,-0.001,-0.001,0.0,1.0,0.0,0.001,0.0
