molab_frame,molab_time,video_frame,video_time,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z
466,4.66,327,6.54,0.038,-0.217,0.105,0.023,0.039,0.492,-0.074,-0.15,0.04,0.031,-0.002,-0.043,-0.138,-0.093,-0.016,0.118,0.144,-0.061,-0.013,0.236,-0.014,-0.002,0.003,1.021,0.001,-0.001,0.987,-0.004,0.001,1.002,0.001,0.001,0.891,0.001,-0.002,0.948,0.0,0.0,0.955,-0.006,-0.002,0.947,-0.019,-0.211,0.219,0.065,0.067,0.106,-0.007,0.134,0.209,-0.187,-0.139,0.149,-0.136,0.036,0.149,-0.279,0.055,-0.013,0.2,-0.017,-0.233,1.0,0.0,0.002,0.004,1.0,0.0,0.0,0.004,1.0,0.0,0.0,0.005,1.0,0.0,0.0,0.005,1.0,-0.001,0.0,0.004,1.0,0.001,0.0,0.004,1.0,0.0,0.002,0.004
467,4.67,327,6.54,0.072,-0.274,0.105,0.053,0.054,0.492,-0.118,-0.192,0.043,0.071,0.016,-0.045,-0.147,-0.059,-0.017,0.107,0.154,-0.058,0.006,0.283,-0.015,-0.005,-0.002,1.023,0.003,-0.006,0.986,0.001,0.005,1.003,0.002,0.001,0.893,-0.001,0.0,0.941,-0.003,-0.003,0.954,-0.009,-0.003,0.954,-0.08,-0.152,0.204,0.12,0.08,0.042,-0.005,0.014,0.233,0.008,0.059,0.217,-0.065,-0.094,0.164,-0.253,0.067,-0.094,0.115,-0.022,-0.022,1.0,0.0,0.002,0.004,1.0,0.0,0.0,0.004,1.0,0.001,0.0,0.005,1.0,0.0,-0.001,0.005,1.0,-0.001,0.0,0.004,1.0,0.0,0.0,0.004,1.0,0.0,0.002,0.004
468,4.68,328,6.56,0.041,-0.214,0.107,0.027,0.078,0.492,-0.109,-0.181,0.044,0.023,-0.033,-0.047,-0.092,-0.019,-0.018,0.13,0.11,-0.057,-0.043,0.28,-0.014,0.003,0.001,1.026,0.002,0.0,0.986,0.0,-0.001,1.002,-0.001,-0.001,0.892,-0.002,0.001,0.945,-0.002,0.006,0.963,0.0,-0.004,0.95,-0.086,-0.204,0.028,0.06,-0.04,0.022,-0.064,-0.105,0.261,0.055,-0.082,0.222,0.047,-0.073,0.068,-0.253,0.067,-0.094,-0.034,-0.137,0.109,1.0,0.0,0.001,0.004,1.0,0.0,-0.001,0.004,1.0,0.0,0.0,0.005,1.0,0.0,0.0,0.005,1.0,0.0,0.0,0.004,1.0,0.001,0.001,0.004,1.0,-0.001,0.002,0.004
469,4.69,328,6.56,-0.002,-0.164,0.108,0.057,0.093,0.493,-0.111,-0.202,0.046,0.039,-0.078,-0.047,-0.09,-0.01,-0.019,0.087,0.059,-0.056,0.019,0.308,-0.014,-0.001,0.003,1.022,0.003,-0.004,0.986,0.0,0.003,1.003,-0.005,-0.002,0.887,0.0,0.001,0.946,-0.004,0.0,0.955,-0.005,0.003,0.949,-0.088,-0.162,-0.047,0.065,0.007,0.094,-0.005,0.014,0.233,-0.051,-0.122,0.091,0.056,-0.087,0.152,-0.186,0.022,-0.124,-0.034,-0.137,0.109,1.0,0.0,0.001,0.004,1.0,-0.001,-0.001,0.004,1.0,0.001,0.0,0.005,1.0,0.0,0.0,0.005,1.0,0.0,0.0,0.004,1.0,0.001,0.001,0.004,1.0,0.0,0.002,0.004
470,4.7,329,6.58,-0.028,-0.152,0.111,0.086,0.076,0.494,-0.087,-0.265,0.046,0.039,-0.038,-0.045,-0.058,0.05,-0.02,0.121,0.014,-0.058,0.051,0.323,-0.014,0.0,-0.001,1.02,0.0,-0.003,0.987,0.004,-0.002,1.004,0.003,-0.004,0.889,-0.005,0.001,0.953,-0.002,0.003,0.957,-0.007,0.0,0.954,0.02,-0.088,-0.453,0.06,0.019,0.035,0.043,-0.141,0.072,-0.152,-0.268,-0.125,0.165,-0.102,0.006,-0.184,-0.1,-0.186,-0.183,-0.063,0.033,1.0,0.0,0.001,0.004,1.0,-0.001,-0.001,0.004,1.0,0.0,0.0,0.005,1.0,0.0,0.0,0.005,1.0,0.0,0.0,0.004,1.0,0.001,0.001,0.004,1.0,0.0,0.002,0.004
471,4.71,329,6.58,-0.056,-0.142,0.12,0.053,0.085,0.494,-0.028,-0.237,0.045,-0.021,-0.021,-0.044,-0.045,0.063,-0.019,0.085,-0.014,-0.066,0.05,0.323,-0.014,0.004,0.0,1.023,0.003,0.004,0.988,-0.001,-0.001,1.005,0.004,-0.005,0.885,-0.002,-0.001,0.951,-0.001,-0.002,0.958,-0.003,0.002,0.954,-0.054,-0.149,-0.878,-0.001,0.078,0.052,0.1,-0.212,0.02,-0.169,-0.297,-0.045,0.168,-0.066,0.056,-0.152,-0.241,-0.15,-0.116,-0.032,0.078,1.0,0.0,0.001,0.004,1.0,0.0,-0.001,0.004,1.0,0.0,0.0,0.005,1.0,-0.001,-0.001,0.005,1.0,0.0,0.001,0.004,1.0,0.001,0.001,0.004,1.0,0.0,0.002,0.004
472,4.72,330,6.6,-0.094,-0.161,0.13,0.088,0.085,0.494,-0.079,-0.285,0.045,0.006,0.015,-0.045,-0.04,0.069,-0.02,0.084,-0.045,-0.073,0.059,0.344,-0.013,0.0,0.003,1.027,0.001,-0.002,0.985,0.005,0.005,1.002,0.004,-0.002,0.887,0.0,0.001,0.947,-0.002,0.003,0.964,-0.006,-0.003,0.944,-0.12,-0.259,-1.035,-0.072,0.042,-0.074,0.096,-0.284,-0.028,0.02,-0.26,-0.038,0.16,-0.173,-0.092,-0.108,-0.181,-0.264,0.285,0.159,0.017,1.0,0.0,0.001,0.004,1.0,-0.001,-0.001,0.004,1.0,0.0,0.0,0.005,1.0,-0.001,-0.001,0.005,1.0,0.0,0.0,0.004,1.0,0.001,0.001,0.004,1.0,0.0,0.002,0.004
473,4.73,330,6.6,-0.094,-0.108,0.142,0.11,0.114,0.492,-0.131,-0.275,0.043,0.048,-0.038,-0.047,-0.077,0.052,-0.019,0.089,-0.094,-0.083,0.059,0.344,-0.011,0.001,0.002,1.028,0.002,-0.002,0.985,0.001,0.002,1.005,-0.002,0.002,0.892,0.001,0.0,0.942,-0.004,0.004,0.961,-0.002,-0.002,0.945,-0.064,-0.176,-1.188,-0.205,0.004,-0.195,0.022,-0.128,-0.178,-0.106,-0.222,-0.005,0.095,-0.092,-0.072,-0.117,-0.145,-0.216,-0.135,0.002,0.001,1.0,0.0,0.0,0.003,1.0,-0.001,-0.001,0.004,1.0,0.001,0.0,0.005,1.0,-0.001,-0.001,0.005,1.0,0.0,0.0,0.004,1.0,0.001,0.001,0.004,1.0,0.0,0.002,0.004
474,4.74,331,6.62,-0.038,-0.147,0.154,0.081,0.129,0.491,-0.116,-0.251,0.041,0.046,-0.033,-0.047,-0.018,0.081,-0.017,0.15,-0.075,-0.093,0.013,0.328,-0.009,-0.004,-0.004,1.03,0.004,0.002,0.986,0.001,-0.002,0.999,0.003,0.002,0.895,-0.002,0.002,0.946,-0.002,0.004,0.96,0.002,-0.004,0.952,-0.003,-0.176,-1.19,-0.255,-0.021,-0.071,0.082,-0.068,-0.195,-0.093,-0.087,0.001,0.041,-0.145,-0.031,-0.175,-0.136,-0.234,-0.029,-0.215,0.073,1.0,0.0,0.0,0.003,1.0,-0.001,-0.001,0.004,1.0,0.0,0.0,0.005,1.0,0.0,-0.001,0.005,1.0,0.0,0.0,0.004,1.0,0.001,0.001,0.004,1.0,-0.001,0.002,0.004
475,4.75,331,6.62,-0.037,-0.142,0.162,0.074,0.095,0.49,-0.09,-0.245,0.037,0.021,-0.028,-0.047,0.017,0.08,-0.016,0.146,-0.021,-0.101,0.015,0.258,-0.008,-0.002,-0.001,1.024,-0.001,-0.001,0.988,0.005,-0.001,1.003,-0.004,-0.003,0.893,0.001,0.001,0.95,0.002,0.0,0.958,0.003,0.0,0.952,0.187,-0.241,-0.986,-0.133,0.041,-0.069,0.076,-0.021,-0.266,-0.338,-0.224,-0.102,0.217,-0.085,-0.084,-0.292,-0.357,-0.166,-0.025,-0.294,0.038,1.0,0.0,0.001,0.003,1.0,-0.001,-0.001,0.004,1.0,0.0,-0.001,0.005,1.0,0.0,-0.001,0.005,1.0,0.0,0.0,0.004,1.0,0.001,0.001,0.004,1.0,-0.001,0.001,0.004
