molab_frame,molab_time,video_frame,video_time,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z
496,4.96,333,6.66,-0.036,0.252,-0.094,-0.4,0.183,0.214,0.894,0.762,0.081,-0.084,0.273,-0.058,-0.457,-0.008,0.024,-0.528,0.176,0.347,0.075,-0.145,-0.08,-0.003,0.002,1.004,0.003,0.004,0.976,-0.016,0.016,0.955,0.012,-0.008,0.961,0.001,-0.003,0.893,0.003,0.0,0.952,-0.003,-0.001,1.047,0.265,-0.08,0.168,-0.018,0.076,-0.048,-0.226,-0.484,0.25,0.346,0.111,0.038,0.05,0.316,-0.236,0.108,-0.341,0.205,-0.329,0.097,0.016,1.0,-0.001,0.002,0.004,1.0,0.003,-0.002,0.002,1.0,0.007,0.009,0.005,1.0,-0.002,-0.003,0.003,1.0,0.0,-0.002,0.002,1.0,-0.001,0.0,0.005,1.0,-0.001,0.0,0.002
497,4.97,333,6.66,-0.04,0.237,-0.094,-0.391,0.15,0.212,0.893,0.757,0.082,-0.115,0.305,-0.058,-0.466,-0.007,0.026,-0.553,0.142,0.349,0.057,-0.149,-0.082,-0.003,-0.003,1.006,0.002,0.006,0.974,-0.015,0.01,0.95,0.005,-0.005,0.967,-0.005,-0.006,0.884,0.0,-0.006,0.952,-0.004,-0.002,1.048,0.061,-0.059,0.068,-0.079,-0.039,-0.09,-0.057,-0.455,0.185,0.208,-0.13,0.065,-0.079,0.273,-0.232,0.01,-0.008,0.073,-0.152,0.185,0.055,1.0,-0.001,0.002,0.004,1.0,0.003,-0.001,0.002,1.0,0.007,0.009,0.005,1.0,-0.002,-0.003,0.003,1.0,-0.001,-0.001,0.002,1.0,-0.001,0.0,0.005,1.0,-0.001,0.0,0.002
498,4.98,334,6.68,-0.008,0.273,-0.095,-0.401,0.181,0.21,0.91,0.721,0.086,-0.128,0.301,-0.057,-0.508,-0.051,0.026,-0.566,0.139,0.352,0.025,-0.105,-0.086,-0.005,-0.007,1.003,0.005,0.008,0.977,-0.014,0.011,0.946,0.012,-0.009,0.961,0.001,-0.006,0.89,0.004,-0.003,0.953,0.004,-0.002,1.05,-0.095,-0.309,-0.076,-0.149,0.141,-0.213,0.086,-0.435,0.221,0.519,0.129,-0.018,0.192,0.495,-0.23,-0.178,0.035,0.069,-0.162,0.297,0.132,1.0,-0.001,0.002,0.004,1.0,0.004,-0.002,0.002,1.0,0.007,0.008,0.005,1.0,-0.002,-0.003,0.003,1.0,-0.001,-0.001,0.002,1.0,-0.001,0.0,0.005,1.0,-0.001,0.0,0.002
499,4.99,334,6.68,-0.044,0.259,-0.098,-0.418,0.21,0.21,0.891,0.732,0.091,-0.078,0.287,-0.055,-0.544,-0.109,0.025,-0.593,0.201,0.353,0.026,-0.047,-0.087,-0.005,-0.001,1.001,0.007,0.009,0.983,-0.017,0.013,0.957,0.006,-0.003,0.966,0.001,-0.002,0.889,-0.002,-0.004,0.947,0.003,-0.004,1.052,-0.246,-0.116,-0.247,-0.079,0.075,-0.045,-0.117,-0.337,0.253,-0.012,0.183,-0.052,0.05,0.08,0.0,0.004,0.048,0.05,-0.21,-0.006,0.085,1.0,-0.001,0.002,0.004,1.0,0.004,-0.002,0.002,1.0,0.007,0.009,0.005,1.0,-0.002,-0.003,0.003,1.0,-0.001,-0.001,0.002,1.0,-0.002,0.0,0.005,1.0,-0.001,0.0,0.002
500,5.0,335,6.7,-0.058,0.23,-0.104,-0.451,0.215,0.21,0.878,0.774,0.095,-0.046,0.264,-0.052,-0.564,-0.082,0.025,-0.66,0.203,0.356,0.071,-0.097,-0.089,0.004,-0.007,1.006,0.004,0.012,0.979,-0.018,0.008,0.944,0.001,-0.004,0.964,0.004,-0.001,0.893,0.0,-0.006,0.951,-0.004,-0.012,1.053,-0.143,-0.274,-0.342,-0.018,0.019,-0.07,-0.057,-0.455,0.185,-0.202,0.664,-0.155,0.104,-0.086,-0.056,0.085,-0.013,0.202,-0.155,-0.029,0.172,1.0,-0.001,0.002,0.004,1.0,0.004,-0.002,0.002,1.0,0.006,0.009,0.005,1.0,-0.002,-0.003,0.003,1.0,-0.001,-0.001,0.002,1.0,-0.002,0.0,0.005,1.0,-0.002,0.0,0.002
501,5.01,335,6.7,-0.114,0.266,-0.109,-0.487,0.209,0.21,0.882,0.767,0.102,-0.016,0.273,-0.053,-0.612,-0.109,0.026,-0.724,0.179,0.358,0.06,-0.098,-0.091,-0.008,0.003,1.001,0.003,0.013,0.979,-0.017,0.014,0.944,-0.001,0.002,0.961,-0.004,-0.004,0.896,0.002,-0.007,0.95,-0.004,-0.004,1.045,-0.081,-0.333,-0.333,0.107,0.056,0.003,-0.051,-0.464,0.367,0.371,0.058,0.1,-0.107,0.106,-0.163,0.1,-0.205,0.215,-0.143,-0.034,0.037,1.0,-0.001,0.002,0.004,1.0,0.004,-0.002,0.002,1.0,0.007,0.009,0.005,1.0,-0.002,-0.002,0.003,1.0,-0.001,-0.001,0.002,1.0,-0.002,0.0,0.005,1.0,-0.002,0.0,0.002
502,5.02,336,6.72,-0.093,0.31,-0.111,-0.452,0.217,0.209,0.918,0.716,0.108,0.043,0.238,-0.054,-0.559,-0.147,0.026,-0.703,0.154,0.359,0.106,-0.045,-0.092,-0.005,-0.005,1.007,0.007,-0.005,0.977,-0.011,0.013,0.958,0.003,0.001,0.965,-0.003,0.001,0.892,0.005,-0.006,0.952,0.003,-0.006,1.049,-0.115,-0.099,-0.213,-0.079,0.018,-0.068,-0.181,-0.569,0.326,0.071,-0.34,0.239,-0.127,0.178,0.004,0.133,-0.08,0.028,-0.28,0.104,0.157,1.0,-0.001,0.002,0.004,1.0,0.004,-0.002,0.002,1.0,0.007,0.008,0.005,1.0,-0.001,-0.002,0.003,1.0,-0.001,-0.001,0.002,1.0,-0.002,-0.001,0.005,1.0,-0.002,0.0,0.002
503,5.03,336,6.72,-0.094,0.309,-0.112,-0.417,0.211,0.208,0.934,0.685,0.109,-0.003,0.287,-0.054,-0.531,-0.175,0.023,-0.702,0.144,0.362,0.074,-0.027,-0.088,-0.004,-0.008,1.004,0.003,0.004,0.979,-0.014,0.012,0.95,0.01,-0.007,0.963,-0.003,-0.003,0.886,0.001,-0.009,0.956,-0.004,0.002,1.048,0.083,-0.018,0.181,-0.14,-0.096,-0.109,-0.035,-0.498,0.223,0.018,-0.296,-0.178,0.03,0.152,0.167,0.031,-0.074,0.232,-0.178,-0.182,-0.234,1.0,-0.002,0.002,0.004,1.0,0.004,-0.002,0.002,1.0,0.006,0.008,0.005,1.0,-0.002,-0.003,0.003,1.0,-0.001,0.0,0.002,1.0,-0.002,-0.001,0.005,1.0,-0.002,0.0,0.002
504,5.04,337,6.74,-0.119,0.298,-0.11,-0.383,0.204,0.208,0.961,0.739,0.107,0.042,0.338,-0.058,-0.523,-0.189,0.022,-0.694,0.114,0.364,0.07,-0.029,-0.084,0.001,-0.004,1.007,0.003,0.003,0.978,-0.018,0.015,0.958,0.011,0.001,0.968,-0.002,-0.005,0.886,0.004,-0.009,0.955,-0.004,-0.008,1.048,0.045,0.023,0.305,-0.076,-0.004,-0.011,-0.115,-0.286,0.113,0.14,-0.171,0.176,0.157,0.116,0.131,-0.101,-0.05,0.165,0.075,-0.287,-0.291,1.0,-0.002,0.002,0.004,1.0,0.003,-0.002,0.002,1.0,0.007,0.008,0.005,1.0,-0.001,-0.003,0.003,1.0,-0.001,0.0,0.002,1.0,-0.003,-0.001,0.005,1.0,-0.002,0.0,0.002
505,5.05,337,6.74,-0.067,0.318,-0.104,-0.408,0.182,0.207,0.992,0.713,0.101,0.101,0.375,-0.059,-0.582,-0.167,0.02,-0.7,0.063,0.364,0.067,-0.046,-0.082,-0.003,-0.007,1.005,0.003,0.007,0.976,-0.011,0.013,0.956,0.007,0.0,0.961,0.001,-0.007,0.886,0.004,-0.003,0.957,-0.002,-0.006,1.051,0.037,0.183,0.579,-0.076,-0.004,-0.011,-0.026,-0.045,-0.062,0.159,0.105,-0.011,0.16,0.196,0.163,-0.053,-0.116,-0.01,-0.073,-0.144,-0.035,1.0,-0.002,0.002,0.004,1.0,0.004,-0.002,0.002,1.0,0.007,0.008,0.005,1.0,-0.001,-0.003,0.003,1.0,-0.002,0.0,0.002,1.0,-0.003,-0.001,0.005,1.0,-0.002,0.0,0.002
