molab_frame,molab_time,video_frame,video_time,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z
466,4.66,304,6.08,0.292,-0.722,0.003,-0.064,-0.022,0.006,0.053,-0.102,0.037,-0.414,0.117,-0.021,-0.027,0.642,-0.036,-0.548,-0.186,-0.035,-0.524,0.318,0.006,0.011,0.003,0.947,-0.005,0.002,1.009,-0.002,-0.002,1.045,0.002,0.008,0.997,0.008,-0.005,0.963,-0.002,0.003,0.881,0.001,0.003,0.951,0.059,0.119,-0.018,0.193,-0.145,-0.204,0.085,0.038,0.196,-0.05,-0.015,0.106,0.128,0.291,0.139,-0.109,-0.104,-0.082,0.287,-0.572,0.262,1.0,0.002,-0.005,0.0,1.0,0.0,0.002,0.0,1.0,-0.002,0.001,0.0,1.0,0.004,-0.001,0.0,1.0,-0.002,-0.004,0.0,1.0,-0.001,0.001,0.0,1.0,-0.001,0.002,0.0
467,4.67,304,6.08,0.315,-0.657,0.004,-0.01,-0.032,0.003,0.038,-0.16,0.034,-0.446,0.116,-0.019,-0.039,0.632,-0.037,-0.569,-0.152,-0.03,-0.521,0.298,0.004,0.005,0.005,0.951,-0.001,-0.002,1.008,-0.006,-0.001,1.044,0.002,0.011,0.998,0.004,-0.002,0.962,0.001,-0.001,0.883,-0.001,0.003,0.952,-0.006,0.198,0.009,0.072,-0.063,-0.172,0.17,-0.133,-0.008,-0.298,-0.084,0.279,0.185,0.16,0.096,-0.122,-0.074,-0.228,0.3,-0.428,0.085,1.0,0.002,-0.004,0.0,1.0,-0.001,0.001,0.0,1.0,-0.001,0.002,0.0,1.0,0.004,-0.001,0.0,1.0,-0.002,-0.004,0.0,1.0,-0.001,0.0,0.0,1.0,-0.001,0.002,0.0
468,4.68,305,6.1,0.329,-0.61,0.006,0.056,-0.051,-0.001,0.047,-0.165,0.033,-0.445,0.083,-0.016,-0.043,0.688,-0.039,-0.538,-0.138,-0.025,-0.484,0.267,0.003,0.007,0.003,0.951,-0.001,-0.004,1.012,-0.008,0.0,1.045,0.0,0.008,0.995,0.01,-0.002,0.957,-0.004,0.003,0.889,-0.004,0.002,0.954,-0.013,0.043,-0.105,0.071,-0.225,-0.233,0.084,-0.269,-0.13,-0.725,-0.022,0.271,0.09,-0.047,0.083,0.319,-0.15,-0.231,0.24,-0.436,0.095,1.0,0.002,-0.004,0.0,1.0,-0.001,0.001,0.0,1.0,-0.001,0.002,0.0,1.0,0.004,-0.001,0.0,1.0,-0.002,-0.004,0.0,1.0,-0.001,0.0,0.0,1.0,0.0,0.002,0.0
469,4.69,305,6.1,0.316,-0.648,0.006,0.028,-0.071,-0.002,0.064,-0.184,0.035,-0.424,0.116,-0.015,-0.098,0.711,-0.042,-0.479,-0.173,-0.023,-0.46,0.332,0.002,0.009,0.005,0.945,-0.003,-0.001,1.007,-0.009,0.002,1.047,0.006,0.006,0.992,0.008,-0.005,0.96,-0.001,0.001,0.891,-0.007,-0.001,0.95,-0.077,0.242,-0.014,-0.109,-0.067,-0.034,-0.305,-0.339,-0.235,-1.088,-0.017,0.139,0.128,-0.104,0.135,0.342,-0.028,-0.004,0.277,-0.237,0.091,1.0,0.002,-0.004,0.0,1.0,-0.001,0.001,0.0,1.0,-0.001,0.002,0.0,1.0,0.004,-0.001,0.0,1.0,-0.002,-0.004,0.0,1.0,0.0,0.001,0.0,1.0,0.0,0.002,0.0
470,4.7,306,6.12,0.315,-0.644,0.009,0.002,-0.016,-0.005,0.052,-0.175,0.04,-0.441,0.092,-0.013,-0.059,0.664,-0.047,-0.514,-0.12,-0.023,-0.479,0.272,0.002,0.005,0.007,0.945,-0.007,0.004,1.006,-0.003,-0.002,1.047,-0.001,0.011,0.993,0.007,0.0,0.961,-0.001,-0.001,0.893,0.004,-0.002,0.95,-0.168,0.167,0.127,-0.234,-0.143,-0.199,-0.196,-0.318,-0.335,-0.783,0.044,0.15,-0.005,-0.132,0.131,0.293,-0.12,0.083,0.284,-0.219,0.148,1.0,0.002,-0.004,0.0,1.0,0.0,0.001,0.0,1.0,-0.001,0.002,0.0,1.0,0.004,-0.001,0.0,1.0,-0.002,-0.004,0.0,1.0,-0.001,0.0,0.0,1.0,0.0,0.002,0.0
471,4.71,306,6.12,0.318,-0.637,0.008,-0.028,-0.016,-0.006,0.043,-0.154,0.044,-0.413,0.066,-0.014,-0.057,0.666,-0.049,-0.464,-0.12,-0.026,-0.465,0.215,0.004,0.012,0.007,0.949,0.003,0.002,1.01,-0.004,0.001,1.047,-0.001,0.006,0.997,0.007,0.005,0.959,-0.003,0.001,0.889,0.0,-0.002,0.96,-0.202,0.315,0.025,-0.108,-0.128,0.128,-0.339,-0.198,-0.093,-0.534,-0.01,-0.029,-0.12,-0.113,0.093,0.2,-0.229,0.299,0.282,-0.142,0.189,1.0,0.003,-0.004,0.0,1.0,0.0,0.001,0.0,1.0,-0.001,0.002,0.0,1.0,0.004,-0.001,0.0,1.0,-0.001,-0.004,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.001,0.0
472,4.72,307,6.14,0.365,-0.608,0.003,-0.02,-0.013,-0.001,-0.01,-0.14,0.046,-0.378,0.048,-0.015,-0.06,0.656,-0.049,-0.452,-0.122,-0.031,-0.437,0.161,0.006,0.009,0.008,0.945,0.001,-0.001,1.018,-0.007,0.01,1.046,-0.001,0.003,0.995,0.006,0.0,0.957,-0.003,-0.003,0.898,0.004,-0.003,0.957,-0.066,0.192,0.02,-0.59,0.107,0.496,-0.245,-0.279,0.142,-0.594,-0.068,-0.094,-0.148,-0.245,0.113,0.283,-0.292,0.406,0.595,-0.314,0.073,1.0,0.003,-0.004,0.0,1.0,0.0,0.001,0.0,1.0,-0.001,0.002,0.0,1.0,0.003,0.0,0.0,1.0,-0.001,-0.004,0.0,1.0,-0.001,0.001,0.0,1.0,-0.001,0.001,0.0
473,4.73,307,6.14,0.368,-0.615,-0.012,-0.057,0.009,0.014,-0.057,-0.136,0.049,-0.344,0.07,-0.016,-0.098,0.699,-0.046,-0.444,-0.155,-0.038,-0.42,0.155,0.006,0.014,0.014,0.939,0.004,0.016,1.023,-0.016,0.044,1.048,0.002,0.004,0.99,0.013,-0.004,0.938,-0.003,-0.007,0.899,0.003,-0.005,0.954,-0.54,0.398,-0.068,-1.187,0.348,1.467,-1.199,-0.213,0.344,-0.655,-0.19,-0.101,-0.376,-0.48,0.095,0.616,-0.275,0.61,0.642,-0.42,-0.093,1.0,0.003,-0.005,0.0,1.0,0.0,0.001,0.0,1.0,0.0,0.002,0.0,1.0,0.003,-0.001,0.0,1.0,-0.001,-0.004,0.0,1.0,-0.001,0.001,0.0,1.0,-0.001,0.001,0.0
474,4.74,308,6.16,0.387,-0.592,-0.035,-0.076,0.028,0.042,-0.034,-0.155,0.048,-0.304,0.066,-0.016,-0.055,0.745,-0.038,-0.409,-0.134,-0.049,-0.388,0.128,0.003,0.003,0.034,0.937,0.002,0.019,1.076,-0.005,0.096,1.109,0.0,-0.001,0.991,0.021,0.007,0.903,-0.001,-0.003,0.922,0.001,-0.006,0.986,-0.539,1.336,0.091,-2.457,0.375,2.411,-6.384,0.154,1.06,-0.656,-0.07,-0.035,-0.545,-1.546,0.267,2.321,0.027,1.03,1.963,-0.31,-0.305,1.0,0.003,-0.004,0.0,1.0,0.0,0.001,0.0,1.0,-0.001,0.002,0.0,1.0,0.003,-0.001,0.0,1.0,-0.001,-0.005,0.0,1.0,-0.001,0.001,0.0,1.0,-0.001,0.001,0.0
475,4.75,308,6.16,0.38,-0.551,-0.054,-0.069,0.027,0.064,0.059,-0.15,0.026,-0.26,0.063,-0.015,-0.038,0.843,-0.048,-0.309,-0.15,-0.065,-0.327,0.114,-0.004,-0.007,0.061,0.96,0.008,0.033,1.121,0.044,0.129,1.274,-0.002,-0.012,0.991,0.037,0.099,0.966,-0.009,-0.02,1.007,0.002,-0.018,1.021,-2.842,1.949,-0.214,-2.165,-0.279,1.565,-6.908,2.606,3.835,-1.025,-0.38,0.064,-5.256,-7.467,4.903,8.796,0.589,1.667,5.106,-0.497,-0.666,1.0,0.003,-0.004,0.0,1.0,0.0,0.001,0.0,1.0,-0.001,0.002,0.0,1.0,0.002,-0.001,0.0,1.0,-0.001,-0.005,0.001,1.0,0.0,0.001,0.0,1.0,-0.001,0.0,0.0
476,4.76,309,6.18,0.286,-0.495,-0.06,-0.041,0.01,0.073,0.168,-0.157,0.007,-0.208,0.063,-0.012,-0.204,0.943,-0.048,-0.119,-0.17,-0.079,-0.225,0.113,-0.008,-0.045,0.032,0.956,0.007,0.031,1.115,-0.005,0.067,1.311,-0.004,-0.021,0.985,0.045,0.114,1.011,0.001,-0.056,1.085,-0.012,-0.036,1.043,-8.869,0.736,0.268,-1.261,-0.884,0.824,-0.552,2.703,3.786,-1.825,-0.575,0.34,-16.88,-6.336,4.08,17.222,2.192,1.858,8.225,-1.107,-0.047,1.0,0.003,-0.004,0.0,1.0,0.0,0.001,0.0,1.0,-0.001,0.002,0.001,1.0,0.002,-0.001,0.0,1.0,-0.002,-0.006,0.001,1.0,0.001,0.001,0.001,1.0,0.0,0.0,0.0
