molab_frame,molab_time,video_frame,video_time,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z
670,6.7,404,8.08,-90.18,-5.827,1.182,-100.469,-11.071,11.132,-3.912,-0.087,-5.044,-89.553,6.329,11.257,-98.435,-4.825,-6.648,-2.922,-0.47,-5.046,-0.565,0.675,-0.677,0.023,-1.043,-0.082,0.043,0.19,0.981,0.025,0.126,0.942,-0.193,-0.978,0.013,-0.033,0.157,1.02,-0.024,0.104,0.955,0.007,0.027,0.996,5.202,-3.596,1.47,-0.084,-2.688,-3.292,0.495,2.594,-0.125,11.267,0.576,0.516,2.125,-0.716,0.795,0.228,-3.36,0.622,-5.541,0.166,-1.524,0.708,-0.704,0.029,-0.051,0.995,0.097,-0.019,0.019,0.997,0.064,-0.017,-0.026,0.713,-0.692,0.108,0.023,0.997,0.08,0.017,0.006,0.997,0.055,0.019,0.05,1.0,0.005,-0.006,-0.006
671,6.71,404,8.08,-90.135,-5.804,1.183,-100.395,-11.071,11.104,-3.897,-0.044,-5.008,-89.457,6.342,11.25,-98.431,-4.785,-6.666,-2.944,-0.443,-5.028,-0.546,0.668,-0.691,0.033,-1.04,-0.078,0.027,0.198,0.996,0.021,0.123,0.928,-0.187,-0.983,0.016,-0.028,0.164,1.024,-0.025,0.105,0.948,0.011,0.024,1.0,5.018,-0.796,0.793,-0.109,-2.817,-3.433,0.473,1.981,0.057,10.207,0.689,-0.119,2.301,-0.059,2.261,0.036,-2.927,0.477,-5.345,0.393,-1.333,0.708,-0.704,0.029,-0.051,0.995,0.097,-0.018,0.018,0.997,0.064,-0.017,-0.026,0.714,-0.692,0.108,0.023,0.997,0.08,0.017,0.006,0.997,0.055,0.018,0.05,1.0,0.005,-0.006,-0.006
672,6.72,405,8.1,-90.075,-5.787,1.22,-100.324,-11.036,11.099,-3.903,-0.009,-4.989,-89.367,6.366,11.189,-98.409,-4.76,-6.692,-2.961,-0.413,-5.003,-0.521,0.635,-0.703,0.051,-1.04,-0.073,0.031,0.193,0.99,0.022,0.118,0.94,-0.182,-0.988,0.007,-0.028,0.161,1.015,-0.015,0.1,0.951,0.009,0.012,1.005,5.579,-0.477,0.438,-0.072,-2.301,-1.644,0.189,1.609,0.037,8.992,1.861,-1.377,2.372,0.351,2.814,-0.177,-2.486,0.228,-4.659,0.568,-1.096,0.708,-0.703,0.029,-0.051,0.995,0.097,-0.018,0.018,0.997,0.064,-0.016,-0.026,0.714,-0.691,0.108,0.023,0.997,0.08,0.017,0.006,0.997,0.055,0.018,0.05,1.0,0.005,-0.006,-0.006
673,6.73,405,8.1,-90.034,-5.758,1.24,-100.284,-10.994,11.111,-3.91,0.02,-4.988,-89.311,6.385,11.145,-98.367,-4.754,-6.709,-2.962,-0.367,-4.974,-0.518,0.622,-0.712,0.061,-1.038,-0.062,0.033,0.196,0.976,0.023,0.122,0.935,-0.18,-0.979,-0.006,-0.03,0.155,1.006,-0.024,0.106,0.957,0.008,0.022,1.006,6.043,-1.797,0.562,-0.086,-1.815,0.232,0.494,0.681,0.137,7.966,1.396,-2.067,2.438,0.598,3.449,-0.153,-2.144,0.321,-3.671,0.547,-0.897,0.709,-0.703,0.029,-0.051,0.995,0.097,-0.018,0.018,0.997,0.064,-0.016,-0.026,0.715,-0.691,0.108,0.022,0.997,0.08,0.017,0.006,0.997,0.055,0.017,0.05,1.0,0.005,-0.005,-0.006
674,6.74,406,8.12,-90.001,-5.719,1.247,-100.264,-10.979,11.14,-3.925,0.001,-4.999,-89.261,6.395,11.126,-98.336,-4.741,-6.717,-2.964,-0.337,-4.944,-0.521,0.628,-0.721,0.075,-1.036,-0.053,0.039,0.195,0.964,0.03,0.123,0.938,-0.187,-0.973,0.004,-0.027,0.157,1.012,-0.021,0.104,0.95,0.014,0.017,0.998,5.962,-2.875,0.598,-0.189,-1.287,1.904,0.694,0.134,0.219,7.932,0.384,-2.4,2.611,0.464,3.6,0.577,-1.703,0.389,-2.934,0.624,-0.83,0.709,-0.703,0.028,-0.051,0.995,0.098,-0.018,0.018,0.997,0.064,-0.016,-0.026,0.715,-0.69,0.108,0.022,0.997,0.08,0.016,0.007,0.997,0.055,0.017,0.05,1.0,0.005,-0.005,-0.006
675,6.75,406,8.12,-89.952,-5.684,1.231,-100.245,-11.002,11.181,-3.91,0.009,-5.024,-89.196,6.403,11.156,-98.314,-4.72,-6.715,-2.97,-0.383,-4.915,-0.502,0.657,-0.726,0.078,-1.042,-0.052,0.046,0.206,0.968,0.029,0.126,0.936,-0.207,-0.979,0.016,-0.027,0.16,1.015,-0.033,0.106,0.949,0.024,0.009,0.994,5.536,-2.868,0.59,-0.377,-0.867,3.03,1.089,-0.138,0.431,6.082,-0.024,-2.512,2.822,-0.161,2.632,0.443,-1.723,0.378,-1.943,0.497,-0.546,0.709,-0.703,0.028,-0.051,0.995,0.098,-0.019,0.018,0.997,0.065,-0.016,-0.026,0.715,-0.69,0.108,0.022,0.997,0.08,0.016,0.007,0.997,0.055,0.017,0.05,1.0,0.004,-0.006,-0.006
676,6.76,407,8.14,-89.899,-5.658,1.219,-100.212,-11.04,11.217,-3.883,0.04,-5.047,-89.11,6.414,11.187,-98.343,-4.698,-6.702,-3.04,-0.394,-4.903,-0.47,0.684,-0.729,0.078,-1.034,-0.048,0.051,0.207,0.98,0.027,0.128,0.942,-0.225,-0.997,0.032,-0.024,0.17,1.015,-0.025,0.099,0.951,0.024,0.002,0.985,4.638,-2.158,0.342,-0.778,-1.124,2.467,1.171,-0.39,0.41,5.226,0.206,-2.289,2.96,-0.868,1.083,0.819,-1.562,0.208,-1.443,0.303,-0.284,0.709,-0.703,0.028,-0.051,0.995,0.098,-0.019,0.019,0.997,0.065,-0.016,-0.026,0.716,-0.69,0.108,0.022,0.997,0.081,0.016,0.007,0.997,0.055,0.017,0.05,1.0,0.004,-0.006,-0.006
677,6.77,407,8.14,-89.86,-5.647,1.207,-100.172,-11.074,11.233,-3.922,0.064,-5.057,-89.021,6.421,11.231,-98.336,-4.683,-6.687,-3.061,-0.429,-4.902,-0.442,0.714,-0.727,0.076,-1.03,-0.048,0.044,0.212,0.981,0.025,0.119,0.935,-0.23,-0.999,0.026,-0.029,0.161,1.007,-0.027,0.105,0.954,0.022,0.005,0.989,3.688,-1.216,-0.177,-1.151,-1.288,1.657,1.245,-1.169,0.656,6.401,-0.911,-1.357,3.063,-1.194,-0.113,1.027,-1.418,0.105,-1.602,0.155,0.194,0.709,-0.702,0.028,-0.051,0.995,0.098,-0.019,0.019,0.997,0.065,-0.016,-0.026,0.716,-0.689,0.108,0.022,0.997,0.081,0.016,0.007,0.997,0.055,0.017,0.05,1.0,0.004,-0.006,-0.006
678,6.78,408,8.16,-89.813,-5.651,1.201,-100.117,-11.111,11.242,-3.904,0.082,-5.063,-88.909,6.426,11.283,-98.394,-4.687,-6.676,-3.139,-0.423,-4.908,-0.4,0.743,-0.725,0.068,-1.029,-0.049,0.038,0.211,0.976,0.022,0.128,0.934,-0.222,-0.992,0.024,-0.027,0.174,1.002,-0.024,0.101,0.951,0.02,0.004,0.99,3.055,0.223,-0.921,-1.564,-1.532,1.429,1.104,-1.229,0.824,7.482,-1.375,-0.329,2.995,-1.495,-0.721,1.255,-1.362,-0.08,-2.519,0.093,0.195,0.709,-0.702,0.028,-0.051,0.995,0.098,-0.019,0.019,0.997,0.065,-0.016,-0.026,0.716,-0.689,0.108,0.022,0.997,0.081,0.015,0.007,0.997,0.055,0.016,0.05,1.0,0.004,-0.006,-0.006
679,6.79,408,8.16,-89.752,-5.672,1.2,-100.053,-11.157,11.258,-3.933,0.094,-5.079,-88.771,6.427,11.336,-98.45,-4.686,-6.675,-3.205,-0.416,-4.921,-0.34,0.765,-0.722,0.054,-1.03,-0.044,0.039,0.212,0.969,0.023,0.119,0.944,-0.205,-0.978,0.026,-0.024,0.178,1.009,-0.024,0.104,0.953,0.021,-0.003,0.994,2.785,1.848,-1.272,-1.868,-1.275,2.646,1.23,-2.046,1.012,8.025,-1.938,0.387,2.685,-1.744,-1.376,1.425,-1.566,-0.093,-3.249,-0.197,0.297,0.709,-0.702,0.028,-0.051,0.995,0.099,-0.019,0.019,0.997,0.065,-0.016,-0.026,0.717,-0.688,0.108,0.023,0.997,0.082,0.015,0.007,0.997,0.054,0.016,0.05,1.0,0.003,-0.007,-0.006
