molab_frame,molab_time,video_frame,video_time,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z
708,7.08,460,9.2,-96.229,7.898,-6.488,-7.933,-0.907,-0.501,-96.011,0.966,-2.381,-99.685,-9.692,-3.764,1.077,-1.219,-3.029,0.135,-4.865,-3.369,-99.452,-5.532,-0.761,0.068,0.065,1.026,-0.021,0.14,1.007,-0.026,0.085,1.0,-0.085,-1.053,-0.087,-0.01,0.094,0.936,-0.021,0.067,0.96,-0.021,-1.022,-0.05,1.902,-0.759,-0.831,0.146,0.35,-0.884,0.713,-0.817,-1.293,-0.787,0.539,0.016,0.649,0.119,-0.273,0.394,-1.235,-0.036,-1.314,4.016,-0.952,0.998,0.033,-0.035,-0.036,0.998,0.069,0.008,-0.004,0.999,0.039,0.014,0.025,0.694,-0.713,0.09,-0.034,0.999,0.049,0.005,-0.002,0.999,0.036,0.006,-0.005,0.697,-0.715,-0.03,0.034
709,7.09,460,9.2,-96.268,7.873,-6.502,-7.963,-0.891,-0.508,-96.072,0.938,-2.358,-99.746,-9.702,-3.788,1.045,-1.161,-3.026,0.103,-4.852,-3.376,-99.506,-5.511,-0.741,0.063,0.068,1.022,-0.015,0.143,1.004,-0.025,0.082,1.002,-0.091,-1.047,-0.084,-0.012,0.091,0.937,-0.015,0.066,0.954,-0.021,-1.026,-0.045,2.091,-0.744,-0.644,0.207,0.267,-0.909,0.685,-0.551,-0.863,-0.206,1.849,-0.096,0.606,0.221,-0.039,0.31,-1.359,-0.029,-0.439,2.999,-0.866,0.998,0.033,-0.035,-0.036,0.998,0.069,0.008,-0.004,0.999,0.039,0.014,0.025,0.694,-0.713,0.091,-0.034,0.999,0.049,0.005,-0.002,0.999,0.035,0.006,-0.005,0.697,-0.715,-0.03,0.034
710,7.1,461,9.22,-96.291,7.845,-6.524,-7.987,-0.918,-0.522,-96.125,0.944,-2.356,-99.785,-9.717,-3.76,1.043,-1.201,-3.017,0.087,-4.843,-3.378,-99.55,-5.511,-0.763,0.065,0.067,1.024,-0.017,0.14,1.001,-0.032,0.089,0.995,-0.081,-1.046,-0.09,-0.008,0.094,0.941,-0.017,0.065,0.954,-0.023,-1.026,-0.054,2.166,-0.633,-0.23,0.025,0.209,-1.016,0.651,-0.496,-0.493,0.57,2.309,-0.193,0.805,-0.037,0.0,0.475,-1.592,-0.047,0.51,0.798,-0.44,0.998,0.033,-0.035,-0.036,0.998,0.07,0.008,-0.004,0.999,0.04,0.014,0.024,0.694,-0.713,0.091,-0.034,0.999,0.049,0.005,-0.002,0.999,0.035,0.006,-0.005,0.697,-0.715,-0.03,0.034
711,7.11,461,9.22,-96.361,7.831,-6.55,-7.975,-0.885,-0.527,-96.112,0.936,-2.37,-99.794,-9.722,-3.792,1.063,-1.233,-3.015,0.02,-4.792,-3.378,-99.549,-5.538,-0.723,0.068,0.078,1.02,-0.015,0.14,1.0,-0.027,0.073,1.0,-0.08,-1.047,-0.082,-0.007,0.091,0.942,-0.008,0.065,0.954,-0.019,-1.024,-0.056,2.067,-0.289,0.423,-0.341,-0.01,-1.037,0.695,-0.31,0.086,1.092,1.501,-0.218,1.103,-0.099,-0.124,0.515,-1.894,-0.111,0.96,-1.538,-0.082,0.998,0.033,-0.035,-0.036,0.998,0.07,0.008,-0.004,0.999,0.04,0.014,0.024,0.694,-0.713,0.091,-0.034,0.999,0.049,0.005,-0.002,0.999,0.035,0.006,-0.005,0.697,-0.716,-0.03,0.034
712,7.12,462,9.24,-96.406,7.86,-6.562,-7.988,-0.855,-0.531,-96.091,0.905,-2.392,-99.835,-9.718,-3.82,1.111,-1.248,-3.019,-0.021,-4.829,-3.372,-99.562,-5.576,-0.681,0.075,0.071,1.021,-0.01,0.143,0.999,-0.024,0.076,1.0,-0.074,-1.049,-0.083,-0.007,0.093,0.937,-0.014,0.063,0.956,-0.017,-1.022,-0.045,1.996,-0.296,0.096,-0.28,0.023,-0.847,0.847,-0.18,0.483,0.296,0.439,-0.117,1.215,0.04,-0.164,0.558,-1.839,-0.228,2.081,-2.887,0.016,0.998,0.034,-0.035,-0.036,0.998,0.07,0.008,-0.004,0.999,0.039,0.014,0.025,0.694,-0.713,0.091,-0.034,0.999,0.049,0.005,-0.002,0.999,0.035,0.006,-0.005,0.697,-0.716,-0.03,0.034
713,7.13,462,9.24,-96.461,7.894,-6.566,-7.966,-0.829,-0.535,-96.08,0.873,-2.419,-99.843,-9.709,-3.848,1.102,-1.231,-3.027,-0.006,-4.838,-3.369,-99.538,-5.617,-0.656,0.077,0.072,1.022,-0.01,0.135,0.996,-0.02,0.075,1.004,-0.079,-1.053,-0.078,-0.007,0.088,0.944,-0.009,0.073,0.965,-0.004,-1.013,-0.059,2.168,-0.361,-0.213,-0.159,0.11,-0.686,0.969,-0.182,0.474,-0.129,-0.149,0.024,1.276,0.043,-0.17,0.533,-1.847,-0.146,2.396,-3.407,0.214,0.998,0.034,-0.036,-0.036,0.998,0.069,0.008,-0.004,0.999,0.039,0.014,0.025,0.694,-0.714,0.091,-0.034,0.999,0.049,0.004,-0.002,0.999,0.035,0.005,-0.005,0.697,-0.716,-0.03,0.034
714,7.14,463,9.26,-96.537,7.895,-6.578,-7.978,-0.799,-0.532,-96.084,0.848,-2.45,-99.881,-9.71,-3.88,1.118,-1.231,-3.027,-0.069,-4.859,-3.366,-99.557,-5.651,-0.639,0.071,0.075,1.024,-0.004,0.146,0.997,-0.021,0.077,1.004,-0.077,-1.045,-0.077,-0.006,0.093,0.942,-0.013,0.066,0.952,0.009,-1.007,-0.048,2.056,-0.241,0.071,-0.281,0.044,-0.166,1.237,-0.276,-0.03,0.479,0.292,0.113,1.391,0.22,-0.162,0.599,-1.893,-0.176,1.327,-3.206,0.381,0.998,0.034,-0.036,-0.036,0.998,0.07,0.007,-0.004,0.999,0.039,0.013,0.025,0.694,-0.714,0.091,-0.034,0.999,0.049,0.004,-0.002,0.999,0.035,0.006,-0.005,0.697,-0.716,-0.031,0.034
715,7.15,463,9.26,-96.597,7.855,-6.592,-7.979,-0.766,-0.526,-96.125,0.822,-2.481,-99.904,-9.711,-3.911,1.086,-1.218,-3.024,-0.09,-4.842,-3.353,-99.57,-5.677,-0.623,0.068,0.076,1.022,-0.003,0.142,1.002,-0.02,0.081,1.003,-0.07,-1.053,-0.08,-0.007,0.092,0.94,-0.013,0.069,0.959,0.012,-1.007,-0.051,2.336,0.325,1.08,-0.403,0.052,0.107,1.504,-0.621,-0.517,0.849,0.007,-0.04,1.385,0.391,-0.143,0.541,-1.885,-0.193,0.677,-2.736,0.058,0.998,0.035,-0.036,-0.036,0.998,0.07,0.007,-0.004,0.999,0.039,0.013,0.025,0.694,-0.714,0.091,-0.035,0.999,0.049,0.004,-0.002,0.999,0.036,0.006,-0.006,0.697,-0.716,-0.031,0.034
716,7.16,464,9.28,-96.656,7.863,-6.603,-7.996,-0.739,-0.517,-96.198,0.826,-2.502,-99.934,-9.708,-3.94,1.064,-1.178,-3.021,-0.116,-4.866,-3.337,-99.605,-5.685,-0.611,0.075,0.082,1.024,-0.004,0.147,0.998,-0.024,0.083,1.003,-0.081,-1.056,-0.072,-0.011,0.094,0.936,-0.012,0.068,0.95,0.009,-1.019,-0.057,1.789,0.352,1.154,-0.282,0.148,0.54,1.737,-0.545,-0.688,1.477,-0.872,-0.016,1.327,0.426,-0.089,0.515,-2.017,-0.169,0.207,-1.36,-0.22,0.998,0.035,-0.036,-0.036,0.998,0.07,0.007,-0.004,0.999,0.04,0.013,0.024,0.693,-0.714,0.091,-0.034,0.999,0.049,0.004,-0.002,0.999,0.036,0.006,-0.006,0.697,-0.716,-0.031,0.034
717,7.17,464,9.28,-96.695,7.89,-6.607,-8.016,-0.713,-0.505,-96.253,0.806,-2.51,-99.959,-9.7,-3.975,1.053,-1.105,-3.025,-0.114,-4.859,-3.322,-99.65,-5.682,-0.604,0.076,0.078,1.022,0.002,0.153,1.001,-0.018,0.083,1.002,-0.086,-1.049,-0.064,-0.015,0.095,0.94,-0.01,0.071,0.958,0.005,-1.018,-0.046,1.73,0.376,1.212,-0.038,0.045,0.735,1.941,-0.396,-0.43,2.351,-1.622,0.12,0.828,0.461,-0.166,0.565,-1.863,-0.047,-0.425,-0.46,-0.435,0.998,0.035,-0.036,-0.036,0.998,0.07,0.007,-0.004,0.999,0.04,0.013,0.024,0.693,-0.714,0.091,-0.034,0.999,0.05,0.005,-0.003,0.999,0.036,0.005,-0.006,0.697,-0.716,-0.031,0.034
