molab_frame,molab_time,video_frame,video_time,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z
848,8.48,529,10.58,-91.02,-4.251,-3.454,22.017,-0.996,0.908,8.699,2.961,-2.772,6.084,-2.131,-4.836,-66.309,-7.709,3.151,-63.485,-2.243,-1.342,-95.408,-1.423,-4.44,0.081,0.104,0.99,-0.021,-0.38,0.936,0.011,0.241,0.917,-0.004,0.213,0.929,0.028,-1.042,0.028,0.018,-1.001,0.083,0.013,0.129,1.027,-1.174,0.258,-1.402,1.655,0.267,1.004,-0.53,0.191,-0.237,-0.46,-0.376,0.179,-0.983,-1.46,0.541,0.514,1.819,-2.389,-0.225,-0.095,1.323,0.998,0.051,-0.037,-0.009,0.982,-0.191,0.01,0.006,0.992,0.127,-0.009,-0.027,0.993,0.113,0.004,0.021,0.714,-0.697,0.034,-0.056,0.734,-0.678,-0.017,0.015,0.998,0.06,-0.008,-0.023
849,8.49,529,10.58,-91.009,-4.215,-3.456,22.023,-0.978,0.913,8.646,2.984,-2.755,6.045,-2.08,-4.834,-66.28,-7.709,3.127,-63.455,-2.21,-1.384,-95.409,-1.422,-4.442,0.081,0.114,0.992,-0.019,-0.383,0.934,0.01,0.234,0.917,-0.001,0.216,0.938,0.024,-1.041,0.044,0.024,-1.003,0.088,0.012,0.129,1.025,-1.562,0.056,-2.261,2.095,-0.057,1.282,-0.671,0.185,-0.513,-0.388,-0.484,0.138,0.228,-1.121,0.434,1.146,2.343,-2.703,-0.413,-0.118,1.394,0.998,0.051,-0.037,-0.009,0.982,-0.191,0.01,0.006,0.992,0.126,-0.009,-0.027,0.993,0.113,0.004,0.021,0.714,-0.697,0.034,-0.056,0.735,-0.678,-0.017,0.015,0.998,0.06,-0.008,-0.023
850,8.5,530,10.6,-90.989,-4.167,-3.459,22.033,-0.976,0.927,8.59,2.988,-2.726,5.995,-2.083,-4.824,-66.231,-7.706,3.103,-63.407,-2.172,-1.439,-95.391,-1.402,-4.442,0.072,0.107,0.988,-0.022,-0.383,0.939,0.011,0.234,0.919,-0.007,0.209,0.931,0.017,-1.041,0.038,0.011,-1.005,0.087,0.012,0.128,1.024,-1.885,-0.272,-2.665,2.22,-0.349,1.386,-0.718,0.277,-0.424,-0.184,-0.366,0.455,2.063,-1.536,0.986,1.683,2.737,-3.284,-0.836,-0.396,1.389,0.998,0.051,-0.037,-0.01,0.982,-0.191,0.01,0.006,0.992,0.126,-0.009,-0.027,0.993,0.113,0.004,0.021,0.715,-0.697,0.034,-0.055,0.735,-0.678,-0.017,0.014,0.998,0.06,-0.008,-0.023
851,8.51,530,10.6,-90.962,-4.121,-3.455,22.038,-0.958,0.936,8.586,2.952,-2.693,6.004,-2.066,-4.821,-66.207,-7.698,3.045,-63.362,-2.124,-1.458,-95.391,-1.363,-4.431,0.069,0.11,0.989,-0.021,-0.382,0.94,0.014,0.24,0.919,-0.002,0.223,0.935,0.018,-1.042,0.026,0.005,-1.003,0.093,0.011,0.131,1.03,-2.163,-0.018,-2.53,2.467,-0.642,1.483,-0.718,0.277,-0.424,-0.363,-0.422,0.381,2.912,-2.363,1.443,1.469,3.221,-3.474,-0.991,-0.487,1.002,0.998,0.051,-0.037,-0.01,0.982,-0.191,0.01,0.006,0.992,0.126,-0.009,-0.027,0.993,0.113,0.004,0.021,0.715,-0.696,0.034,-0.055,0.735,-0.678,-0.017,0.014,0.998,0.06,-0.008,-0.023
852,8.52,531,10.62,-90.945,-4.106,-3.452,22.044,-0.962,0.955,8.568,2.98,-2.676,6.035,-2.063,-4.819,-66.155,-7.685,3.023,-63.329,-2.081,-1.47,-95.326,-1.344,-4.414,0.066,0.117,0.989,-0.023,-0.382,0.936,0.004,0.235,0.914,-0.006,0.22,0.939,0.016,-1.039,0.038,-0.009,-1.006,0.09,0.011,0.125,1.035,-2.488,0.153,-2.28,2.467,-0.642,1.483,-0.659,0.464,-0.378,-0.644,-0.483,0.501,2.882,-2.673,1.653,1.272,2.64,-2.853,-1.154,-0.889,0.806,0.998,0.051,-0.037,-0.01,0.981,-0.191,0.01,0.007,0.992,0.126,-0.008,-0.027,0.993,0.113,0.004,0.021,0.715,-0.696,0.034,-0.055,0.735,-0.677,-0.017,0.014,0.998,0.06,-0.008,-0.023
853,8.53,531,10.62,-90.903,-4.064,-3.443,21.999,-0.927,0.957,8.576,2.919,-2.651,6.087,-2.054,-4.819,-66.154,-7.686,2.976,-63.331,-2.038,-1.446,-95.246,-1.338,-4.406,0.067,0.106,0.993,-0.019,-0.378,0.939,0.013,0.239,0.921,-0.004,0.218,0.938,0.025,-1.045,0.037,-0.012,-1.007,0.101,0.008,0.123,1.036,-2.556,0.56,-1.233,2.829,-0.775,1.424,-0.574,0.166,-0.401,-0.625,-0.582,0.432,2.55,-1.484,1.379,2.058,2.415,-2.784,-1.259,-1.019,0.591,0.998,0.051,-0.036,-0.01,0.982,-0.191,0.01,0.007,0.992,0.126,-0.009,-0.027,0.993,0.113,0.004,0.021,0.715,-0.696,0.034,-0.054,0.736,-0.677,-0.017,0.013,0.998,0.06,-0.008,-0.023
854,8.54,532,10.64,-90.86,-4.034,-3.435,21.999,-0.92,0.969,8.584,2.93,-2.644,6.079,-2.036,-4.819,-66.123,-7.684,2.997,-63.282,-2.003,-1.451,-95.182,-1.373,-4.396,0.061,0.122,0.991,-0.021,-0.383,0.941,0.004,0.241,0.921,-0.004,0.216,0.937,0.037,-1.046,0.034,-0.016,-1.008,0.104,0.004,0.119,1.032,-2.76,0.726,-1.002,3.255,-0.479,1.349,-0.652,0.314,-0.177,-0.941,-0.732,0.456,2.047,-1.298,1.211,2.981,1.989,-2.776,-1.277,-0.755,0.785,0.998,0.051,-0.036,-0.01,0.982,-0.191,0.009,0.007,0.992,0.126,-0.008,-0.027,0.993,0.113,0.004,0.021,0.716,-0.696,0.034,-0.054,0.736,-0.677,-0.017,0.013,0.998,0.06,-0.008,-0.023
855,8.55,532,10.64,-90.801,-3.992,-3.43,21.955,-0.888,0.969,8.585,2.923,-2.64,6.145,-2.041,-4.807,-66.16,-7.676,2.984,-63.276,-1.979,-1.418,-95.124,-1.39,-4.386,0.064,0.106,0.995,-0.019,-0.38,0.943,0.005,0.238,0.926,-0.005,0.218,0.935,0.038,-1.048,0.029,-0.017,-1.015,0.099,0.01,0.116,1.034,-2.969,1.144,-0.07,3.681,-0.182,1.275,-0.469,0.179,-0.025,-0.779,-0.681,0.427,1.978,-2.079,1.57,3.177,0.833,-2.418,-1.378,-0.572,1.311,0.998,0.051,-0.036,-0.01,0.982,-0.19,0.009,0.007,0.992,0.126,-0.008,-0.027,0.993,0.113,0.004,0.021,0.716,-0.696,0.034,-0.054,0.736,-0.677,-0.017,0.013,0.998,0.059,-0.007,-0.023
856,8.56,533,10.66,-90.748,-3.961,-3.414,21.89,-0.872,0.975,8.572,2.902,-2.648,6.153,-2.038,-4.801,-66.235,-7.656,2.968,-63.297,-1.958,-1.39,-95.097,-1.353,-4.367,0.057,0.109,0.995,-0.02,-0.38,0.945,0.003,0.231,0.915,-0.002,0.214,0.935,0.037,-1.045,0.019,-0.018,-1.017,0.092,0.023,0.112,1.037,-2.753,1.476,1.234,3.874,0.207,1.384,-0.242,-0.031,-0.19,-0.518,-0.783,0.426,1.522,-3.184,1.75,3.514,0.579,-1.741,-1.172,-0.626,1.001,0.998,0.051,-0.035,-0.01,0.982,-0.19,0.009,0.007,0.992,0.126,-0.008,-0.027,0.993,0.113,0.004,0.021,0.716,-0.696,0.034,-0.054,0.736,-0.676,-0.017,0.013,0.998,0.059,-0.008,-0.023
857,8.57,533,10.66,-90.658,-3.94,-3.395,21.862,-0.912,1.001,8.656,2.875,-2.668,6.156,-2.044,-4.798,-66.277,-7.637,3.012,-63.29,-1.951,-1.413,-95.074,-1.329,-4.346,0.066,0.097,0.997,-0.022,-0.38,0.945,0.008,0.239,0.926,-0.003,0.21,0.938,0.035,-1.04,0.02,-0.008,-1.011,0.085,0.016,0.113,1.038,-2.847,2.055,2.071,3.884,0.839,1.462,-0.224,-0.084,0.083,-0.797,-0.765,0.435,0.442,-2.735,1.232,3.938,-0.124,-1.21,-1.073,-0.86,0.507,0.998,0.05,-0.035,-0.01,0.982,-0.19,0.009,0.007,0.992,0.126,-0.008,-0.027,0.993,0.113,0.004,0.021,0.715,-0.696,0.034,-0.054,0.737,-0.676,-0.017,0.013,0.998,0.059,-0.008,-0.023
