molab_frame,molab_time,video_frame,video_time,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z
606,6.06,378,7.56,-4.602,10.441,2.589,-30.761,9.562,6.428,-84.407,-17.386,7.197,-6.916,8.588,7.056,-84.193,-5.641,-10.238,44.64,2.397,0.86,-30.737,-10.225,-3.099,-0.025,0.044,0.933,-0.256,-1.119,0.493,0.431,0.556,0.851,-0.026,0.022,1.032,-0.016,0.794,0.821,0.043,-1.134,0.109,-0.119,-1.129,0.844,4.809,4.765,0.498,8.864,41.159,4.398,-19.048,8.674,10.82,7.142,7.813,-3.671,-37.526,-18.48,-40.538,-39.541,-5.319,-6.926,46.396,-51.672,0.802,0.999,0.028,-0.003,0.02,0.791,-0.607,0.08,0.003,0.993,0.067,-0.094,-0.001,0.999,0.031,0.001,-0.029,0.993,0.089,0.076,0.03,0.925,-0.38,-0.017,0.015,0.791,-0.608,0.067,-0.023
607,6.07,378,7.56,-4.294,10.337,2.609,-29.91,9.797,6.668,-83.828,-17.502,7.253,-6.3,8.311,6.518,-82.985,-5.447,-9.392,45.229,2.472,0.75,-29.345,-9.929,-2.976,0.004,-0.003,0.988,-0.298,-1.067,0.413,0.281,0.559,0.812,-0.05,-0.01,1.037,-0.092,0.724,0.808,0.056,-1.12,0.176,0.204,-1.228,0.704,4.057,1.45,1.073,27.994,18.393,15.708,-33.752,12.894,-1.499,5.198,8.591,-4.138,-52.971,-23.876,-55.042,-56.011,-6.519,-8.406,77.12,-34.842,-7.224,0.999,0.028,-0.003,0.021,0.792,-0.604,0.083,0.003,0.994,0.065,-0.093,-0.001,0.999,0.031,0.002,-0.029,0.993,0.084,0.074,0.026,0.923,-0.385,-0.017,0.014,0.795,-0.603,0.064,-0.022
608,6.08,379,7.58,-3.865,10.193,2.63,-28.714,9.9,6.919,-82.887,-17.619,7.109,-5.492,8.098,6.012,-81.316,-5.208,-8.712,45.945,2.532,0.631,-27.572,-9.745,-2.807,-0.018,0.039,0.94,-0.331,-0.969,0.426,0.124,0.518,0.836,0.051,0.084,1.018,-0.018,0.664,0.795,0.035,-1.108,0.305,0.349,-1.137,0.695,4.127,-0.165,1.269,48.108,3.977,21.198,-44.053,16.92,-1.903,2.961,4.981,-4.462,-72.14,-24.754,-51.919,-68.704,-4.997,-8.758,103.032,-23.346,-6.87,0.999,0.028,-0.003,0.021,0.795,-0.601,0.084,0.004,0.994,0.061,-0.091,-0.002,0.999,0.032,0.002,-0.03,0.994,0.078,0.072,0.022,0.92,-0.39,-0.018,0.014,0.801,-0.596,0.062,-0.022
609,6.09,379,7.58,-3.328,9.982,2.516,-27.226,9.779,7.228,-81.647,-17.739,6.843,-4.599,7.774,5.598,-79.294,-4.947,-8.411,46.777,2.563,0.472,-25.549,-9.767,-2.607,-0.068,0.023,0.953,-0.38,-0.895,0.399,0.104,0.527,0.818,0.043,-0.029,1.059,0.072,0.626,0.777,0.021,-1.102,0.427,0.365,-0.945,0.676,5.2,-3.385,1.954,63.62,-17.043,27.849,-50.91,21.464,11.541,-1.243,12.274,0.006,-89.881,-23.791,-39.888,-80.267,-2.348,-12.263,117.94,0.634,-9.692,0.999,0.028,-0.003,0.021,0.798,-0.596,0.085,0.007,0.994,0.057,-0.089,-0.001,0.999,0.032,0.003,-0.03,0.995,0.07,0.07,0.019,0.918,-0.397,-0.019,0.013,0.807,-0.587,0.061,-0.024
610,6.1,380,7.6,-2.683,9.682,2.249,-25.582,9.28,7.638,-80.073,-17.848,6.303,-3.527,7.409,5.118,-76.948,-4.565,-8.456,47.586,2.574,0.262,-23.411,-10.149,-2.388,-0.028,0.027,0.958,-0.334,-0.892,0.36,0.214,0.569,0.759,0.148,0.099,1.054,0.091,0.605,0.761,-0.018,-1.018,0.517,0.306,-0.871,0.529,7.358,-8.394,2.215,77.42,-53.959,36.596,-57.541,26.389,26.639,-1.47,12.956,0.669,-103.94,-28.834,-45.334,-78.058,-0.788,-17.698,133.982,39.765,-12.45,0.999,0.029,-0.003,0.021,0.803,-0.59,0.083,0.012,0.995,0.052,-0.087,0.001,0.999,0.031,0.004,-0.029,0.996,0.061,0.067,0.015,0.915,-0.403,-0.02,0.011,0.813,-0.578,0.063,-0.027
611,6.11,380,7.6,-1.902,9.234,1.852,-23.858,8.27,8.172,-78.048,-17.859,5.328,-2.391,6.881,4.573,-74.229,-3.833,-8.726,48.23,2.546,-0.03,-21.173,-10.825,-2.362,0.035,0.039,0.963,-0.305,-0.861,0.334,0.361,0.622,0.723,0.272,0.38,1.014,0.022,0.443,0.949,-0.07,-0.823,0.594,0.334,-0.942,0.383,8.817,-10.991,1.401,96.001,-102.285,44.491,-66.964,34.065,38.661,-6.082,21.986,1.26,-111.899,-34.102,-51.733,-61.987,1.718,-27.839,163.748,74.702,6.664,0.999,0.029,-0.004,0.021,0.808,-0.583,0.078,0.02,0.995,0.046,-0.084,0.004,0.999,0.031,0.005,-0.029,0.997,0.052,0.064,0.011,0.913,-0.408,-0.02,0.009,0.821,-0.566,0.068,-0.032
612,6.12,381,7.62,-0.955,8.721,1.392,-21.892,6.886,8.792,-75.441,-17.639,4.012,-1.328,6.187,4.051,-71.56,-2.977,-8.632,48.717,2.466,-0.478,-19.081,-11.132,-2.661,0.027,0.137,0.965,-0.275,-0.762,0.518,0.417,0.604,0.712,0.237,0.59,0.896,0.067,-0.413,1.329,-0.112,-0.714,0.632,0.32,-0.947,-0.261,8.535,-10.579,0.823,130.517,-135.865,44.278,-78.263,43.039,43.668,-9.71,37.895,-0.639,-100.994,-32.916,-51.435,-48.659,5.433,-45.166,169.357,45.846,25.395,0.999,0.031,-0.005,0.021,0.816,-0.573,0.071,0.029,0.996,0.039,-0.081,0.007,0.999,0.031,0.009,-0.029,0.997,0.042,0.061,0.007,0.911,-0.412,-0.021,0.005,0.829,-0.554,0.072,-0.033
613,6.13,381,7.62,-0.003,8.129,0.91,-19.664,5.413,9.246,-72.383,-16.966,2.686,-0.458,5.341,3.418,-69.632,-2.438,-7.924,49.072,2.346,-1.026,-17.598,-11.025,-3.069,-0.06,0.203,0.923,-0.071,-0.75,0.285,0.372,0.453,0.801,0.135,-0.137,0.635,0.011,-0.931,1.065,-0.156,-0.578,0.557,-0.24,-0.971,-1.103,1.808,-10.225,0.484,169.372,-144.858,22.826,-85.966,52.778,47.24,1.235,64.006,-16.913,-73.023,-23.677,-78.72,-36.256,9.339,-55.817,123.454,10.562,16.026,0.999,0.031,-0.006,0.021,0.825,-0.56,0.062,0.037,0.996,0.032,-0.077,0.011,0.999,0.031,0.014,-0.03,0.998,0.035,0.06,0.001,0.91,-0.415,-0.022,0.0,0.835,-0.545,0.073,-0.033
614,6.14,382,7.64,0.95,7.428,0.447,-17.173,4.177,9.361,-69.069,-15.869,1.631,0.418,4.566,2.321,-68.206,-2.03,-6.971,49.395,2.212,-1.53,-16.474,-10.99,-3.388,-0.044,0.235,0.925,-0.019,-0.785,0.137,0.336,0.099,0.907,-0.737,-0.905,0.856,-0.074,-1.653,0.688,-0.171,-0.512,0.475,-0.353,-0.74,-1.139,-3.766,-12.722,-1.062,203.376,-130.036,-11.466,-90.263,61.332,45.146,20.166,53.705,-5.064,-54.156,-22.621,-112.412,-32.937,10.534,-51.696,90.896,17.68,4.036,0.999,0.031,-0.007,0.021,0.836,-0.545,0.053,0.041,0.997,0.024,-0.072,0.014,0.999,0.032,0.019,-0.031,0.998,0.03,0.058,-0.009,0.908,-0.417,-0.023,-0.004,0.839,-0.538,0.074,-0.035
615,6.15,382,7.64,1.815,6.578,0.113,-14.4,3.419,9.242,-65.649,-14.635,0.973,1.533,4.16,1.139,-66.782,-1.819,-6.508,49.815,2.036,-1.92,-15.252,-11.265,-3.236,0.054,0.018,0.855,0.057,-0.866,-0.251,0.067,-0.369,0.977,-0.944,-0.681,0.988,-0.077,-0.838,0.649,-0.121,-0.556,0.395,0.124,-0.791,-0.993,-7.779,-15.573,-3.705,228.109,-87.612,-27.085,-89.33,65.436,32.005,48.614,13.13,10.418,-53.102,-24.493,-104.137,-41.216,14.26,-39.837,90.356,48.277,-30.31,0.999,0.03,-0.009,0.021,0.847,-0.529,0.046,0.042,0.998,0.015,-0.066,0.017,0.999,0.037,0.02,-0.03,0.998,0.024,0.056,-0.018,0.907,-0.421,-0.023,-0.008,0.843,-0.532,0.076,-0.04
