molab_frame,molab_time,video_frame,video_time,l_toe_x,l_toe_y,l_ankle_x,l_ankle_y,l_knee_x,l_knee_y,l_hip_x,l_hip_y,r_toe_x,r_toe_y,r_ankle_x,r_ankle_y,r_knee_x,r_knee_y,r_hip_x,r_hip_y
0,0.0,283,5.66,-0.1422648984,0.17970988799999998,-0.0,0.0,-0.15399738,0.38798776,-0.027857844479999977,-0.002621318839999942,-0.152399,0.1877047272,-0.0,0.0,-0.13693499,0.394212685,-0.03981789349999998,-0.010418181440000007
1,0.01,283,5.66,-0.14145342000000002,0.18038315840000002,-0.0,0.0,-0.154816515,0.387672965,-0.027709758899999937,-0.0027481586800000013,-0.152399,0.1877047272,-0.0,0.0,-0.13693499,0.394212685,-0.04189454852000002,-0.010692629239999973
2,0.02,284,5.68,-0.14145342000000002,0.18038315840000002,-0.0,0.0,-0.15563565,0.3873565,-0.028528893899999935,-0.0030646236799999893,-0.1522889272,0.1877047272,-0.0,0.0,-0.13693499,0.394212685,-0.04189454852000002,-0.010692629239999973
3,0.03,284,5.68,-0.14185965280000004,0.1801482048,-0.0,0.0,-0.154816515,0.387672965,-0.02787359591999994,-0.0027481586800000013,-0.152399,0.1877047272,-0.0,0.0,-0.13693499,0.394212685,-0.04084832024000003,-0.01004060779999999
4,0.04,285,5.7,-0.14206548400000002,0.1801482048,-0.0,0.0,-0.154816515,0.387672965,-0.02787359591999994,-0.0027481586800000013,-0.1519809208,0.18814847360000003,-0.0,0.0,-0.13693499,0.394212685,-0.04086245846000003,-0.010556236999999968
5,0.05,285,5.7,-0.14186409519999998,0.18038315840000002,-0.0,0.0,-0.154816515,0.387672965,-0.02787359591999994,-0.0027481586800000013,-0.1519809208,0.18814847360000003,-0.0,0.0,-0.13693499,0.394212685,-0.04086245846000003,-0.010556236999999968
6,0.06,286,5.72,-0.142270328,0.1801482048,-0.0,0.0,-0.15563565,0.3873565,-0.028692730919999937,-0.0030646236799999893,-0.1519809208,0.18814847360000003,-0.0,0.0,-0.13693499,0.394212685,-0.04091485304000003,-0.010556236999999968
7,0.07,286,5.72,-0.14186409519999998,0.18038315840000002,-0.0,0.0,-0.154816515,0.387672965,-0.02787359591999994,-0.0027481586800000013,-0.1519809208,0.18814847360000003,-0.0,0.0,-0.13693499,0.394212685,-0.0398844263,-0.009903383900000007
8,0.08,287,5.74,-0.14186409519999998,0.18038315840000002,-0.0,0.0,-0.15563565,0.3873565,-0.028692730919999937,-0.0030646236799999893,-0.1519809208,0.18814847360000003,-0.0,0.0,-0.13775496,0.39393295999999994,-0.0407043963,-0.01018310890000007
9,0.09,287,5.74,-0.14186409519999998,0.18038315840000002,-0.0,0.0,-0.15563565,0.3873565,-0.027727173659999965,-0.002875005199999947,-0.1519809208,0.18814847360000003,-0.0,0.0,-0.13775496,0.39393295999999994,-0.040667803259999996,-0.01018310890000007
10,0.1,288,5.76,-0.1422708216,0.1804853336,-0.0,0.0,-0.153178245,0.388300885,-0.02590931519999995,-0.0020395676599999635,-0.152816092,0.18746928,-0.0,0.0,-0.13925295,0.3933685,-0.04316628024000001,-0.011387115439999984
11,0.11,288,5.76,-0.142270328,0.1801482048,-0.0,0.0,-0.15563565,0.3873565,-0.027563336639999964,-0.0027935025199999908,-0.1519809208,0.18814847360000003,-0.0,0.0,-0.13693499,0.394212685,-0.03984783325999999,-0.009903383900000007
12,0.12,289,5.78,-0.14125203120000004,0.18082098159999999,-0.0,0.0,-0.1571136,0.38671856,-0.03000684389999994,-0.003621060999999981,-0.15175978800000003,0.18820425040000002,-0.0,0.0,-0.136039035,0.394489905,-0.03999976986000002,-0.009772536060000003
13,0.13,289,5.78,-0.142270328,0.1801482048,-0.0,0.0,-0.15563565,0.3873565,-0.027401162939999973,-0.002794334179999969,-0.1519809208,0.18814847360000003,-0.0,0.0,-0.13775496,0.39393295999999994,-0.040667803259999996,-0.01018310890000007
14,0.14,290,5.8,-0.14186360160000003,0.1809236504,-0.0,0.0,-0.1571136,0.38671856,-0.028241229719999955,-0.003321663400000008,-0.15175978800000003,0.18820425040000002,-0.0,0.0,-0.1393949,0.3933685,-0.043355634860000006,-0.010893941059999968
15,0.15,290,5.8,-0.14165925120000003,0.18038315840000002,-0.0,0.0,-0.15563565,0.3873565,-0.027401162939999973,-0.002713663159999935,-0.152399,0.1877047272,-0.0,0.0,-0.13693499,0.394212685,-0.03986529811999999,-0.010427329699999988
16,0.16,291,5.82,-0.14247418480000004,0.1801482048,-0.0,0.0,-0.1571136,0.38671856,-0.030170680919999943,-0.003702563679999993,-0.15219810480000004,0.1880946712,-0.0,0.0,-0.1393949,0.3933685,-0.04028847278,-0.010488090980000031
17,0.17,291,5.82,-0.14166073200000004,0.1807193,-0.0,0.0,-0.154816515,0.387672965,-0.02738707481999994,-0.0025884799599999453,-0.152399,0.1877047272,-0.0,0.0,-0.13693499,0.394212685,-0.037791969740000014,-0.009623946140000006
18,0.18,292,5.84,-0.142270328,0.1801482048,-0.0,0.0,-0.156454785,0.387038365,-0.03096144929999997,-0.004002345379999939,-0.15134072160000003,0.1884382168,-0.0,0.0,-0.1393949,0.3933685,-0.04232520811999997,-0.011271514699999985
19,0.19,292,5.84,-0.14166073200000004,0.1807193,-0.0,0.0,-0.15399738,0.38798776,-0.027857844479999977,-0.0025398161599999858,-0.1522889272,0.1877047272,-0.0,0.0,-0.138645905,0.39365073,-0.04260663986000003,-0.010611711059999973
20,0.2,293,5.86,-0.14063799280000003,0.1810544544,-0.0,0.0,-0.1562953,0.387038365,-0.028060812939999985,-0.002630106379999997,-0.1515618544,0.18838244,-0.0,0.0,-0.13857493,0.393651565,-0.04358688310000003,-0.01075724822000007
21,0.21,293,5.86,-0.14145687520000003,0.18082098159999999,-0.0,0.0,-0.15399738,0.38798776,-0.027219961259999953,-0.002433363679999967,-0.1521778672,0.187760504,-0.0,0.0,-0.13611502,0.39449073999999995,-0.041090380060000015,-0.01041457424000003
22,0.22,294,5.88,-0.14185965280000004,0.1800484976,-0.0,0.0,-0.153178245,0.388300885,-0.02590931519999995,-0.0020395676599999635,-0.1519809208,0.18814847360000003,-0.0,0.0,-0.13857493,0.393651565,-0.041505238119999996,-0.010473652160000013
23,0.23,294,5.88,-0.14145687520000003,0.18082098159999999,-0.0,0.0,-0.154816515,0.387672965,-0.02642151755999997,-0.0023988614799999586,-0.15145178160000003,0.18838244,-0.0,0.0,-0.13925295,0.3933685,-0.044245774919999994,-0.011545962499999951
24,0.24,295,5.9,-0.142270328,0.1801482048,-0.0,0.0,-0.154816515,0.387672965,-0.027547585199999947,-0.0025868166399999337,-0.1520900064,0.18809417760000002,-0.0,0.0,-0.13775496,0.39393295999999994,-0.040667803259999996,-0.01018310890000007
25,0.25,295,5.9,-0.14307242800000006,0.1791378056,-0.0,0.0,-0.1562953,0.387038365,-0.028386823659999977,-0.002710777399999975,-0.151870848,0.1882037568,-0.0,0.0,-0.13529505,0.394767125,-0.03717912983999999,-0.009210056679999967
26,0.26,296,5.92,-0.14206548400000002,0.1802508736,-0.0,0.0,-0.1587502,0.38607394,-0.03294000184000001,-0.004618304839999976,-0.152399,0.1877047272,-0.0,0.0,-0.13775496,0.39393295999999994,-0.04068526811999999,-0.010192257160000051
27,0.27,296,5.92,-0.14145687520000003,0.18082098159999999,-0.0,0.0,-0.1562953,0.387038365,-0.028386823659999977,-0.002710777399999975,-0.15167094000000003,0.18853792400000002,-0.0,0.0,-0.13529505,0.394767125,-0.037215722879999996,-0.009230016519999995
28,0.28,297,5.94,-0.1424707296,0.1798125568,-0.0,0.0,-0.15715284499999999,0.386717725,-0.029883915199999944,-0.003542056639999902,-0.1525080856,0.18791352,-0.0,0.0,-0.13775496,0.39393295999999994,-0.03963903984,-0.01004422168000002
29,0.29,297,5.94,-0.14206795200000003,0.18048484,-0.0,0.0,-0.15563565,0.3873565,-0.026437268999999958,-0.0021215212399999794,-0.15344938080000003,0.18723284560000003,-0.0,0.0,-0.1393949,0.3933685,-0.041315572879999984,-0.010628641519999982
30,0.3,298,5.96,-0.14206795200000003,0.18048484,-0.0,0.0,-0.154816515,0.387672965,-0.02561813399999996,-0.0018050562399999914,-0.15344938080000003,0.18723284560000003,-0.0,0.0,-0.13857493,0.393651565,-0.04049560288000001,-0.01034557652000001
31,0.31,298,5.96,-0.14206795200000003,0.18048484,-0.0,0.0,-0.154816515,0.387672965,-0.02561813399999996,-0.0018050562399999914,-0.15344938080000003,0.18702504000000003,-0.0,0.0,-0.1393949,0.3933685,-0.041315572879999984,-0.010628641519999982
32,0.32,299,5.98,-0.14206795200000003,0.1805865216,-0.0,0.0,-0.154816515,0.387672965,-0.026582027939999975,-0.002477869179999981,-0.15334128240000003,0.18702504000000003,-0.0,0.0,-0.1393949,0.3933685,-0.041315572879999984,-0.010628641519999982
