movement,phase,aspect_id,aspect_name,video_id,aspect_deviation
2a_1,f1,1,Fötterna rakt framför höftlederna,028,0.0
2a_1,f1,1,Fötterna rakt framför höftlederna,030,0.0
2a_1,f1,1,Fötterna rakt framför höftlederna,045,0.4017
2a_1,f1,1,Fötterna rakt framför höftlederna,047,0.2352
2a_1,f1,1,Fötterna rakt framför höftlederna,059,0.4998
2a_1,f1,1,Fötterna rakt framför höftlederna,061,0.3179
2a_1,f1,1,Fötterna rakt framför höftlederna,074,1.0
2a_1,f1,1,Fötterna rakt framför höftlederna,076,0.1502
2a_1,f1,1,Fötterna rakt framför höftlederna,091,0.3721
2a_1,f1,1,Fötterna rakt framför höftlederna,093,1.0
2a_1,f1,2,Knä flex >90gr,028,0.0
2a_1,f1,2,Knä flex >90gr,030,0.0
2a_1,f1,2,Knä flex >90gr,045,0.4017
2a_1,f1,2,Knä flex >90gr,047,0.2352
2a_1,f1,2,Knä flex >90gr,059,0.4998
2a_1,f1,2,Knä flex >90gr,061,0.3179
2a_1,f1,2,Knä flex >90gr,074,1.0
2a_1,f1,2,Knä flex >90gr,076,0.1502
2a_1,f1,2,Knä flex >90gr,091,0.3721
2a_1,f1,2,Knä flex >90gr,093,1.0
2a_1,f1,3,Knäskålarna riktade rakt fram,028,0.0
2a_1,f1,3,Knäskålarna riktade rakt fram,030,0.0
2a_1,f1,3,Knäskålarna riktade rakt fram,045,0.4688
2a_1,f1,3,Knäskålarna riktade rakt fram,047,0.8054
2a_1,f1,3,Knäskålarna riktade rakt fram,059,0.9661
2a_1,f1,3,Knäskålarna riktade rakt fram,061,1.0
2a_1,f1,3,Knäskålarna riktade rakt fram,074,0.803
2a_1,f1,3,Knäskålarna riktade rakt fram,076,0.5204
2a_1,f1,3,Knäskålarna riktade rakt fram,091,0.6082
2a_1,f1,3,Knäskålarna riktade rakt fram,093,0.4846
2a_1,f1,4,Bäcken i neutralposition (lätt framåttippat),028,0.0
2a_1,f1,4,Bäcken i neutralposition (lätt framåttippat),030,0.0
2a_1,f1,4,Bäcken i neutralposition (lätt framåttippat),045,0.4243
2a_1,f1,4,Bäcken i neutralposition (lätt framåttippat),047,0.7134
2a_1,f1,4,Bäcken i neutralposition (lätt framåttippat),059,0.5148
