movement,phase,aspect_id,video_id,aspect_score,aspect_name
2a_1,f1,1,028,0.2609,Fötterna rakt framför höftlederna
2a_1,f1,1,045,0.0206,Fötterna rakt framför höftlederna
2a_1,f1,1,059,0.137,Fötterna rakt framför höftlederna
2a_1,f1,1,074,1.0,Fötterna rakt framför höftlederna
2a_1,f1,1,091,0.3329,Fötterna rakt framför höftlederna
2a_1,f1,1,030,0.9817,Fötterna rakt framför höftlederna
2a_1,f1,1,047,0.7838,Fötterna rakt framför höftlederna
2a_1,f1,1,061,0.6643,Fötterna rakt framför höftlederna
2a_1,f1,1,076,0.8321,Fötterna rakt framför höftlederna
2a_1,f1,1,093,0.0,Fötterna rakt framför höftlederna
2a_1,f1,2,028,0.2609,Knä flex >90gr
2a_1,f1,2,045,0.0206,Knä flex >90gr
2a_1,f1,2,059,0.137,Knä flex >90gr
2a_1,f1,2,074,1.0,Knä flex >90gr
2a_1,f1,2,091,0.3329,Knä flex >90gr
2a_1,f1,2,030,0.9817,Knä flex >90gr
2a_1,f1,2,047,0.7838,Knä flex >90gr
2a_1,f1,2,061,0.6643,Knä flex >90gr
2a_1,f1,2,076,0.8321,Knä flex >90gr
2a_1,f1,2,093,0.0,Knä flex >90gr
2a_1,f1,3,028,0.5889,Knäskålarna riktade rakt fram
2a_1,f1,3,045,0.1313,Knäskålarna riktade rakt fram
2a_1,f1,3,059,0.5339,Knäskålarna riktade rakt fram
2a_1,f1,3,074,0.3931,Knäskålarna riktade rakt fram
2a_1,f1,3,091,0.0,Knäskålarna riktade rakt fram
2a_1,f1,3,030,0.7331,Knäskålarna riktade rakt fram
2a_1,f1,3,047,0.1289,Knäskålarna riktade rakt fram
2a_1,f1,3,061,0.5,Knäskålarna riktade rakt fram
2a_1,f1,3,076,0.6839,Knäskålarna riktade rakt fram
2a_1,f1,3,093,0.5,Knäskålarna riktade rakt fram
2a_1,f1,4,028,0.4274,Bäcken i neutralposition (lätt framåttippat)
2a_1,f1,4,045,0.7816,Bäcken i neutralposition (lätt framåttippat)
2a_1,f1,4,059,0.1861,Bäcken i neutralposition (lätt framåttippat)
2a_1,f1,4,074,1.0,Bäcken i neutralposition (lätt framåttippat)
2a_1,f1,4,091,0.0,Bäcken i neutralposition (lätt framåttippat)
2a_1,f1,4,030,0.0541,Bäcken i neutralposition (lätt framåttippat)
2a_1,f1,4,047,0.7241,Bäcken i neutralposition (lätt framåttippat)
2a_1,f1,4,061,0.2952,Bäcken i neutralposition (lätt framåttippat)
2a_1,f1,4,076,0.6233,Bäcken i neutralposition (lätt framåttippat)
2a_1,f1,4,093,1.0,Bäcken i neutralposition (lätt framåttippat)
2a_1,f1,6,028,0.4274,Ländrygg i neutral ländlordos
2a_1,f1,6,045,0.7816,Ländrygg i neutral ländlordos
2a_1,f1,6,059,0.1861,Ländrygg i neutral ländlordos
2a_1,f1,6,074,1.0,Ländrygg i neutral ländlordos
2a_1,f1,6,091,0.0,Ländrygg i neutral ländlordos
2a_1,f1,6,030,0.0541,Ländrygg i neutral ländlordos
2a_1,f1,6,047,0.7241,Ländrygg i neutral ländlordos
2a_1,f1,6,061,0.2952,Ländrygg i neutral ländlordos
2a_1,f1,6,076,0.6233,Ländrygg i neutral ländlordos
2a_1,f1,6,093,1.0,Ländrygg i neutral ländlordos
2a_1,f1,7,028,0.5653,Bröstrygg i neutral thorakalkyfos
2a_1,f1,7,045,0.8681,Bröstrygg i neutral thorakalkyfos
2a_1,f1,7,059,0.5504,Bröstrygg i neutral thorakalkyfos
2a_1,f1,7,074,0.8481,Bröstrygg i neutral thorakalkyfos
2a_1,f1,7,091,0.0,Bröstrygg i neutral thorakalkyfos
2a_1,f1,7,030,0.5,Bröstrygg i neutral thorakalkyfos
2a_1,f1,7,047,0.4266,Bröstrygg i neutral thorakalkyfos
2a_1,f1,7,061,0.2952,Bröstrygg i neutral thorakalkyfos
2a_1,f1,7,076,0.397,Bröstrygg i neutral thorakalkyfos
