movement,phase,aspect_id,aspect_name,video_id,aspect_deviation
2a_1,f1,1,Fötterna rakt framför höftlederna,028,0.0
2a_1,f1,1,Fötterna rakt framför höftlederna,030,0.0
2a_1,f1,1,Fötterna rakt framför höftlederna,045,0.5905
2a_1,f1,1,Fötterna rakt framför höftlederna,047,0.3586
2a_1,f1,1,Fötterna rakt framför höftlederna,059,0.8354
2a_1,f1,1,Fötterna rakt framför höftlederna,061,1.0
2a_1,f1,1,Fötterna rakt framför höftlederna,074,0.5729
2a_1,f1,1,Fötterna rakt framför höftlederna,076,0.1453
2a_1,f1,1,Fötterna rakt framför höftlederna,091,0.0161
2a_1,f1,1,Fötterna rakt framför höftlederna,093,0.612
2a_1,f1,2,Knä flex >90gr,028,0.0
2a_1,f1,2,Knä flex >90gr,030,0.0
2a_1,f1,2,Knä flex >90gr,045,0.5905
2a_1,f1,2,Knä flex >90gr,047,0.3586
2a_1,f1,2,Knä flex >90gr,059,0.8354
2a_1,f1,2,Knä flex >90gr,061,1.0
2a_1,f1,2,Knä flex >90gr,074,0.5729
2a_1,f1,2,Knä flex >90gr,076,0.1453
2a_1,f1,2,Knä flex >90gr,091,0.0161
2a_1,f1,2,Knä flex >90gr,093,0.612
2a_1,f1,3,Knäskålarna riktade rakt fram,028,0.0
2a_1,f1,3,Knäskålarna riktade rakt fram,030,0.0
2a_1,f1,3,Knäskålarna riktade rakt fram,045,0.41
2a_1,f1,3,Knäskålarna riktade rakt fram,047,0.6322
2a_1,f1,3,Knäskålarna riktade rakt fram,059,1.0
2a_1,f1,3,Knäskålarna riktade rakt fram,061,0.7684
2a_1,f1,3,Knäskålarna riktade rakt fram,074,0.8712
2a_1,f1,3,Knäskålarna riktade rakt fram,076,0.4448
2a_1,f1,3,Knäskålarna riktade rakt fram,091,0.1141
2a_1,f1,3,Knäskålarna riktade rakt fram,093,0.9315
2a_1,f1,4,Bäcken i neutralposition (lätt framåttippat),028,0.0
2a_1,f1,4,Bäcken i neutralposition (lätt framåttippat),030,0.0
2a_1,f1,4,Bäcken i neutralposition (lätt framåttippat),045,0.6665
2a_1,f1,4,Bäcken i neutralposition (lätt framåttippat),047,0.8661
2a_1,f1,4,Bäcken i neutralposition (lätt framåttippat),059,0.246
